科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"675,368,883.16","721,667,423.59","739,517,189.54","85,493,273.10","219,370,320.06","382,684,880.76","689,145,943.24","98,969,415.37","299,166,790.30","435,450,113.11","765,645,442.69","119,288,324.88","308,854,593.81","510,338,884.36","829,014,676.84","119,859,858.09","222,215,169.51","327,480,480.34","475,476,632.97","57,469,303.67","320,980,793.31","577,028,795.73","1,048,730,082.82","141,013,492.39","374,058,354.88","609,228,996.47","1,257,635,938.44","395,893,364.32","698,517,517.32","1,204,601,696.52","2,594,395,249.64","488,842,567.81","763,011,737.24","1,316,919,833.38"
取得子公司及其他营业单位支付的现金净额,,,,,,"10,400,000.00","10,238,874.22",,,,,,,,"1,500,000.00",,,,,,,,,"52,382,559.95","56,941,122.58","117,327,653.54","156,689,324.07","-338,914,198.46","-301,951,711.79","-270,360,864.68",,,"10,374,994.48","10,374,994.48"
收到的税费返还,"5,929,531.68","4,893,727.51","4,948,242.22","2,676,016.00","2,736,993.79","2,791,833.10","3,054,206.46","3,643,044.84","3,643,044.84","4,183,670.22","3,742,311.18",,"799,555.56","5,740,253.61","8,519,924.92","47,863.25","267,413.85","3,868,470.53","7,844,187.96","8,198.67","163,644.29","194,655.32","939,981.09","1,749,279.00","2,638,660.96","3,216,221.27","6,776,919.45","2,664,446.64","4,240,071.96","6,509,913.11","10,738,272.40","1,060,570.68","3,367,363.87","4,739,031.67"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,"1,291,765.99",,,,"120,000.00","120,000.00","300,000.00",,,,,"6,128,690.25",,"299,613.10",
收到其他与经营活动有关的现金,"5,021,622.40","25,200,568.11","5,294,851.12","8,450,017.25","510,925.36","4,233,154.91","6,630,300.75","7,209,813.95","691,537.32","3,090,506.24","9,944,418.79","492,617.68","2,683,484.48","7,956,175.96","2,694,907.84","2,528,952.71","2,224,190.22","9,400,204.56","27,124,624.56","-17,850,648.27","132,249,695.48","164,554,889.02","64,346,417.57","21,377,007.59","143,481,377.62","209,918,852.45","35,830,647.66","64,690,878.02","191,660,123.63","266,459,060.24","58,817,612.80","80,367,396.10","184,878,997.04","200,725,045.67"
投资活动现金流出小计,"2,579,090.00","287,580.00","639,796.70","255,108.99","4,820,390.06","19,854,249.60","209,751,171.21","5,626,872.34","13,821,376.97","28,487,096.48","43,700,707.55","34,918,319.82","36,956,188.10","38,698,107.10","54,754,000.83","7,765,596.75","15,834,809.75","20,668,649.85","10,839,158.72","2,521,400.99","19,254,552.97","36,586,601.93","63,752,453.13","84,847,395.53","153,702,340.66","218,076,297.00","1,495,868,877.83","-287,210,789.65","617,145,387.18","1,427,929,597.32","3,350,870,669.17","1,108,087,015.76","1,857,287,124.27","2,926,751,241.62"
经营活动现金流入小计,"686,320,037.24","751,761,719.21","749,760,282.88","96,619,306.35","222,618,239.21","389,709,868.77","698,830,450.45","109,822,274.16","303,501,372.46","442,724,289.57","779,332,172.66","119,780,942.56","312,337,633.85","524,035,313.93","840,229,509.60","122,436,674.05","224,706,773.58","340,749,155.43","510,445,445.49","39,626,854.07","453,394,133.08","741,778,340.07","1,114,016,481.48","164,139,778.98","520,178,393.46","822,364,070.19","1,300,243,505.55","463,248,688.98","894,417,712.91","1,477,570,669.87","2,663,951,134.84","570,270,534.59","951,258,098.15","1,522,383,910.72"
投资活动产生的现金流量净额,"-279,090.00","-287,580.00","-639,796.70","-255,108.99","-4,811,840.06","-19,854,249.60","-209,703,703.39","-5,626,872.34","-13,821,376.97","-28,487,096.48","-41,499,207.55","-34,917,019.82","-36,954,888.10","-38,696,357.10","-54,644,147.76","-7,765,596.75","-15,834,809.75","-20,668,649.85","-10,828,578.52","-2,521,400.99","-18,608,196.72","-30,932,439.43","-54,520,273.27","-84,843,395.53","-153,502,816.22","-26,289,894.26","-1,274,369,805.11","287,219,872.98","449,416,771.32","287,101,397.27","643,374,622.63","-403,710,126.95","-407,540,626.89","-386,544,727.78"
购买商品、接受劳务支付的现金,"524,316,368.96","582,095,657.82","572,804,471.34","159,828,627.72","382,833,374.85","612,784,750.49","730,012,957.76","162,040,405.83","272,885,198.77","390,799,743.39","548,391,481.28","150,512,138.81","274,393,055.02","513,151,052.27","659,946,441.30","158,007,134.04","240,190,150.73","303,780,527.14","368,259,032.76","70,966,160.75","337,323,441.22","571,121,914.97","747,956,982.96","235,943,933.78","460,461,995.59","599,412,646.09","820,727,704.71","390,082,799.41","719,464,235.71","1,061,006,545.17","1,864,018,679.31","509,328,880.59","769,660,567.97","1,216,791,484.70"
吸收投资收到的现金,,,,"459,286,330.00","459,286,330.00","459,286,330.00","467,689,330.00",,,,,"2,000,000.00","3,290,000.00","3,290,000.00","3,840,000.00",,,,"600,000.00",,,"1,900,000.00","4,150,000.00","800,000.00","980,000.00","9,450,000.00","1,783,119,964.32",,"456,000.00","456,000.00","2,541,000.00","735,000.00","3,185,000.00","12,480,000.00"
