科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30
货币资金,"139,524,902.70","119,729,779.54","159,928,886.71","195,431,426.10"
短期借款,"325,157,602.52","376,553,702.37","515,776,944.50","754,902,674.52"
交易性金融资产,,,,
交易性金融负债,,,,
应收票据,"8,852,701.60","27,911,583.82","20,013,948.03","17,695,978.62"
应付票据,,"11,099,550.51",,"16,097,883.50"
应收账款,"333,239,885.22","468,393,773.68","610,100,616.10","746,702,097.27"
应付账款,"99,567,840.73","199,635,978.02","341,149,212.24","270,399,054.44"
预付款项,"16,122,772.98","52,494,858.86","19,215,097.41","59,313,220.51"
预收款项,"9,247,122.89","21,418,815.49","13,820,693.83","19,077,274.80"
其他应收款,"5,393,446.90","9,136,829.41","27,599,008.94","14,160,538.07"
应付职工薪酬,"2,903,545.45","1,989,988.05","21,279.61","12,889,635.67"
应收关联公司款,,,,
应交税费,"48,456,344.72","68,568,629.65","49,194,561.19","50,392,501.56"
应收利息,,,,
应付利息,"137,268.50","447,289.44","380,006.11","211,770.31"
应收股利,,,,
应付股利,"12,706,769.69",,,
存货,"189,216,405.57","232,173,529.02","331,386,453.86","353,846,764.74"
其他应付款,"10,857,856.55","15,117,690.30","7,460,840.10","7,791,866.97"
其中:消耗性生物资产,,,,
应付关联公司款,,,,
一年内到期的非流动资产,,,,
一年内到期的非流动负债,,"20,000,000.00","45,000,000.00","52,000,000.00"
其他流动资产,,,,
其他流动负债,,,,
流动资产合计,"692,350,114.97","909,840,354.33","1,168,244,011.05","1,387,150,025.31"
流动负债合计,"509,034,351.05","714,831,643.83","972,803,537.58","1,183,762,661.77"
可供出售金融资产,,,,
长期借款,"40,000,000.00","69,000,000.00","24,000,000.00",
持有至到期投资,,,,
应付债券,,,,
长期应收款,,,,
长期应付款,,,,"9,817,968.00"
长期股权投资,"839,606.82","940,949.63","13,576,975.69",
专项应付款,,,,
投资性房地产,,,,"77,442,530.40"
预计负债,,,,
固定资产,"213,778,950.39","236,367,741.08","268,333,664.65","273,779,690.94"
递延所得税负债,,,,"6,830,451.80"
在建工程,"12,721,169.81","11,601,892.64","9,797,450.65","12,827,142.99"
其他非流动负债,,,,
工程物资,,,,
非流动负债合计,"40,000,000.00","69,000,000.00","24,000,000.00","16,648,419.80"
固定资产清理,,,,
负债合计,"549,034,351.05","783,831,643.83","996,803,537.58","1,200,411,081.57"
生产性生物资产,,,,
实收资本(或股本),"207,000,000.00","207,000,000.00","207,000,000.00","207,000,000.00"
油气资产,,,,
资本公积,"100,428,085.79","86,425,707.93","86,425,707.93","86,425,707.93"
无形资产,"160,874,874.44","156,439,228.88","152,003,583.33","149,899,223.37"
盈余公积,"19,680,063.07","28,764,786.05","37,866,264.20","42,832,769.36"
开发支出,,,,
减:库存股,,,,
商誉,"14,718,020.35","14,718,020.35",,
未分配利润,"166,066,240.65","237,576,367.60","337,929,411.58","410,007,989.35"
长期待摊费用,"3,729,054.47","2,355,754.25","1,304,336.34","889,002.59"
少数股东权益,"73,320,439.12","6,600,235.06","6,356,844.66","15,337,763.93"
递延所得税资产,"16,517,388.43","17,934,799.31","19,902,757.87","20,808,710.17"
外币报表折算价差,,,,
其他非流动资产,,,"39,218,986.37","39,218,986.37"
非正常经营项目收益调整,,,,
非流动资产合计,"423,179,064.71","440,358,386.14","504,137,754.90","574,865,286.83"
所有者权益(或股东权益)合计,"566,494,828.63","566,367,096.64","675,578,228.37","761,604,230.57"
资产总计,"1,115,529,179.68","1,350,198,740.47","1,672,381,765.95","1,962,015,312.14"
负债和所有者(或股东权益)合计,"1,115,529,179.68","1,350,198,740.47","1,672,381,765.95","1,962,015,312.14"
