科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"661,201,155.20","683,969,175.06","602,353,205.40","401,983,460.73","554,906,205.82","143,478,548.88","269,957,022.84","455,938,521.42","741,985,838.06","171,239,299.81","329,343,192.19","565,976,045.21","941,734,353.33","259,267,384.49","553,586,199.07","837,147,869.66"
取得子公司及其他营业单位支付的现金净额,,"400,113.82",,,,,,,"10,220,781.94",,,,"230,825,801.70",,"547,750,671.51",
收到的税费返还,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,"140,120.00","140,120.00"
收到其他与经营活动有关的现金,"3,940,445.11","63,326,108.80","54,934,406.32","27,319,492.87","32,153,361.84","1,091,201.77","5,132,754.11","23,177,371.25","17,828,849.31","2,251,458.93","8,208,622.36","23,494,335.63","49,060,062.40","5,908,723.06","23,147,451.85","77,429,678.81"
投资活动现金流出小计,"53,552,377.79","33,222,936.06","101,957,939.52","37,972,163.06","42,469,842.06","6,926,366.75","24,722,687.69","93,982,044.45","202,504,501.68","70,001,070.04","343,121,728.06","394,873,683.92","476,568,825.99","126,683,658.21","730,315,530.49","846,894,404.89"
经营活动现金流入小计,"665,141,600.31","747,295,283.86","657,287,611.72","429,302,953.60","587,059,567.66","144,569,750.65","275,089,776.95","479,115,892.67","759,814,687.37","173,490,758.74","337,551,814.55","589,470,380.84","990,794,415.73","265,176,107.55","576,733,650.92","914,577,548.47"
投资活动产生的现金流量净额,"-53,472,377.79","-33,222,936.06","-85,953,643.62","-26,590,157.34","-31,037,836.34","-6,777,684.75","-24,555,605.69","-93,766,212.45","-201,948,230.68","-70,001,070.04","-343,028,800.06","-394,777,950.92","-476,368,292.99","-124,199,658.21","-727,818,530.49","-844,340,404.89"
购买商品、接受劳务支付的现金,"455,693,389.93","492,328,384.78","480,702,549.66","356,046,026.38","449,473,632.68","89,697,233.87","164,732,680.52","317,142,730.57","454,089,330.75","141,225,321.38","257,103,498.82","384,605,782.57","571,202,103.70","173,951,879.44","134,025,763.42","428,138,011.28"
吸收投资收到的现金,,,"1,600,000.00",,,"448,880,000.00","448,880,000.00","449,380,000.00","449,380,000.00",,,,"38,800,000.00","33,700,000.00","33,700,000.00","33,700,000.00"
