科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"34,230,475.75","45,097,067.91","79,456,593.77","56,750,907.72","70,085,720.44","205,351,983.48","214,882,315.18","138,211,093.39","112,799,813.43","129,202,773.87","143,858,252.54","126,292,135.16","123,652,341.07","145,044,928.60","160,324,056.99"
短期借款,"110,792,065.45","207,387,427.14","210,000,000.00","236,863,359.68","289,940,737.00","259,716,088.00","171,545,841.70","179,000,000.00","296,100,000.00","289,100,000.00","309,000,000.00","379,000,000.00","532,000,000.00","561,000,000.00","641,000,000.00"
交易性金融资产,,,,,,,,,,,,,,"3,536,964.65","3,536,964.65"
交易性金融负债,,,,,,,,,,,,,,,
应收票据,"18,474,952.42","34,568,827.94","98,998,538.03","113,832,458.45","121,626,058.21","134,299,191.62","109,947,406.29","117,048,570.52","123,569,471.92","125,374,416.63","131,230,056.42","165,459,920.47","175,182,116.48","176,704,829.60","183,425,556.19"
应付票据,"21,668,210.48","46,757,116.89","138,845,681.11","172,729,791.68","174,978,987.76","197,502,176.67","183,203,073.93","168,070,859.45","154,772,301.14","196,847,867.81","292,987,565.27","256,076,984.45",,"316,563,471.76",
应收账款,"131,701,016.41","186,150,080.42","235,391,044.31","229,489,566.90","278,596,838.60","305,291,116.58","297,151,259.62","301,365,077.26","346,684,543.14","377,970,627.22","371,817,119.65","352,969,646.55","434,197,826.30","469,151,297.54","421,331,585.00"
应付账款,"82,066,149.01","104,464,215.39","118,119,044.44","96,420,869.19","121,519,418.68","135,608,226.58","123,048,653.35","114,219,765.71","143,004,469.61","194,887,766.69","149,863,675.24","221,827,976.14",,"200,286,598.34",
预付款项,"1,843,788.00","1,021,468.87","356,725.27","1,135,724.95","3,599,339.46","4,993,878.09","2,388,037.15","6,854,103.88","8,608,160.49","3,228,609.55","27,812,976.67","16,921,870.75","17,907,639.30","4,491,986.34","25,822,764.24"
预收款项,"59,315.67","102,261.89","410,299.42","343,594.90","649,447.46","838,247.45",,"375,754.91","1,623,844.70","1,478,357.15","743,928.97","409,687.21","1,158,536.61","1,482,963.37","733,594.88"
其他应收款,"1,734,005.65","15,375,632.60","8,441,094.15","10,794,531.58","12,142,064.08","10,791,658.26","14,156,068.84","13,327,171.37","18,302,891.38","15,655,792.40","14,089,905.91","15,245,739.08","22,712,833.01","10,818,881.50","28,680,800.57"
应付职工薪酬,"2,817,583.71","3,825,369.25","5,229,579.11","4,310,906.43","4,919,120.85","8,585,213.29","5,114,613.04","5,365,182.80","6,282,020.97","6,778,718.15","5,092,581.62","6,159,036.88","6,919,351.72","10,881,162.88","8,054,108.88"
应收关联公司款,,,,,,,,,,,,,,,
应交税费,"5,647,943.59","5,773,100.55","11,210,086.77","6,069,996.37","6,949,332.89","3,651,363.52","419,416.36","2,500,568.53","6,172,875.84","10,146,123.78","5,085,098.40","4,486,662.69","4,389,089.41","5,375,430.80","3,536,148.55"
应收利息,,,,,,,,,,,,,,,
应付利息,"433,791.12","585,260.68","646,151.77","813,094.97","945,980.33","1,716,461.10","449,453.63","481,644.48","445,441.62","391,477.73","449,022.71","462,206.17",,"789,638.77","1,122,276.15"
应收股利,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,"606,187.50",,,
存货,"59,670,851.32","74,534,009.53","84,522,801.74","104,718,991.22","105,584,688.41","114,630,073.57","141,136,474.15","133,388,373.21","150,411,571.47","170,037,593.00","199,657,449.39","260,357,721.95","242,508,215.57","239,561,593.71","243,749,063.02"
其他应付款,"5,389,202.88","15,526,065.47","8,687,211.25","14,080,229.58","13,808,681.28","16,714,172.90","17,557,010.47","20,400,396.86","22,854,921.43","18,341,228.39","22,473,468.40","18,284,574.75","17,917,028.44","29,173,976.50","19,697,156.94"
其中:消耗性生物资产,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,
一年内到期的非流动负债,,"20,000,000.00","18,300,000.00","23,500,000.00","23,500,000.00",,,,,,,,,"19,600,000.00","19,600,000.00"
其他流动资产,,"211,750.84","8,140,565.35","12,734,608.08","12,746,281.87","16,881,906.69","18,165,483.51","18,122,155.96","13,176,526.67","23,534,436.74","18,173,293.38","24,833,115.95","6,419,607.87","15,977,153.90","6,929,120.37"
其他流动负债,,,,,,,,,,"125,763,700.00","129,614,800.00","125,763,700.00",,,
流动资产合计,"247,655,089.55","356,958,838.11","515,307,362.62","529,456,788.90","604,380,991.07","792,239,808.29","797,827,044.74","728,316,545.59","773,552,978.50","845,004,249.41","906,639,053.96","962,080,149.91","1,022,580,579.60","1,065,287,635.84","1,073,799,911.03"
