科目,2011年度,2012年度,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"378,169,224.91","418,147,158.24","445,974,934.53",,"265,738,263.24","410,082,481.03","602,482,390.93","148,021,751.46","276,107,662.89","418,782,739.85","665,768,879.52","233,258,045.30","450,016,416.50","674,832,650.16","952,139,884.31","226,382,358.37","405,582,111.22","613,233,677.81","804,580,432.49","268,929,985.15","454,834,092.40","656,340,329.18","839,175,020.38","191,575,479.86"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,"30,876,818.42",,,,,
收到的税费返还,,,,,"20,079.68","20,079.68",,,"906,310.25","906,310.25",,,,"1,358,045.66",,,,"1,813,834.00",,,,"5,182,800.00",,
支付其他与投资活动有关的现金,,,,,,,,,,,"187,579,449.00","50,141,250.00","70,141,250.00","108,141,250.00","293,000,000.00","150,141,250.00","170,141,250.00","276,601,250.00","346,100,000.00","52,114,200.00","282,114,200.00","402,114,200.00","330,003,041.31","140,000,000.00"
收到其他与经营活动有关的现金,"1,333,074.12","1,065,848.25","1,148,709.84",,"384,511.49","867,863.18","1,107,003.18","751,601.49","3,711,985.01","3,903,852.29","1,857,242.48","5,584,076.05","6,054,007.20","14,184,863.85","2,287,576.63","885,576.07","3,074,839.17","4,541,804.86","5,079,559.99","6,896,886.73","13,693,935.71","17,952,312.54","22,467,562.37","2,460,495.84"
投资活动现金流出小计,"58,454,322.81","22,376,445.60","82,231,517.60",,"44,645,687.05","95,362,731.09","116,036,142.38","25,439,597.75","75,816,507.65","102,283,597.05","310,562,322.07","74,982,163.20","105,928,597.89","175,626,372.79","377,726,546.10","173,117,404.12","209,011,611.77","329,177,055.21","447,781,966.70","85,534,424.55","334,557,782.09","467,207,134.59","425,261,995.46","149,432,244.09"
经营活动现金流入小计,"379,502,299.03","419,213,006.49","447,123,644.37",,"266,142,854.41","410,970,423.89","603,589,394.11","148,773,352.95","280,725,958.15","423,592,902.39","667,626,122.00","238,842,121.35","456,070,423.70","690,375,559.67","954,427,460.94","227,267,934.44","408,656,950.39","619,589,316.67","809,659,992.48","275,826,871.88","468,528,028.11","679,475,441.72","861,642,582.75","194,035,975.70"
投资活动产生的现金流量净额,"-58,306,561.27","-22,327,810.60","-81,869,524.84",,"-44,611,377.05","-95,322,571.09","-116,022,900.10","-25,439,597.75","-75,816,507.65","-102,283,597.05","1,628,887.28","-36,592,386.20","-17,001,127.98","-65,732,316.81","-134,425,702.68","-27,509,698.64","37,635,120.87","13,498,123.86","-56,655,391.77","-34,389,783.45","-42,168,648.70","-96,947,752.34","-365,759,091.64","-5,967,258.26"
购买商品、接受劳务支付的现金,"250,493,412.43","262,954,317.08","305,191,050.76",,"201,352,068.18","327,427,815.73","424,059,210.95","106,236,366.49","212,412,627.24","314,586,487.69","405,221,962.04","114,939,119.04","237,732,903.94","351,430,714.50","518,357,560.57","159,655,287.84","288,261,696.07","434,498,376.82","536,652,937.20","156,098,046.91","276,775,917.78","456,982,214.09","523,477,690.15","108,861,088.86"
吸收投资收到的现金,,,,,"198,600,000.00","198,600,000.00","171,775,056.61",,,,,"40,889,520.00","40,889,520.00","45,925,520.00","45,925,520.00",,,,,,,,,
