科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
财务费用,"13,515,866.10","19,967,914.69","26,538,722.33","20,959,569.26","27,039,840.04","6,754,085.96","13,367,828.72","23,980,664.04","37,544,964.20","16,157,122.18","41,439,151.14","67,495,937.21","94,021,032.07","27,262,286.65","55,836,161.31","83,440,718.34","113,080,762.28","29,795,464.03","63,689,471.11","107,172,547.43","148,267,368.24","31,974,905.06","90,019,398.16","136,006,123.09","190,203,617.91","40,992,732.41","86,309,701.50","131,180,133.39","183,091,352.20","86,587,916.10","188,943,956.98","299,531,343.98","446,758,256.60","114,253,336.24","198,478,152.93","311,311,113.83","332,520,992.73","103,743,440.02"
三、利润总额,"53,189,951.34","116,905,508.77","144,683,201.66","93,068,915.01","160,476,172.65","23,450,340.15","55,955,564.62","73,620,622.91","172,358,912.88","24,847,192.56","64,028,019.01","82,140,953.39","130,271,200.17","30,416,251.62","68,490,576.29","93,391,336.85","148,075,622.13","36,024,300.24","55,276,136.32","69,252,142.50","65,983,264.55","27,054,740.06","54,598,928.45","53,269,385.86","9,557,648.72","-10,282,911.32","-24,477,924.51","-61,167,453.09","-343,356,795.14","62,686,414.67","176,762,493.59","276,613,105.26","267,201,357.08","-43,832,188.89","154,864,254.79","267,784,911.14","201,502,235.33","26,146,300.22"
资产减值损失,"-3,878,773.52","11,407,896.11","19,089,681.49","2,041,244.76","19,654,378.33",,,,"46,461,307.07","-92,088.59","1,311,843.77","9,408,358.70","48,544,382.23","-8,354,885.68","-875,470.61","-1,638,385.55","24,323,572.30","-3,875,628.10","17,988,254.66","13,189,877.73","57,288,872.88","824,086.74","6,046,548.17","9,297,234.58","48,983,039.58","-11,513,794.23","-30,767,850.05","-30,341,460.88","97,519,458.94","-24,281,648.32","-17,647,254.14","562,597.84","101,448,757.86","2,212,617.25","4,721,694.34","45,816,360.42","255,069,344.37","-8,348,068.43"
减:所得税,"11,125,394.82","20,119,954.22","24,362,838.42","13,149,834.37","23,642,923.70","3,602,889.39","8,773,910.38","11,720,945.49","28,183,441.83","3,899,477.61","10,311,313.75","13,311,692.94","18,691,091.92","6,606,672.78","11,778,673.67","16,960,754.66","23,185,459.84","7,153,150.20","14,386,332.49","17,906,362.58","559,110.76","5,271,203.89","8,397,518.67","8,025,463.67","-1,056,572.23","-1,810,965.78","-3,097,511.51","-6,178,182.71","-37,460,936.56","14,170,074.45","32,626,036.75","-18,686,984.34","-53,315,271.99","3,511,819.63","-4,494,176.92","18,431,863.01","16,014,110.24","1,580,888.03"
加:公允价值变动净收益,"-43,480.00","-7,800.00","7,800.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"50,769.61",,"14,090.12",,,,,,,,,,"125,879.45",,,,"747,726.12","1,153,271.24","1,467,128.77","1,503,242.27","1,725,161.26","1,543,054.87","1,995,798.62","2,012,283.18","2,247,727.07","102,230.14","434,428.46","-951,337.04","-1,948,003.43",,"37,454,086.29","37,166,083.73","134,078,631.69","-251,805.71","104,724,186.67","105,653,982.77","88,534,509.31","-106,044.47"
四、净利润,"42,064,556.52","96,785,554.55","120,320,363.24","79,919,080.64","136,833,248.95","19,847,450.76","47,181,654.24","61,899,677.42","144,175,471.05","20,947,714.95","53,716,705.26","68,829,260.45","111,580,108.25","23,809,578.84","56,711,902.62","76,430,582.19","124,890,162.29","28,871,150.04","40,889,803.83","51,345,779.92","65,424,153.79","21,783,536.17","46,201,409.78","45,243,922.19","10,614,220.95","-8,471,945.54","-21,380,413.00","-54,989,270.38","-305,895,858.58","48,516,340.22","144,136,456.84","295,300,089.60","320,516,629.07","-47,344,008.52","159,358,431.71","249,353,048.13","185,488,125.09","24,565,412.19"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,,,,"-744,201.67","-2,129,967.18",,,"-418,748.71","-706,751.27","-15,168,241.29",,"104,724,186.67","105,653,982.77","88,534,509.31","-106,044.47"
归属于母公司所有者的净利润,"42,064,574.25","96,785,554.55","120,320,363.24","79,919,080.64","136,833,248.95","19,847,450.76","47,219,995.78","61,966,492.21","144,263,553.44","20,974,450.83","53,751,605.97","68,859,222.18","111,708,578.44","23,699,291.41","56,806,856.89","76,743,301.64","125,501,917.64","29,033,543.10","42,675,064.32","55,474,139.99","70,166,566.43","22,131,325.38","46,087,655.36","48,421,829.27","15,393,837.68","-9,329,250.66","-23,795,940.49","-55,803,892.97","-299,710,879.84","32,406,428.23","90,585,708.98","205,816,151.58","225,145,578.55","-54,912,518.40","102,993,712.69","161,564,653.44","74,602,746.53","12,222,884.88"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,-17.73,,,,,,"-38,341.54","-66,814.79","-88,082.39","-26,735.88","-34,900.71","-29,961.73","-128,470.19","110,287.43","-94,954.27","-312,719.45","-611,755.35","-162,393.06","-1,785,260.49","-4,128,360.07","-4,742,412.64","-347,789.21","113,754.42","-3,177,907.08","-4,779,616.73","857,305.12","2,415,527.49","814,622.59","-6,184,978.74","16,109,911.99","53,550,747.86","89,483,938.02","95,371,050.52","7,568,509.88","56,364,719.02","87,788,394.69","110,885,378.56","12,342,527.31"
