科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"352,051,326.53","524,411,299.08","552,709,213.06","102,979,334.29","241,430,863.02","356,094,692.42","633,904,695.22","136,428,956.25","262,995,226.38","426,800,241.43"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,
收到的税费返还,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,"40,000,000.00",,,
收到其他与经营活动有关的现金,"134,669,982.92","149,464,445.21","136,088,486.06","30,333,192.95","67,452,443.83","100,248,621.16","124,873,227.28","14,321,322.90","31,613,797.69","44,959,356.08"
投资活动现金流出小计,"14,711,718.39","6,581,141.34","3,065,697.08","1,346,452.00","9,112,713.04","13,451,643.85","57,363,426.65","2,309,731.80","8,135,736.60","10,075,222.45"
经营活动现金流入小计,"486,721,309.45","673,875,744.29","688,797,699.12","133,312,527.24","308,883,306.85","456,343,313.58","758,777,922.50","150,750,279.15","294,609,024.07","471,759,597.51"
投资活动产生的现金流量净额,"-14,711,718.39","-6,425,800.18","-3,032,479.08","-1,342,911.92","-9,108,678.68","-13,447,609.49","-17,254,542.98","-2,309,089.80","-8,135,094.60","-10,074,580.45"
购买商品、接受劳务支付的现金,"159,149,988.46","238,097,843.35","294,475,003.32","110,644,241.60","188,355,711.91","298,345,668.33","382,538,393.83","171,513,018.72","258,334,481.60","357,239,552.24"
吸收投资收到的现金,,,"5,200,000.00",,,"221,300,000.00","221,300,000.00",,,
支付给职工以及为职工支付的现金,"143,430,154.51","159,038,442.86","168,083,124.59","47,269,907.64","88,930,943.88","144,369,058.26","199,107,088.22","52,611,231.41","103,179,456.53","154,799,868.53"
取得借款收到的现金,"103,000,000.00","128,748,867.62","127,900,000.00","65,930,000.00","95,930,000.00","145,930,000.00","150,930,000.00","65,800,000.00","75,800,000.00","153,800,000.00"
支付的各项税费,"21,488,157.00","26,449,999.40","32,749,784.04","10,658,282.48","26,054,843.65","42,259,391.64","51,725,068.86","12,409,234.96","18,646,148.89","29,572,251.85"
收到其他与筹资活动有关的现金,"3,033,819.29","3,099,917.21","7,848,625.00","3,620,000.00","7,957,500.00","12,417,715.04","13,217,715.04","5,398,533.48","10,348,533.48","16,010,333.48"
支付其他与经营活动有关的现金,"191,113,291.63","188,762,292.13","157,980,289.37","45,485,860.20","90,153,953.12","133,799,994.24","170,749,340.92","32,157,786.08","50,580,649.28","74,011,699.85"
筹资活动现金流入小计,"106,033,819.29","131,848,784.83","140,948,625.00","69,550,000.00","103,887,500.00","379,647,715.04","385,447,715.04","71,198,533.48","86,148,533.48","169,810,333.48"
经营活动现金流出小计,"515,181,591.60","612,348,577.74","653,288,201.32","214,058,291.92","393,495,452.56","618,774,112.47","804,119,891.83","268,691,271.17","430,740,736.30","615,623,372.47"
偿还债务支付的现金,"55,900,000.00","124,008,867.62","134,340,000.00","35,600,000.00","45,600,000.00","106,200,000.00","106,200,000.00","56,130,000.00","76,130,000.00","136,130,000.00"
经营活动产生的现金流量净额,"-28,460,282.15","61,527,166.55","35,509,497.80","-80,745,764.68","-84,612,145.71","-162,430,798.89","-45,341,969.33","-117,940,992.02","-136,131,712.23","-143,863,774.96"
分配股利、利润或偿还利息支付的现金,"10,359,087.03","9,769,086.57","14,739,784.81","10,363,425.06","3,099,481.56","4,830,687.71","6,390,561.79","1,634,185.57","12,911,106.94","14,583,756.78"
收回投资收到的现金,,,,,,,,,,
支付其他与筹资活动有关的现金,"6,135,525.23","8,635,416.19","13,726,000.00","7,300,000.00","12,932,800.00","19,156,800.00","30,231,800.00","12,994,826.00","21,822,926.00","24,707,876.00"
取得投资收益收到的现金,,,,,,,"104,849.31",,,
筹资活动现金流出小计,"72,394,612.26","142,413,370.38","162,805,784.81","53,263,425.06","61,632,281.56","130,187,487.71","142,822,361.79","70,759,011.57","110,864,032.94","175,421,632.78"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"155,341.16","33,218.00","3,540.08","4,034.36","4,034.36","4,034.36",642.00,642.00,642.00
筹资活动产生的现金流量净额,"33,639,207.03","-10,564,585.55","-21,857,159.81","16,286,574.94","42,255,218.44","249,460,227.33","242,625,353.25","439,521.91","-24,715,499.46","-5,611,299.30"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,"40,000,000.00",,,
四(2)、其他原因对现金的影响,,,,,,,,,,
投资活动现金流入小计,,"155,341.16","33,218.00","3,540.08","4,034.36","4,034.36","40,108,883.67",642.00,642.00,642.00
五、现金及现金等价物净增加额,"-9,532,793.51","44,536,780.82","10,619,858.91","-65,802,101.66","-51,465,605.95","73,581,818.95","180,028,840.94","-119,810,559.91","-168,982,306.29","-159,549,654.71"
购建固定资产、无形资产和其他长期资产支付的现金,"14,711,718.39","6,581,141.34","3,065,697.08","1,346,452.00","9,112,713.04","13,451,643.85","17,363,426.65","2,309,731.80","8,135,736.60","10,075,222.45"
期初现金及现金等价物余额,"79,773,167.08","70,240,373.57","114,777,154.39","125,397,013.30","125,397,013.30","125,397,013.30","125,397,013.30","305,425,854.24","305,425,854.24","305,425,854.24"
投资支付的现金,,,,,,,,,,
期末现金及现金等价物余额,"70,240,373.57","114,777,154.39","125,397,013.30","59,594,911.64","73,931,407.35","198,978,832.25","305,425,854.24","185,615,294.33","136,443,547.95","145,876,199.53"
