科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"45,004,030.42","62,086,834.00","75,047,788.63","45,570,504.96","28,622,050.02","203,575,220.73","91,363,987.13","79,472,691.34","56,128,889.41","96,205,775.77","60,007,145.68","44,477,948.88","48,219,509.58","162,776,760.21","78,318,228.09"
短期借款,"25,677,802.94","46,800,000.00","56,800,000.00","55,500,000.00","41,800,000.00","43,600,000.00","10,000,000.00","10,000,000.00","35,000,000.00","30,000,000.00","28,000,000.00","28,000,000.00","65,000,000.00","91,500,000.00","152,450,000.00"
交易性金融资产,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,"1,481,250.00","3,811,250.00"
应付票据,"2,976,429.00","3,156,900.00","1,998,980.00",,,,,,,,,,,"7,838,483.51",
应收账款,"207,766,432.65","255,649,633.41","257,744,913.43","291,625,328.46","304,518,481.65","287,487,758.31","305,437,445.61","336,682,974.67","367,091,973.00","365,054,184.09","365,398,498.36","401,885,594.84","428,778,090.75","493,933,604.45","512,126,376.94"
应付账款,"38,702,885.81","52,734,222.05","32,149,896.27","24,106,859.38","25,036,102.46","32,298,355.55","24,559,715.29","39,095,178.00","33,371,465.98","44,774,625.95","31,890,523.60","36,530,742.75",,"84,701,487.18",
预付款项,"753,405.36","1,196,723.72","1,805,436.67","2,064,209.04","1,708,876.85","1,845,141.00","2,897,393.24","6,286,597.29","2,677,136.45","3,511,691.75","3,227,158.56","3,515,481.63","3,240,325.26","3,960,489.64","6,167,020.49"
预收款项,"701,690.60","357,634.00","1,192,990.40","1,020,574.57","1,066,744.57","1,482,958.12","1,522,958.12","1,154,639.82","1,230,639.82","2,015,335.95","2,015,335.95","420,416.12","2,156,816.12","5,364,573.23","6,083,816.66"
其他应收款,"3,902,274.43","7,958,803.04","11,105,593.38","18,454,066.16","18,413,612.64","18,519,449.08","38,291,629.18","33,736,599.66","43,716,461.21","24,059,376.38","44,854,655.00","43,244,396.25","49,331,620.78","34,548,333.62","34,973,083.34"
应付职工薪酬,"6,497,143.52","6,683,654.05","6,136,342.43","6,089,302.46","5,916,819.11","7,735,108.62","9,581,740.09","8,711,362.86","7,426,955.92","9,773,583.25","10,676,154.01","11,349,859.87","8,285,329.86","15,807,878.39","10,732,573.12"
应收关联公司款,,,,,,,,,,,,,,,
应交税费,"11,327,518.75","15,796,918.77","13,709,768.50","13,038,642.21","13,656,175.43","13,831,341.30","13,232,560.09","14,797,751.20","15,501,648.27","16,232,367.78","15,560,887.35","19,553,232.03","20,378,736.73","40,100,323.34","35,112,493.39"
应收利息,,,,,,,,,,,,,,,
应付利息,"53,415.24","99,438.89","109,156.95","105,556.16","105,556.16","161,933.33","125,000.00","413,322.22","423,359.38","42,895.83","42,895.83","39,995.83",,"140,459.73","238,045.72"
应收股利,,,,,,,,,,,,,,,
应付股利,,,,,,,,"7,713,200.00",,,,"2,540,327.43",,,
存货,,,,,,,,"509,961.54","8,865,540.57","1,166,666.58","1,374,967.41","141,025.55","287,794.52","22,087,819.75","24,173,038.20"
其他应付款,"1,217,333.71","1,208,235.37","1,224,303.09","1,408,817.76","2,182,498.90","2,349,591.24","743,666.35","1,987,583.13","2,580,783.24","2,785,811.05","1,879,689.78","2,744,409.95","2,595,796.12","220,497,353.02","128,775,555.46"
其中:消耗性生物资产,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,
