科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"135,234,061.85","318,136,702.25","716,106,765.81","177,586,089.10","356,359,513.13","615,397,469.42","837,056,468.95","134,713,632.94","235,455,837.55","317,666,470.96","403,310,956.45","96,000,480.77","228,615,397.47","331,145,127.68","417,552,695.29","82,267,411.63","194,232,220.01","302,235,794.65","415,622,229.01","89,212,715.42","194,524,209.76","300,381,877.12","408,144,369.56","131,634,753.04","243,299,400.54","353,110,771.41","473,414,788.71","104,259,742.87","206,925,084.11","319,242,091.62","450,001,962.27","125,961,864.79","695,665,807.84","1,298,020,435.19","2,483,559,999.13","1,194,721,866.52","2,455,366,741.48","3,714,793,891.49","5,229,394,578.64","1,383,117,094.42","2,688,022,358.73","3,802,650,169.16","5,183,966,170.52","1,050,225,093.07"
二、营业利润,"13,219,785.58","32,132,116.99","78,002,069.38","16,569,973.33","33,878,301.50","55,252,249.63","62,524,585.94","12,313,867.65","22,975,838.14","36,399,621.36","39,999,954.55","11,047,576.23","13,978,633.31","18,362,475.91","12,837,671.31","2,070,250.37","5,991,069.44","10,874,210.51","8,994,714.38","2,710,743.97","9,813,860.54","12,323,474.36","14,077,356.54","1,449,956.36","5,291,552.01","14,248,113.56","7,191,852.38","1,950,116.56","6,809,993.40","9,598,356.52","17,245,394.63","4,896,090.95","75,787,692.67","123,302,597.44","220,326,819.87","99,643,967.69","201,086,617.77","310,369,876.33","497,205,497.96","104,501,439.92","212,076,579.98","287,615,374.44","386,318,456.52","90,746,594.62"
减:营业成本,"110,444,304.56","262,290,642.23","575,498,257.98","138,297,190.06","292,030,775.92","511,300,137.14","708,805,694.95","108,966,583.49","191,434,495.34","258,929,187.56","334,243,962.66","79,634,475.23","197,613,421.50","284,939,508.08","363,085,758.00","69,780,314.73","168,243,435.92","261,449,866.51","366,073,890.69","77,582,918.23","168,577,813.77","261,246,730.04","355,344,718.52","114,404,559.44","209,525,443.24","304,723,211.58","413,958,097.43","90,057,798.09","175,157,707.69","268,632,329.90","378,688,966.79","106,760,509.88","526,464,833.78","970,564,443.67","1,855,358,230.73","913,932,938.04","1,888,495,981.99","2,852,597,006.86","3,996,539,648.78","1,087,363,293.29","2,114,549,290.61","3,018,759,690.69","4,070,226,655.96","873,942,697.03"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"34,224.37","133,081.96","276,653.54","62,244.48","154,817.10","266,886.61","361,691.13","107,636.13","239,217.43","271,327.45","339,931.38","16,423.01","94,729.24","160,223.61","480,667.20","440,741.50","871,251.39","1,278,451.30","1,675,858.10","650,110.51","1,051,989.09","1,551,321.44","2,038,167.19","197,285.27","909,018.94","1,359,418.88","2,642,444.79","346,129.79","812,386.93","1,451,241.59","2,047,032.93","282,356.98","3,739,558.87","6,834,245.74","12,145,964.37","5,549,884.58","10,956,200.17","15,611,758.97","30,197,412.07","6,728,170.14","13,676,123.62","19,902,254.91","33,029,102.81","6,049,660.51"
营业外收入,,,"1,075.20","800,000.00","825,774.00","1,825,774.00","4,312,421.67","260,000.00","260,000.00","635,300.00","635,300.00","139,978.00","226,964.00","927,426.74","701,033.68","389,514.12","389,514.12","389,606.62","1,630,357.24",,"329,406.64","520,804.06","636,017.76","39,902,736.85","97,479,297.38","97,529,297.38","59,323,313.70","4,020.00","167,832.57","288,851.63","400,082.40",,"24,241,955.81","25,169,518.47","37,278,844.02","11,054,634.80","14,964,348.31","17,359,422.21","35,770,551.59","5,355,393.61","5,412,966.95","8,918,232.16","15,972,566.19","3,461,490.16"
销售费用,"3,544,023.29","5,511,218.68","21,251,123.00","6,783,495.80","10,034,324.25","15,356,533.68","16,596,572.23","4,062,342.14","7,420,901.82","9,250,275.98","11,118,838.47","1,809,434.02","3,851,878.42","5,870,588.58","9,080,333.61","2,057,066.23","4,237,938.97","6,809,230.00","10,276,119.24","1,590,835.52","3,940,498.90","7,114,508.66","10,335,531.26","2,800,296.53","5,993,301.39","9,537,649.73","15,716,255.24","3,396,890.05","7,639,467.89","11,899,634.33","15,746,823.73","6,787,374.01","31,438,581.27","67,834,194.00","103,854,086.50","48,352,733.44","103,494,239.00","145,038,746.43","195,670,852.05","56,365,572.03","109,121,321.80","144,859,801.61","219,067,085.51","43,378,704.70"
减:营业外支出,"408,950.30","977,767.12","692,204.90","209,244.12","671,481.23","805,488.58","968,447.48","117,600.91","204,649.62","288,003.13","316,101.99","80,119.87","151,733.62","212,102.02","487,390.38","64,775.09","89,523.85","130,474.70","306,979.45","41,136.68","120,911.92","186,125.08","389,173.36","71,421.96","379,604.23","590,932.01","608,291.67","216,428.46","463,869.99","590,690.30","1,371,810.15","67,163.28","132,303.66","426,721.80","1,737,745.68","536,156.49","1,090,559.68","1,962,546.06","10,333,490.86","680,016.40","976,675.53","1,156,719.50","9,646,585.50","13,003.11"
管理费用,"5,926,852.08","11,496,458.35","26,126,326.45","10,825,745.61","14,710,813.28","28,715,522.32","41,300,521.77","9,419,394.25","14,215,143.95","20,541,618.43","26,912,469.41","7,243,115.39","13,484,131.26","20,048,731.48","25,508,020.10","7,745,204.91","14,022,593.85","20,735,517.90","31,045,705.53","7,713,771.04","13,909,054.31","21,071,153.15","28,404,011.71","10,711,701.61","17,639,903.00","27,798,680.26","37,213,685.33","8,974,741.14","19,744,877.56","31,667,510.26","48,651,900.08","12,086,454.55","59,689,008.35","134,644,459.74","278,229,435.91","119,528,344.01","239,344,494.98","373,806,084.48","494,047,014.14","126,986,750.64","230,760,358.83","323,125,427.43","457,283,356.85","98,645,828.87"
其中:非流动资产处置净损失,,,,,,,,,,,"130,648.00",,,,,,,,,,,,"6,919.15",,,,,,,,,,,"-40,836.13","133,127.72","11,012.85","835,954.75","1,310,304.75","7,260,384.12","461,768.27","660,428.53","685,466.59",,
