科目,2007年1-6月,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"7,131,616,736.00","16,093,446,405.00","8,473,219,397.07","13,324,070,202.00","17,930,556,332.00","4,945,287,536.00","9,696,817,415.14","14,592,862,971.00","21,919,683,139.00","5,481,965,010.00","13,103,190,841.35","20,749,340,982.00","28,875,365,333.00","7,415,893,765.32","16,092,384,201.81","29,283,168,315.56","42,854,655,033.00","9,274,260,939.43","21,236,708,130.88","35,206,055,883.99","52,739,313,342.00","13,602,612,378.00","25,561,531,586.03","40,862,721,654.05","53,396,720,868.00","11,117,963,011.00","25,431,419,864.00","43,048,422,754.00","62,565,273,259.00","17,128,645,984.00","42,994,551,958.00","67,673,091,553.00","79,768,820,268.00","20,132,343,039.00","41,642,916,129.00","61,237,476,381.00","84,032,677,562.00","16,447,263,848.00","39,327,239,047.00","63,298,356,999.00","99,931,682,747.00"
取得子公司及其他营业单位支付的现金净额,"36,479,139.00",,"223,086,089.17","327,190,544.00","513,362,431.00",,"249,028,279.93","249,028,280.00","217,065,507.00",,,"179,827,524.00","203,517,153.00",,"236,628,427.02","725,382,791.78","1,436,327,879.00",,"73,350,000.00","1,159,430,471.33","822,815,660.00",,,,"-136,723.00",,"444,422,323.00","444,422,323.00","1,319,030,811.00","25,496,000.00","74,115,009.00","1,978,126,409.00","759,222,391.00",,,"1,558,118,290.00","538,051,844.00",,,,
收到的税费返还,"4,848,000.00",,"4,227,281.98","4,618,946.00",,,"7,605,508.77","19,353,121.00",,,"15,163,970.29","17,311,049.00",,,"12,843,388.48","25,241,073.94",,"10,050,053.63","15,443,033.24","25,524,073.97",,"12,487,953.88","21,233,730.34","30,817,283.47",,"17,840,795.00","34,985,910.00","55,240,755.00",,"2,293,699.00","12,201,742.00","20,569,166.00",,"53,023,965.00","103,431,885.00","149,311,686.00",,"54,378,303.00","104,024,211.00","139,828,112.00",
支付其他与投资活动有关的现金,"239,441,224.00","1,571,028,485.00","1,044,968,631.10","1,522,549,211.00","3,079,866,142.00","522,840,531.00","374,950,797.54","778,857,225.00","379,862,118.00","107,107,676.00","228,510,511.09","294,608,880.00","106,322,919.00","103,603,325.53","138,339,881.29","402,989,041.06","93,567,471.00","387,597,967.95","689,888,619.47","1,346,036,257.50","186,000,000.00","436,022,842.80","981,422,723.46","2,887,816,903.08","68,067,205.00","690,008,423.00","1,284,972,189.00","1,309,835,182.00","509,667,366.00","736,214,991.00","1,403,280,365.00","1,834,259,222.00","2,357,627,647.00","3,062,632,376.00","897,958,749.00","848,937,771.00","1,881,124,547.00","2,026,253,737.00","1,852,389,851.00","2,325,178,709.00","1,749,548,450.00"
收到其他与经营活动有关的现金,,,,,,"268,971,389.00",,,,"622,956,914.00",,,,"635,464,274.77",,,,"425,780,946.44",,,,"385,118,839.10","525,582,950.58",,"488,773,880.00","1,079,174,342.00","1,045,120,902.00","1,070,796,976.00","942,940,808.00","785,480,624.00","597,372,435.00","1,108,557,785.00","2,260,044,538.00","153,787,438.00","154,482,041.00","207,813,682.00","1,923,091,853.00","195,221,030.00","280,786,248.00","755,425,227.00","1,001,042,952.00"
投资活动现金流出小计,"2,122,306,564.00","5,189,635,417.00","4,229,435,740.81","6,186,374,888.00","8,893,749,762.00","1,044,258,699.00","2,373,580,708.04","3,374,550,133.00","5,310,160,007.00","998,638,315.00","3,840,584,134.70","5,615,265,393.00","7,682,813,182.00","1,154,231,491.28","3,388,715,688.26","6,473,380,256.41","10,652,570,259.00","3,740,783,207.93","6,148,084,099.93","8,460,518,284.90","11,232,682,255.00","2,344,257,678.98","4,999,799,346.69","8,321,058,728.95","10,112,746,625.00","2,680,200,929.00","5,501,035,180.00","7,346,888,789.00","10,389,778,952.00","2,772,021,810.00","5,766,586,996.00","9,638,835,197.00","11,013,776,366.00","4,472,894,270.00","4,573,670,848.00","7,191,503,872.00","9,821,542,629.00","3,136,249,664.00","5,274,127,772.00","5,690,368,416.00","7,777,982,719.00"
经营活动现金流入小计,"7,136,464,736.00","16,093,446,405.00","8,477,446,679.05","13,328,689,148.00","17,930,556,332.00","5,214,258,925.00","9,704,422,923.91","14,612,216,092.00","21,919,683,139.00","6,104,921,924.00","13,118,354,811.64","20,766,652,031.00","28,875,365,333.00","8,051,358,040.09","16,105,227,590.29","29,308,409,389.50","42,854,655,033.00","9,710,091,939.50","21,252,151,164.12","35,231,579,957.96","52,739,313,342.00","14,000,219,170.98","26,108,348,266.95","40,893,538,937.52","53,885,494,748.00","12,214,978,148.00","26,511,526,676.00","44,174,460,485.00","63,508,214,067.00","17,916,420,307.00","43,604,126,135.00","68,802,218,504.00","82,028,864,806.00","20,339,154,442.00","41,900,830,055.00","61,594,601,749.00","85,955,769,415.00","16,696,863,181.00","39,712,049,506.00","64,193,610,338.00","100,932,725,699.00"
投资活动产生的现金流量净额,"-1,996,949,228.00","-4,764,502,880.00","-3,502,627,536.99","-4,749,130,607.00","-8,651,385,701.00","-356,751,206.00","-1,247,003,373.86","-1,890,091,111.00","-3,291,300,907.00","-891,392,308.00","-3,676,449,169.22","-5,227,844,993.00","-6,291,652,494.00","-1,046,046,687.15","-2,537,278,327.29","-5,759,740,995.85","-7,704,356,375.00","-3,441,824,734.84","-5,618,676,230.54","-7,461,582,238.53","-9,936,412,127.00","-1,384,328,631.68","-3,489,578,128.78","-6,474,908,776.88","-8,479,729,564.00","-1,885,993,546.00","-4,355,679,854.00","-5,767,043,095.00","-9,251,759,250.00","-1,850,280,008.00","-4,104,517,129.00","-6,944,850,562.00","-8,693,155,627.00","-1,714,619,410.00","-3,527,387,586.00","-6,031,267,736.00","-8,478,855,949.00","-2,374,605,287.00","-3,611,495,552.00","-4,688,992,178.00","-5,947,602,813.00"
购买商品、接受劳务支付的现金,"4,376,760,046.00","8,727,246,261.00","4,890,087,366.76","8,048,309,072.00","10,517,472,976.00","3,252,538,726.00","5,929,110,440.27","9,065,971,911.00","13,899,733,073.00","3,337,538,057.00","7,678,882,120.81","13,081,862,279.00","18,657,828,109.00","4,108,152,273.16","9,511,039,096.30","19,158,056,306.10","30,400,248,339.00","6,920,206,153.63","14,349,341,777.84","23,601,176,620.94","39,058,205,885.00","10,710,215,353.00","19,411,423,312.88","28,526,905,640.89","37,320,035,917.00","9,418,461,448.00","20,934,796,747.00","35,606,303,905.00","50,060,644,691.00","14,505,111,628.00","36,012,753,328.00","58,170,474,154.00","64,709,402,239.00","17,439,026,011.00","32,954,889,232.00","49,286,678,549.00","67,912,390,850.00","13,232,902,934.00","31,599,031,081.00","51,492,646,570.00","81,347,857,731.00"
吸收投资收到的现金,,"161,348,851.00","10,210,118,717.84","10,376,675,898.00","10,320,718,296.00",,,"6,000,000.00","144,841,931.00",,,"20,675,000.00","94,952,733.00","101,500,000.00","130,805,000.00","162,817,500.00","183,850,260.00",,"131,007,000.00","326,007,000.00","258,094,320.00","96,651,963.02","116,250,000.00","226,398,701.16","130,714,613.00",,"42,812,312.00","42,900,000.00","41,821,084.00",,,"12,289,239.00","12,244,801.00","1,000,000.00","5,000,000.00","5,000,000.00","85,320,787.00",,"4,597,314,976.00","5,101,744,976.00","4,620,679,959.00"
支付给职工以及为职工支付的现金,"143,734,921.00","684,908,887.00","348,830,333.03","510,527,831.00","816,155,768.00","186,229,691.00","379,787,465.62","543,205,132.00","848,532,627.00","246,679,073.00","571,439,734.65","812,844,006.00","974,949,710.00","336,374,703.29","616,137,444.68","909,141,943.54","1,243,421,788.00","416,875,474.30","1,072,719,524.68","1,080,633,109.21","1,617,461,871.00","583,996,492.50","1,200,140,865.60","1,640,147,555.80","2,056,233,096.00","625,666,438.00","1,185,417,632.00","1,749,164,992.00","2,592,389,468.00","741,520,269.00","1,474,558,502.00","2,028,164,351.00","2,451,918,339.00","718,120,973.00","1,415,376,175.00","1,992,320,424.00","2,531,665,290.00","948,087,178.00","1,576,394,215.00","2,243,946,612.00","2,923,049,026.00"
取得借款收到的现金,"3,196,218,200.00",,"1,953,576,173.22","3,123,499,993.00","4,537,318,103.00","1,040,824,000.00","2,650,750,562.88","3,307,060,563.00","4,625,690,798.00","3,248,345,100.00","7,546,897,042.52","9,536,126,823.00","8,722,044,537.00","1,785,971,149.38","4,223,143,181.49","5,796,458,262.77","11,969,162,578.00","3,342,989,131.67","7,607,418,614.75","11,966,278,896.18","12,684,141,313.00","5,652,997,628.00","8,453,398,920.24","11,856,439,748.29","11,410,288,198.00","4,405,803,652.00","10,108,691,883.00","15,725,272,332.00","14,839,306,461.00","2,818,571,207.00","9,569,635,021.00","15,705,507,863.00","14,800,031,114.00","6,806,671,958.00","14,935,532,900.00","23,077,786,258.00","1,179,047,109.00","4,851,331,456.00","9,887,855,362.00","19,526,527,823.00","3,748,020,500.00"
支付的各项税费,"871,154,976.00","1,539,778,493.00","1,043,574,839.65","1,503,633,872.00","1,865,489,050.00","476,857,132.00","913,368,480.69","1,559,314,858.00","1,853,530,662.00","706,774,815.00","1,400,557,408.92","2,080,763,462.00","2,200,620,980.00","1,008,240,093.91","1,922,057,362.04","2,811,601,633.12","3,594,276,242.00","1,259,416,621.46","2,358,000,972.07","3,707,830,357.50","5,189,351,534.00","1,303,247,041.80","2,928,810,790.16","4,084,801,668.14","4,234,484,779.00","985,690,469.00","2,000,175,223.00","2,829,168,981.00","3,579,992,776.00","738,695,129.00","1,689,786,803.00","2,389,107,800.00","3,044,688,546.00","758,954,129.00","1,517,508,925.00","2,292,009,965.00","3,068,703,845.00","943,369,621.00","2,060,597,308.00","3,116,138,717.00","4,384,587,083.00"
收到其他与筹资活动有关的现金,"6,558,636.00","4,380,642,687.00","118,351,126.45","235,330,242.00","33,999,962.00","191,069,500.00",,,"341,648,962.00","87,179,311.00",,,"276,087,187.00","9,940,911.38","37,005,965.29",,"241,991,412.00","805,379,476.77","170,490,387.16",,"8,209,887,098.00","275,622,145.78","86,587,025.90","176,466,244.15","836,570,035.00","850,000,000.00","1,251,344.00","51,313,522.00","360,304,291.00",,"36,847,378.00","82,311,025.00","137,275,522.00","57,490,000.00",,"103,097,900.00","7,667,045,954.00","41,711,138.00",,,"9,828,382,252.00"
支付其他与经营活动有关的现金,"288,081,895.00","585,913,498.00","381,189,902.63","781,798,820.00","706,080,218.00","477,627,212.00","260,600,489.04","275,966,304.00","718,940,429.00","890,408,635.00","287,897,870.06","247,663,376.00","1,121,604,294.00","317,709,517.55","412,247,871.21","516,572,733.98","1,226,530,129.00","348,076,371.42","536,967,561.37","1,426,267,848.32","1,466,712,375.00","692,513,056.50","530,837,871.84","1,323,773,991.11","1,432,277,392.00","580,044,908.00","627,176,308.00","1,155,464,353.00","954,563,340.00","538,534,209.00","575,701,601.00","816,226,194.00","1,553,441,727.00","980,993,831.00","2,381,413,356.00","2,714,153,208.00","3,841,337,552.00","557,046,839.00","1,170,218,113.00","1,575,997,112.00","2,512,876,345.00"
筹资活动现金流入小计,"3,202,776,836.00","4,541,991,538.00","12,282,046,017.51","13,735,506,133.00","14,892,036,361.00","1,231,893,500.00","2,650,750,562.88","3,313,060,563.00","5,112,181,691.00","3,335,524,411.00","7,546,897,042.52","9,556,801,823.00","9,093,084,457.00","1,897,412,060.76","6,178,606,227.44","8,991,690,060.37","15,446,788,378.00","4,148,368,608.44","7,908,916,001.91","12,292,285,896.18","21,152,122,731.00","6,025,271,736.80","8,656,235,946.14","12,259,304,693.60","14,877,572,846.00","5,255,803,652.00","10,152,755,539.00","18,319,485,854.00","17,741,431,836.00","2,818,571,207.00","9,606,482,399.00","19,100,108,127.00","19,249,551,437.00","16,865,161,958.00","19,940,532,900.00","31,185,884,158.00","20,912,842,371.00","4,893,042,594.00","14,485,170,338.00","24,628,272,799.00","18,197,082,711.00"
经营活动现金流出小计,"5,679,731,838.00","11,537,847,139.00","6,663,682,442.07","10,844,269,595.00","13,905,198,012.00","4,393,252,761.00","7,482,866,875.62","11,444,458,205.00","17,320,736,791.00","5,181,400,580.00","9,938,777,134.44","16,223,133,123.00","22,955,003,093.00","5,770,476,587.91","12,461,481,774.23","23,395,372,616.74","36,464,476,498.00","8,944,574,620.81","18,317,029,835.96","29,815,907,935.97","47,331,731,665.00","13,289,971,943.80","24,071,212,840.48","35,575,628,855.94","45,043,031,184.00","11,609,863,263.00","24,747,565,910.00","41,340,102,231.00","57,187,590,275.00","16,523,861,235.00","39,752,800,234.00","63,403,972,499.00","71,759,450,851.00","19,897,094,944.00","38,269,187,688.00","56,285,162,146.00","77,354,097,537.00","15,681,406,572.00","36,406,240,717.00","58,428,729,011.00","91,168,370,185.00"
偿还债务支付的现金,"888,789,577.00","2,032,141,439.00","5,144,059,757.99","5,872,896,462.00","7,507,867,239.00","943,293,159.00","1,877,471,800.00","2,399,284,286.00","4,025,272,687.00","2,778,528,683.00","4,054,944,949.97","6,271,347,735.00","5,722,535,786.00","1,734,930,406.16","2,596,546,690.73","3,714,345,790.33","9,475,256,977.00","786,913,577.93","3,532,137,347.28","5,685,621,983.87","5,772,528,200.00","3,005,710,140.50","7,336,207,028.71","10,228,422,755.21","13,426,308,506.00","1,963,365,841.00","5,972,442,058.00","12,425,870,798.00","11,927,248,893.00","2,635,821,137.00","8,601,463,190.00","14,100,452,801.00","15,657,674,001.00","9,335,649,748.00","18,132,494,117.00","27,779,279,939.00","9,027,785,484.00","2,960,985,791.00","11,209,922,779.00","21,644,005,364.00","4,955,020,405.00"
经营活动产生的现金流量净额,"1,456,732,898.00","4,555,599,266.00","1,813,764,236.98","2,484,419,553.00","4,025,358,320.00","821,006,164.00","2,221,556,048.29","3,167,757,887.00","4,598,946,348.00","923,521,344.00","3,179,577,677.20","4,543,518,908.00","5,920,362,240.00","2,280,881,452.18","3,643,745,816.06","5,913,036,772.76","6,390,178,535.00","765,517,318.69","2,935,121,328.16","5,415,672,021.99","5,407,581,677.00","710,247,227.18","2,037,135,426.47","5,317,910,081.58","8,842,463,564.00","605,114,885.00","1,763,960,766.00","2,834,358,254.00","6,320,623,792.00","1,392,559,072.00","3,851,325,901.00","5,398,246,005.00","10,269,413,955.00","442,059,498.00","3,631,642,367.00","5,309,439,603.00","8,601,671,878.00","1,015,456,609.00","3,305,808,789.00","5,764,881,327.00","9,764,355,514.00"
