科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"294,638,374.79","328,409,333.10","487,165,024.66","94,998,599.31","239,170,247.03","387,634,850.78","554,580,083.07","108,733,926.84","257,041,823.28","408,381,903.64","589,741,488.73","96,549,579.80","240,490,207.63","410,321,805.00","568,056,444.96","134,967,363.24","311,767,661.42","483,093,610.51","645,278,548.60","116,097,254.28","280,347,518.89","447,276,298.16","645,847,828.73","141,883,017.28","340,166,604.63","538,334,212.23","766,932,679.89","166,515,895.75","386,132,187.15","606,127,042.11","833,306,708.69"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,"8,148,083.80","11,768,083.80","15,134,083.80",,,,
收到的税费返还,"8,857,101.25","5,127,025.59","2,093,836.04",,"3,083,689.91","5,164,207.15","10,902,838.20","4,838,678.18","9,690,446.69","14,754,058.38","20,233,151.78","4,950,340.42","6,979,804.31","16,875,089.47","21,021,451.90","4,314,877.95","9,868,749.09","23,007,848.80","27,042,244.53","3,398,665.64","5,604,535.96","6,150,256.12","7,601,344.00","616,636.37","3,557,157.97","6,407,086.61","7,586,069.15","5,361,109.76","11,116,128.33","12,247,321.72","16,767,061.96"
支付其他与投资活动有关的现金,,,"2,406,000.00","2,310,194.00","2,270,000.00","2,270,000.00","11,320,000.00","152,897.00","51,488.00","615,191.00",,,,,,,"8,609,239.24","8,613,438.64","8,609,239.24",,,,,,,"28,000.00","1,325,472.90",,,,
收到其他与经营活动有关的现金,"1,328,901.90","39,023,045.75","9,318,372.62","1,005,335.12","5,276,333.70","11,140,039.79","20,863,658.15","35,917,907.33","44,519,548.43","40,380,912.32","47,786,105.99","33,525,012.82","45,274,486.00","56,512,443.30","69,226,540.34","19,979,428.43","31,052,458.36","37,535,816.42","49,888,081.26","14,291,936.60","29,810,212.80","59,454,984.46","72,354,586.20","17,457,230.39","28,201,649.03","63,749,311.81","70,725,134.92","23,809,645.51","30,376,038.65","47,340,731.77","38,147,975.54"
投资活动现金流出小计,"101,884,451.00","165,475,212.60","105,396,285.00","38,561,262.54","94,434,029.18","131,272,233.41","184,943,771.31","37,994,196.32","123,203,528.20","156,823,031.03","166,450,883.49","25,335,378.23","34,667,636.45","41,725,295.38","50,330,022.75","6,109,753.46","25,082,881.29","255,278,269.12","260,027,175.51","583,727,405.37","964,964,795.74","1,003,967,390.47","1,027,173,205.72","12,432,520.00","9,446,598.80","32,287,719.20","48,929,300.04","85,658,077.00","985,545.00","7,165,352.00","10,087,260.95"
经营活动现金流入小计,"304,824,377.94","372,559,404.44","498,577,233.32","96,003,934.43","247,530,270.64","403,939,097.72","586,346,579.42","149,490,512.35","311,251,818.40","463,516,874.34","657,760,746.50","135,024,933.04","292,744,497.94","483,709,337.77","658,304,437.20","159,261,669.62","352,688,868.87","543,637,275.73","722,208,874.39","133,787,856.52","315,762,267.65","512,881,538.74","725,803,758.93","159,956,884.04","371,925,411.63","608,490,610.65","845,243,883.96","195,686,651.02","427,624,354.13","665,715,095.60","888,221,746.19"
投资活动产生的现金流量净额,"-35,440,670.18","20,343,725.37","-101,577,465.00","-38,409,762.54","-94,270,529.18","-130,631,333.41","-183,024,416.96","-37,994,196.32","-123,017,178.20","-156,531,798.53","-165,949,955.47","-25,335,378.23","-25,577,636.45","-32,632,698.38","-41,232,256.94","-3,367,091.28","-22,315,219.11","-251,538,717.94","-256,305,901.41","-583,727,405.37","-964,901,995.74","-1,003,560,290.47","-1,026,918,864.37","3,452,110.82","77,728,415.82","29,955,905.42","84,141,892.19","-70,519,877.00","154,152,655.00","169,714,410.00","170,146,489.23"
购买商品、接受劳务支付的现金,"239,965,492.42","230,159,364.78","321,121,567.11","130,978,984.89","224,446,420.42","363,199,022.69","454,786,842.85","117,715,372.57","217,228,982.27","312,151,981.75","406,314,971.72","96,933,573.88","188,169,029.81","277,692,826.13","382,671,659.02","90,141,964.26","193,473,974.64","321,729,226.26","434,240,377.45","92,267,865.60","203,667,324.80","300,271,813.62","422,784,215.36","103,311,312.21","195,066,366.63","296,678,826.29","411,517,980.11","128,707,675.62","236,625,606.70","359,646,272.06","482,509,278.88"
吸收投资收到的现金,,"71,617,496.79","43,000,000.00","1,408,273,750.00","1,408,273,750.00","1,408,273,750.00","1,408,273,750.00",,,,"9,000,000.00",,"3,360,096.63","3,360,096.63","4,048,480.58",,,"12,765,514.63","3,403,780.79",,"72,090,192.00","72,090,192.00","72,151,017.00","8,066,100.00","8,066,100.00","8,066,100.00","8,066,100.00",,,"725,000.00","935,000.00"
