科目,2011年度,2012年度,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"392,802,057.37","351,238,713.25","475,231,946.68",,"176,464,577.41","265,233,408.55","408,998,951.51","117,834,072.91","297,446,522.72","450,479,010.03","706,457,115.45","181,196,080.88","340,629,968.83","592,117,692.61","793,283,876.37","207,806,423.36","414,928,470.81","679,132,860.75","1,052,913,554.79","219,478,725.26","462,112,924.92","762,214,311.81","1,151,809,278.94","210,566,024.44"
取得子公司及其他营业单位支付的现金净额,,,,,,,,"34,000,000.00","115,198,271.48","115,198,271.48","115,198,271.48","1,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,,,,,,,,"14,600,000.00"
收到的税费返还,,,,,,,,,"4,726,171.11","4,726,171.11",,,"164,164.26","176,388.97","3,132,461.50","1,795,445.61","2,354,140.02","2,381,269.83","8,800,918.89","12,532,513.91","15,631,445.26","20,171,365.24","27,441,062.23","3,813,452.42"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"942,792.97","17,037,159.89","16,017,014.03",,"5,756,906.65","4,082,981.48","20,122,027.30","4,315,736.66","5,662,245.69","6,234,698.18","9,802,432.53","5,271,216.07","6,605,882.27","21,494,503.97","9,723,481.64","8,593,633.93","7,681,452.63","17,067,885.56","12,089,209.87","8,742,849.29","18,151,696.09","19,768,995.50","10,009,420.64","12,549,425.26"
投资活动现金流出小计,"58,356,615.45","56,065,929.92","31,797,000.60",,"8,884,468.62","43,402,405.96","82,038,188.51","55,501,833.34","148,809,229.73","173,471,479.42","234,687,338.58","30,452,871.90","52,918,133.30","85,037,452.85","97,682,056.97","60,915,047.52","54,582,291.24","89,527,463.21","365,320,066.66","181,459,676.08","223,283,529.73","863,074,254.39","643,322,050.01","890,256,320.34"
经营活动现金流入小计,"393,744,850.34","368,275,873.14","491,248,960.71",,"182,221,484.06","269,316,390.03","429,120,978.81","122,149,809.57","307,834,939.52","461,439,879.32","716,259,547.98","186,467,296.95","347,400,015.36","613,788,585.55","806,139,819.51","218,195,502.90","424,964,063.46","698,582,016.14","1,073,803,683.55","240,754,088.46","495,896,066.27","802,154,672.55","1,189,259,761.81","226,928,902.12"
投资活动产生的现金流量净额,"-55,042,115.45","-55,995,929.92","-31,797,000.60",,"-8,699,468.62","-43,222,522.12","-81,851,108.51","-55,501,833.34","-148,701,537.43","-169,576,906.26","-230,787,257.72","-30,449,154.55","-34,278,955.30","-56,398,274.85","-27,068,721.03","-55,899,358.20","-49,566,811.09","-84,511,983.06","-365,018,000.17","-55,928,614.88","143,770,341.33","-92,023,373.25","-473,097,056.22","39,005,732.77"
购买商品、接受劳务支付的现金,"291,767,086.73","257,956,515.39","326,434,740.06",,"178,918,920.35","230,504,436.49","344,756,770.42","99,732,188.03","192,663,347.28","295,541,722.23","509,532,346.01","135,186,959.06","356,349,631.69","541,612,020.71","652,074,470.01","205,710,893.32","366,413,665.24","539,969,745.12","815,973,774.55","182,840,365.47","371,980,729.28","613,227,113.91","840,035,273.76","278,146,062.44"
吸收投资收到的现金,"33,000,000.00",,,,"258,105,400.00","258,105,400.00","258,105,400.00",,"500,000.00","700,000.00","5,600,000.00",,,,,,,"500,000.00","283,839,348.91","550,000.00","550,000.00","550,000.00","110,000,000.00",
支付给职工以及为职工支付的现金,"23,215,477.80","33,114,648.90","35,698,903.56",,"23,046,637.02","33,381,634.55","41,902,779.94","14,937,450.11","29,023,332.13","41,653,804.87","55,339,495.42","28,797,281.42","36,234,357.66","46,865,973.65","58,982,868.61","23,483,052.72","34,518,306.65","44,048,920.63","66,371,160.34","27,630,961.09","40,105,200.26","50,704,576.65","77,668,910.22","32,822,434.11"
取得借款收到的现金,"36,000,000.00","153,000,000.00","245,646,061.45",,"105,397,062.83","110,397,062.83","162,620,744.43","10,000,000.00","93,655,517.20","176,152,766.54","305,153,325.95","41,233,030.07","172,085,197.23","281,419,338.35","319,219,230.65","132,000,000.00","309,718,460.65","417,080,104.83","434,834,277.37","172,000,000.00","388,387,132.71","478,287,132.71","518,098,566.85","102,000,000.00"
支付的各项税费,"32,473,819.97","43,666,229.83","43,798,345.17",,"21,193,733.58","33,225,352.64","43,964,199.22","10,743,877.51","28,644,288.46","39,633,445.22","49,110,336.43","13,293,722.82","27,877,395.25","49,734,755.24","66,612,470.10","24,902,522.40","47,105,693.30","67,704,863.94","82,154,833.68","21,798,213.07","40,402,630.13","59,494,506.11","73,195,799.03","8,051,626.25"
收到其他与筹资活动有关的现金,,,,,"6,605,000.00","6,605,000.00",,,,,"118,000,000.00",,,,"35,000,000.00",,,,,,,,"282,000,000.00",
支付其他与经营活动有关的现金,"35,336,292.57","25,075,644.66","31,434,886.29",,"15,732,567.77","32,534,462.23","37,003,306.30","20,414,756.04","36,842,875.56","47,946,519.58","66,050,295.27","49,309,604.34","36,008,610.99","50,208,771.49","46,754,298.48","27,531,496.12","37,097,235.09","52,518,965.77","69,145,771.39","31,518,310.50","50,711,531.93","72,034,939.55","80,714,752.75","27,049,574.52"
筹资活动现金流入小计,"69,000,000.00","153,000,000.00","245,646,061.45",,"370,107,462.83","375,107,462.83","420,726,144.43","10,000,000.00","94,155,517.20","176,852,766.54","428,753,325.95","41,233,030.07","172,085,197.23","281,419,338.35","354,219,230.65","132,000,000.00","309,718,460.65","417,580,104.83","718,673,626.28","172,550,000.00","388,937,132.71","478,837,132.71","910,098,566.85","102,000,000.00"
经营活动现金流出小计,"382,792,677.07","359,813,038.78","437,366,875.08",,"238,891,858.72","329,645,885.91","467,627,055.88","145,828,271.69","287,173,843.43","424,775,491.90","680,032,473.13","226,587,567.64","456,469,995.59","688,421,521.09","824,424,107.20","281,627,964.56","485,134,900.28","704,242,495.46","1,033,645,539.96","263,787,850.13","503,200,091.60","795,461,136.22","1,071,614,735.76","346,069,697.32"
偿还债务支付的现金,"10,100,000.00","120,000,000.00","245,532,666.06",,"74,592,226.26","124,592,226.26","179,592,226.26",,,"104,102,880.40","236,278,356.87","28,050,206.75","59,331,680.75","136,536,356.64","188,006,648.89","93,266,233.03","210,911,330.17","313,212,364.90","325,312,364.90","167,000,000.00","349,239,859.83","475,239,859.83","493,239,859.83","40,500,000.00"
经营活动产生的现金流量净额,"10,952,173.27","8,462,834.36","53,882,085.63","-32,743,900.00","-56,670,374.66","-60,329,495.88","-38,506,077.07","-23,678,462.12","20,661,096.09","36,664,387.42","36,227,074.85","-40,120,270.69","-109,069,980.23","-74,632,935.54","-18,284,287.69","-63,432,461.66","-60,170,836.82","-5,660,479.32","40,158,143.59","-23,033,761.67","-7,304,025.33","6,693,536.33","117,645,026.05","-119,140,795.20"
分配股利、利润或偿还利息支付的现金,"4,968,649.26","5,279,480.30","7,071,376.85",,"2,719,301.74","3,756,406.45","4,597,511.91","733,493.32","2,766,642.92","13,794,494.08","16,645,691.35","3,634,513.21","5,748,814.87","20,298,722.59","22,415,158.55","2,840,040.21","21,132,733.29","25,116,010.52","28,158,309.48","4,114,690.82","7,942,883.68","22,022,590.10","56,043,170.85","4,707,704.25"
收回投资收到的现金,"800,000.00",,,,,,,,,,,,,,,,,,,"124,800,000.00","361,100,000.00","763,500,000.00",,"924,903,000.00"
支付其他与筹资活动有关的现金,"4,688,803.69","577,720.12","1,206,458.67",,"207,824.86","207,824.86",,,,,"24,600,000.00",,,,"100,400,000.00",,,,,,,,,
取得投资收益收到的现金,"2,397,500.00","70,000.00",,,,,,,,"3,786,880.86","3,786,880.86",,,,,,,,"269,347.09","708,061.20","5,880,871.06","7,477,881.14","9,505,802.17","2,771,388.31"
筹资活动现金流出小计,"19,757,452.95","125,857,200.42","253,810,501.58",,"77,519,352.86","128,556,457.57","184,189,738.17","733,493.32","2,766,642.92","117,897,374.48","277,524,048.22","31,684,719.96","65,080,495.62","156,835,079.23","310,821,807.44","96,106,273.24","232,044,063.46","338,328,375.42","353,470,674.38","171,114,690.82","357,182,743.51","497,262,449.93","549,283,030.68","45,207,704.25"
处置固定资产、无形资产和其他长期资产收回的现金净额,"117,000.00",,,,"185,000.00","179,883.84","187,080.00",,"107,692.30","107,692.30","113,200.00","3,717.35","18,639,178.00","18,639,178.00","30,517,078.00","15,689.32","15,480.15","15,480.15","32,719.40","23,000.00","73,000.00","73,000.00","70,858.12",
筹资活动产生的现金流量净额,"49,242,547.05","27,142,799.58","-8,164,440.13",,"292,588,109.97","246,551,005.26","236,536,406.26","9,266,506.68","91,388,874.28","58,955,392.06","151,229,277.73","9,548,310.11","107,004,701.61","124,584,259.12","43,397,423.21","35,893,726.76","77,674,397.19","79,251,729.41","365,202,951.90","1,435,309.18","31,754,389.20","-18,425,317.22","360,815,536.17","56,792,295.75"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,"40,096,257.94",,,,,,,,"160,648,333.50","1,587,664.80"
四、汇率变动对现金的影响,"-473,732.26","442,736.20","403,839.01",,"-58,322.36","12,915.20","56,150.36",,,,,,,,,,,,"-286,601.79",,,,"161,729.98",
收到其他与投资活动有关的现金,,,,,,,,,,,,,,"10,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00",,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,
