科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"159,184,805.47","182,857,571.96","194,667,386.94","32,666,946.60","118,467,713.95","148,030,855.81","229,008,021.86","36,279,660.85","98,851,431.18","151,174,678.46","235,456,958.52","42,130,682.21","116,913,828.08","176,087,186.42","230,534,106.73","41,389,042.62","115,745,804.32","182,570,846.52","242,725,039.17","47,580,988.58","134,609,049.35","203,619,913.96","314,303,317.38","68,564,008.28","167,049,327.02","269,358,681.71","422,591,659.07","79,887,740.71","192,559,051.94","318,496,688.73","512,680,944.89","87,733,669.44","237,398,045.23","382,263,453.94","590,941,789.18","89,737,509.74","253,777,658.48","394,578,472.30","608,872,837.97","123,454,284.39"
二、营业利润,"34,945,296.11","39,997,264.77","49,751,440.36","5,259,256.19","22,096,867.87","24,497,703.71","41,772,347.46","1,724,805.56","12,998,706.03","18,682,461.87","29,249,391.11","2,385,851.77","11,401,956.00","16,830,969.43","21,089,437.74","250,374.98","9,868,600.39","17,743,541.96","16,142,125.09","1,579,434.45","13,251,522.08","19,054,085.00","30,754,028.59","1,644,649.10","16,370,752.21","29,118,781.15","48,255,950.36","596,282.60","25,555,888.60","36,752,682.31","67,535,855.87","876,934.78","53,297,829.94","80,523,001.38","130,784,444.19","9,420,597.90","60,205,869.54","83,883,868.02","129,195,722.08","13,730,033.74"
减:营业成本,"85,288,164.44","98,380,169.78","109,402,026.17","17,704,791.52","72,317,407.34","89,222,239.45","137,776,787.79","21,273,125.90","57,237,971.77","86,894,029.32","137,109,728.03","23,858,615.02","70,525,045.00","105,270,850.84","139,168,608.28","23,730,019.90","69,676,203.33","106,120,720.83","144,752,202.34","26,486,892.27","76,544,095.55","114,977,994.94","175,099,172.13","38,343,155.86","90,400,148.22","150,104,910.79","236,896,437.64","47,833,692.59","108,586,254.32","180,334,583.76","295,320,501.25","52,813,711.50","137,739,463.99","221,051,384.74","334,684,157.10","52,686,110.92","142,791,065.48","230,735,174.18","344,374,282.69","72,676,686.82"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"944,224.25","1,559,322.54","1,337,158.40","251,027.26","1,241,872.40","1,474,245.04","1,981,532.20","286,828.35","801,975.75","1,191,645.45","1,897,085.09","376,473.74","1,194,156.23","1,744,075.55","2,356,725.61","410,442.19","1,142,628.11","1,746,871.71","2,446,432.52","707,156.72","1,285,786.10","1,790,799.35","3,129,324.95","769,353.70","1,773,841.39","2,411,273.73","4,238,697.04","822,066.46","1,811,372.10","3,165,922.33","9,567,249.78","924,500.68","4,307,504.99","7,209,592.54","11,424,483.55","1,859,469.00","5,239,014.50","7,437,772.26","11,172,483.65","3,331,383.09"
营业外收入,"8,820,807.59","7,754,131.34","10,228,151.00","3,953,133.79","4,168,521.28","9,227,124.83","20,360,032.03","8,683,044.45","9,041,504.45","9,386,626.64","18,314,403.72","4,888,186.22","7,187,438.85","9,392,137.08","13,484,843.80","3,854,418.62","5,699,547.29","10,879,001.00","20,283,541.88","3,407,657.81","7,818,492.89","11,831,502.87","18,464,793.77","2,169,067.45","10,434,636.84","15,049,557.23","24,690,996.42","4,005,536.10","15,177,383.89","23,804,531.41","29,887,568.80","6,840,742.87","1,133,832.14","1,139,269.70","1,074,086.97","352,219.05","364,213.82","1,110,703.45","120,026.42","181,528.10"
销售费用,"5,895,581.06","10,040,824.31","10,108,335.52","3,044,736.59","5,322,982.00","7,551,585.79","11,852,846.91","3,870,789.00","9,348,409.82","14,218,712.51","21,619,839.01","4,313,660.41","10,141,702.95","15,274,944.55","20,517,541.75","5,496,511.35","11,592,590.46","18,754,024.03","28,295,322.59","5,579,074.97","14,350,997.72","22,421,659.94","33,537,931.72","10,196,679.76","19,391,809.65","29,772,407.75","48,642,645.65","10,289,695.25","20,501,113.04","34,872,433.78","53,163,739.68","11,008,502.42","20,656,087.80","39,056,636.56","61,198,560.82","11,935,637.41","24,527,074.98","42,006,870.66","68,774,342.46","13,872,679.09"
减:营业外支出,"644,710.88","702,949.05",885.26,,"588,158.81","618,158.81","670,952.81",,"130,000.00","630,431.60","660,432.49","100,000.00","656,995.10","714,495.10","725,595.39",,,"193,117.54","293,117.54","53,131.43","50,000.00","148,845.96","185,437.27","50,000.00","130,000.00","149,781.85","229,781.85",,"3,978.85","3,978.85","203,978.85",,"167,697.00","197,697.00","2,767,802.88",,"192,882.94","305,248.49","2,344,369.23",756.34
管理费用,"30,349,721.79","29,413,275.69","20,917,280.48","4,519,687.85","12,213,503.08","20,184,971.89","33,202,083.90","9,436,572.93","20,119,806.68","31,578,902.28","49,419,033.58","14,740,626.83","29,173,183.04","42,451,240.55","55,702,846.42","12,313,052.30","26,447,899.63","41,117,173.95","59,347,725.86","12,863,036.30","29,182,848.01","45,794,495.35","73,562,818.56","18,655,880.48","36,331,309.32","54,824,449.07","79,484,627.68","21,538,693.98","40,092,861.61","65,087,235.73","87,140,315.66","23,036,901.77","40,863,684.40","67,847,142.89","105,974,746.36","23,222,711.40","48,050,806.93","35,522,350.45","48,987,552.69","9,644,166.43"
其中:非流动资产处置净损失,"167,109.20",,,,,,,,,,,,,,"125,750.54",,,,"8,517.54",,,,"75,437.27",,,,"19,781.85",,,,"3,978.85",,"47,697.00","47,697.00",,,,,,
