科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"292,189,301.73","507,709,455.04","708,063,333.23","514,461,083.03","812,662,819.17","985,201,131.88","528,530,294.54","761,155,159.87","1,131,734,841.38","1,475,799,502.13","621,382,259.76","912,240,565.04","1,305,277,831.18","1,654,591,766.21","592,875,871.44","800,928,075.33","1,188,360,371.62","1,544,175,252.46","629,949,061.88","835,605,250.50","1,206,304,069.02","1,608,519,364.56","596,747,141.37","853,233,774.38","1,201,884,827.66","1,731,788,548.05","475,782,423.56","728,995,810.50","1,055,596,243.08","1,510,679,021.46","548,553,996.45","809,777,472.58","1,110,397,930.08","1,590,940,990.16","447,582,185.42"
取得子公司及其他营业单位支付的现金净额,,"499,001.26",,,,,,,,,,,,,,,,,,,,"68,252,407.95",,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,"12,143,450.21","7,213,688.30",,,,,,,,,,"1,080,000.00","3,280,000.00","3,530,000.00","150,000.00","1,050,000.00","3,187,240.44","1,036,627,240.42","813,045,000.00","815,005,000.00","815,851,500.00","1,068,959,000.00","550,849,096.05","781,064,096.05","1,067,344,096.05","1,472,671,692.10","513,476,500.00","664,126,500.00","714,496,500.00","864,646,500.00","352,128,259.56","452,208,259.56","552,555,771.06","703,575,888.26","50,687,000.00"
收到其他与经营活动有关的现金,"764,475.46","48,745,010.75","6,786,961.39","3,665,737.57","4,501,324.20","19,819,370.69","6,324,882.47","8,424,801.72","30,873,531.00","54,412,048.02","16,397,975.40","30,267,772.53","45,433,911.13","76,774,857.20","9,086,702.42","21,072,490.91","30,913,542.68","54,166,343.70","2,774,113.68","5,849,519.26","53,670,341.16","26,778,472.70","3,599,300.44","4,793,961.69","8,876,412.57","27,267,883.14","2,801,840.33","6,291,783.92","8,716,781.85","39,553,220.52","6,085,775.96","14,465,799.64","14,737,995.98","41,655,633.86","11,032,559.44"
投资活动现金流出小计,"24,644,592.33","36,796,532.13","78,667,365.29","22,574,848.56","53,124,609.62","83,495,896.91","36,962,147.63","74,961,354.60","162,131,948.54","195,106,790.99","81,787,856.07","101,810,995.72","148,501,607.51","331,152,855.27","69,743,494.57","408,062,074.28","619,976,525.50","1,301,561,365.57","868,212,111.32","937,395,683.60","1,033,121,647.74","1,331,858,962.04","605,849,134.94","860,525,754.93","1,191,429,299.34","1,644,470,631.00","577,825,998.75","789,373,492.09","870,834,826.55","1,060,009,218.92","376,134,638.10","492,106,832.11","621,580,906.85","792,783,772.09","76,387,391.58"
经营活动现金流入小计,"292,953,777.19","556,454,465.79","714,850,294.62","518,126,820.60","817,164,143.37","1,005,020,502.57","534,855,177.01","769,579,961.59","1,162,608,372.38","1,530,211,550.15","637,780,235.16","942,508,337.57","1,350,711,742.31","1,731,366,623.41","601,962,573.86","822,000,566.24","1,219,273,914.30","1,598,341,596.16","632,723,175.56","841,454,769.76","1,259,974,410.18","1,635,297,837.26","600,346,441.81","858,027,736.07","1,210,761,240.23","1,759,056,431.19","478,584,263.89","735,287,594.42","1,064,313,024.93","1,550,232,241.98","554,639,772.41","824,243,272.22","1,125,135,926.06","1,632,596,624.02","458,614,744.86"
投资活动产生的现金流量净额,"-24,324,098.54","-36,265,441.49","-72,224,591.72","-22,570,848.56","-52,797,609.62","-82,973,896.91","-36,955,147.63","-74,931,354.60","-162,090,948.54","-194,998,352.16","-81,787,856.07","-92,210,995.72","-136,391,607.51","-317,272,855.27","-65,243,494.57","-393,712,074.28","-415,606,754.04","-390,888,389.72","-867,300,111.32","-505,026,096.49","-328,928,897.00","-316,779,715.04","-303,201,117.14","-557,857,084.88","-484,067,852.97","-472,832,670.93","-115,782,008.02","189,075,763.37","158,688,360.93","177,685,787.14","-271,415,689.04","-85,617,857.16","-112,840,515.67","-24,709,819.27","-75,867,391.58"
购买商品、接受劳务支付的现金,"125,663,444.36","166,255,175.95","247,899,565.25","148,017,058.09","313,884,182.73","404,805,922.22","108,105,573.79","199,874,109.25","305,134,315.11","483,785,622.36","169,270,804.13","288,376,688.50","414,449,254.21","520,336,568.78","144,229,616.57","245,263,527.52","372,326,729.00","521,534,336.82","97,364,368.73","204,337,265.99","387,027,436.11","553,140,107.99","123,033,746.22","217,569,639.00","321,775,371.49","484,320,015.12","157,491,510.68","286,370,681.77","381,298,420.25","568,324,708.98","159,617,376.98","323,202,705.97","437,217,439.44","616,919,272.40","154,366,779.10"
吸收投资收到的现金,"11,500,000.00","6,160,000.00","164,000,000.00",,,"913,000,000.00",,,,,,,,,,,,,,,,,,,,"914,762.11","285,237.89","285,237.89","285,237.89","7,785,237.89",,"7,500,000.00","7,500,000.00","7,500,000.00",
支付给职工以及为职工支付的现金,"28,901,565.83","35,919,269.08","47,545,390.14","27,055,816.21","41,998,692.76","62,286,637.34","28,081,734.56","46,591,320.79","73,963,515.19","100,378,309.92","42,163,410.52","74,413,887.87","106,138,395.79","142,511,830.25","50,881,442.69","85,439,085.90","123,913,723.00","167,784,344.07","57,611,239.35","95,060,792.12","139,849,573.80","203,239,224.96","67,800,947.08","114,345,885.88","166,121,035.92","225,388,602.26","72,315,207.31","120,236,804.03","178,470,529.40","242,810,895.82","77,003,885.14","132,013,736.76","193,726,711.26","257,019,066.99","86,774,713.56"
取得借款收到的现金,"20,000,000.00","50,000,000.00","30,000,000.00",,,"30,000,000.00",,,,,,,,,,"248,220,000.00","248,220,000.00","248,220,000.00","400,000,000.00","630,000,000.00","630,000,000.00","630,000,000.00","93,000,000.00","180,000,000.00","189,000,000.00","180,000,000.00",,,,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",
支付的各项税费,"73,572,527.15","168,431,502.57","205,014,407.20","198,962,841.80","258,971,484.80","343,765,948.98","152,983,601.48","255,982,190.96","348,848,238.69","489,876,076.02","175,077,076.13","351,306,382.63","429,680,985.39","571,134,636.40","163,947,476.42","262,962,609.33","322,883,246.37","428,674,233.95","175,070,033.22","275,952,526.05","346,145,542.19","402,941,290.26","169,653,140.92","271,085,937.94","353,956,756.19","425,950,711.54","179,455,125.42","255,208,123.99","308,797,257.36","393,760,930.61","171,478,890.42","251,151,720.10","316,955,878.56","376,766,946.81","169,870,321.20"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"61,752,316.70","29,235,037.82","80,712,476.57","37,931,229.01","45,855,686.98","95,441,767.11","33,657,453.21","51,568,275.87","68,430,555.84","144,057,031.98","35,555,555.24","71,111,043.30","119,179,541.01","197,208,711.90","77,908,830.85","133,069,726.98","171,027,152.51","248,928,889.51","40,375,685.20","81,639,033.78","204,575,402.19","294,653,061.22","52,759,202.78","80,371,661.56","156,216,674.12","297,707,235.18","50,706,905.72","111,374,413.13","199,908,846.29","317,113,464.85","54,123,472.47","113,749,434.76","175,441,628.58","275,880,612.56","53,354,432.65"
筹资活动现金流入小计,"31,500,000.00","56,160,000.00","194,000,000.00",,,"943,000,000.00",,,,,,,,,,"248,220,000.00","248,220,000.00","248,220,000.00","400,000,000.00","630,000,000.00","630,000,000.00","630,000,000.00","93,000,000.00","180,000,000.00","189,000,000.00","180,914,762.11","285,237.89","285,237.89","285,237.89","7,785,237.89","100,000,000.00","107,500,000.00","107,500,000.00","107,500,000.00",
经营活动现金流出小计,"289,889,854.04","399,840,985.42","581,171,839.16","411,966,945.11","660,710,047.27","906,300,275.65","322,828,363.04","554,015,896.87","796,376,624.83","1,218,097,040.28","422,066,846.02","785,208,002.30","1,069,448,176.40","1,431,191,747.33","436,967,366.53","726,734,949.73","990,150,850.88","1,366,921,804.35","370,421,326.50","656,989,617.94","1,077,597,954.29","1,453,973,684.43","413,247,037.00","683,373,124.38","998,069,837.72","1,433,366,564.10","459,968,749.13","773,190,022.92","1,068,475,053.30","1,522,010,000.26","462,223,625.01","820,117,597.59","1,123,341,657.84","1,526,585,898.76","464,366,246.51"
偿还债务支付的现金,,"20,000,000.00",,"10,000,000.00","33,000,000.00","53,000,000.00","30,000,000.00","57,000,000.00","57,000,000.00","57,000,000.00",,,,,,,,"248,220,000.00","250,000,000.00","250,000,000.00","543,374,861.68","694,300,000.00",,,,,"93,000,000.00","180,000,000.00","180,000,000.00","180,000,000.00",,,,,"100,000,000.00"
经营活动产生的现金流量净额,"3,063,923.15","156,613,480.37","133,678,455.46","106,159,875.49","156,454,096.10","98,720,226.92","212,026,813.97","215,564,064.72","366,231,747.55","312,114,509.87","215,713,389.14","157,300,335.27","281,263,565.91","300,174,876.08","164,995,207.33","95,265,616.51","229,123,063.42","231,419,791.81","262,301,849.06","184,465,151.82","182,376,455.89","181,324,152.83","187,099,404.81","174,654,611.69","212,691,402.51","325,689,867.09","18,615,514.76","-37,902,428.50","-4,162,028.37","28,222,241.72","92,416,147.40","4,125,674.63","1,794,268.22","106,010,725.26","-5,751,501.65"
