科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"15,011,378.24","22,435,890.04","39,388,786.69","15,544,246.32","37,942,922.49","556,789,401.69","270,409,230.52","385,315,930.62","420,762,258.50","331,149,802.41","378,123,898.50","236,976,472.38","507,929,722.76","563,408,383.23","805,660,535.99","2,321,782,011.26","1,503,928,644.43","2,344,289,432.26","1,660,454,260.42","2,885,901,805.14","2,335,193,156.50","4,331,217,159.57","2,375,173,892.03","2,310,805,772.35","2,306,240,835.16","1,726,367,862.58","1,668,535,934.61","1,347,616,541.45","1,752,205,886.64","1,148,000,717.04","1,375,522,329.55","2,837,312,301.87","1,567,311,376.45","2,111,357,853.32","1,591,424,282.86","1,191,688,097.19","2,412,857,026.27","672,795,877.72","1,554,175,427.27","2,042,003,785.58"
短期借款,"14,300,000.00","22,561,091.93","42,706,611.20","62,103,129.29","131,152,966.99","131,853,761.16","177,444,380.40","366,500,796.45","588,118,607.10","638,212,645.00","711,048,925.12","778,866,424.70","1,221,050,014.13","1,164,933,617.23","1,655,031,498.29","1,449,239,253.45","2,027,931,544.66","3,247,419,360.45","2,155,035,472.78","3,003,495,652.27","3,204,514,950.33","3,785,893,968.86","1,690,384,022.94","1,683,234,261.24","2,178,743,013.90","2,099,106,551.17","1,498,622,801.43","1,137,568,455.56","2,509,360,986.12","2,856,785,326.62","2,068,174,612.58","3,870,539,716.82","4,833,975,433.84","4,422,619,674.10","4,189,372,332.71","5,530,134,889.47","6,042,697,922.36","5,329,691,209.72","7,111,457,782.87","7,642,534,086.42"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38,518,272.75","37,067,544.75","4,262,860.41","34,617,000.00","26,832,890.00","42,142,854.65"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"121,145,300.00","91,685,300.00","5,887,900.00","19,790,454.97","22,630,750.00","12,906,400.03"
应收票据,"720,000.00","602,845.03","3,391,468.95","23,773,325.36","15,467,833.57","13,561,612.17","28,734,576.46","42,757,129.63","71,482,437.60","80,287,832.57","49,350,322.85","166,492,060.71","199,438,727.53","217,828,484.31","243,443,859.84","110,179,464.09","395,508,134.03","226,392,032.73","59,229,412.48","50,296,578.00","36,420,340.00","88,001,591.34","78,768,566.76","168,917,967.54","254,956,152.17","436,884,233.27","384,127,782.83","287,284,225.92","214,969,994.68","101,969,394.42","214,015,686.99","397,775,928.00","236,642,742.02","281,821,558.68","105,318,340.22","111,394,109.01","164,014,776.79","114,658,918.44","84,693,761.90","12,520,348.39"
应付票据,,,"2,776,654.00","1,846,894.61","27,194,872.09","29,847,487.25","32,679,865.85","25,550,831.85","35,813,560.20","50,762,852.03","67,431,759.20","82,359,576.12","163,552,718.98","270,771,280.65","283,580,094.66","434,813,102.63","336,583,747.77","293,327,723.45","525,206,550.11","376,968,190.86","476,192,781.71","725,911,851.88","590,328,965.87","668,523,386.66","485,200,311.77","890,933,011.05","1,230,815,702.26","1,455,651,472.91","1,466,046,282.45","1,600,381,411.40","2,117,059,886.71","1,836,635,339.01","1,808,692,858.97","2,050,093,724.19","1,727,327,071.03","2,252,079,388.16","1,761,091,014.01",,"1,463,032,969.88",
应收账款,"39,665,185.51","48,022,058.64","88,020,078.79","82,123,655.66","89,767,495.26","116,948,467.79","158,269,615.31","173,737,842.81","143,582,412.61","203,614,432.33","394,679,818.32","354,264,668.32","751,741,023.10","1,006,408,332.66","1,160,970,028.60","990,880,689.73","1,836,940,023.27","1,799,072,947.79","1,911,579,802.89","2,183,043,399.93","2,908,161,018.91","3,400,397,069.30","3,374,019,932.19","3,176,593,014.42","3,854,296,935.14","4,016,615,703.20","4,904,575,311.74","4,408,462,086.46","6,381,939,319.55","7,121,976,637.27","7,757,932,037.68","7,106,094,831.57","8,951,802,587.09","8,775,771,376.72","7,506,283,780.79","7,590,194,970.28","9,807,027,278.85","9,249,659,187.18","7,923,143,655.96","8,759,901,804.43"
应付账款,"10,848,666.80","38,814,075.59","50,609,631.99","55,655,747.56","70,530,474.89","72,356,029.91","94,467,778.37","124,644,835.38","131,903,317.88","190,119,140.91","327,011,505.02","280,311,999.24","650,448,436.40","673,396,321.57","861,496,091.46","1,002,043,092.59","1,900,251,125.17","1,998,861,612.46","2,387,686,516.13","2,913,775,107.63","4,187,200,234.73","3,631,789,326.64","3,494,177,539.82","2,846,447,054.94","3,718,628,866.17","3,881,604,304.12","4,278,604,532.37","4,079,446,548.00","6,030,692,528.65","6,664,708,198.80","7,103,225,486.52","6,290,426,889.91","7,959,653,951.75","8,138,828,862.42","8,205,800,716.70","7,058,458,959.34","11,508,522,242.30",,"9,389,173,069.26",
预付款项,"11,226,613.97","27,292,108.80","13,562,677.27","23,736,181.11","66,759,893.96","161,834,253.28","385,321,331.66","409,463,104.61","380,442,173.81","290,811,819.03","194,146,457.74","156,831,282.02","86,894,740.84","97,610,826.63","126,262,042.56","212,809,746.76","116,708,480.42","108,496,836.70","74,010,844.96","155,303,837.99","214,002,946.89","168,532,727.13","124,420,812.59","143,087,873.95","202,039,114.83","220,724,202.54","34,937,960.09","114,620,481.73","93,169,773.16","184,796,511.91","97,691,148.60","97,208,085.75","187,138,744.05","221,087,086.84","98,504,249.36","94,459,885.80","101,661,049.83","123,376,925.90","32,350,934.71","62,518,823.11"
预收款项,"4,999,550.00","1,674,558.20","1,140,492.76","3,396,594.55","4,466,117.54","3,242,670.19","3,749,590.78","3,427,232.48","2,933,043.81","5,926,966.90","3,165,124.94","4,373,599.84","8,473,719.56","3,195,145.54","5,724,037.86","5,634,959.70","7,063,971.33","2,289,957.01","8,076,151.62","14,717,608.32","13,878,611.20","25,722,888.30","7,275,732.41","9,626,254.24","10,835,204.31","10,451,107.67","7,935,896.84","35,407,022.08","10,618,118.74","27,811,481.97","20,062,546.87","13,162,475.04","11,498,160.80","17,981,356.40","40,223,447.10","59,466,887.40","50,151,559.83","24,572,258.78","32,374,126.08","63,421,089.43"
其他应收款,"2,318,682.38","2,124,164.77","4,338,599.01","6,082,297.21","8,118,818.37","11,828,747.22","7,789,500.05","17,326,984.68","16,793,109.38","12,282,433.60","7,725,208.10","4,466,260.57","12,107,281.62","29,398,616.49","17,963,564.90","11,107,675.09","11,392,765.67","108,563,125.52","37,088,657.75","53,286,219.39","28,971,073.73","64,676,778.60","127,931,484.70","152,553,663.82","248,662,155.95","158,311,518.68","85,184,197.03","95,749,696.87","139,651,166.08","109,802,524.46","173,771,405.77","144,527,894.48","145,770,403.22","163,255,595.22","271,726,595.57","406,157,738.22","99,500,362.94","121,888,259.94","192,453,955.41","126,315,659.70"
应付职工薪酬,"1,609,175.66","2,560,124.61","6,356,338.03","7,083,280.75","7,870,327.02","13,133,228.00","14,139,311.89","17,060,525.91","16,910,905.76","22,539,228.82","30,565,222.22","29,112,035.99","40,873,207.38","38,747,901.29","118,663,735.79","121,309,125.50","133,054,779.33","111,763,141.46","173,361,732.67","158,594,544.40","181,327,198.38","157,807,615.59","191,046,802.13","163,690,709.91","145,077,133.68","146,806,403.58","188,564,892.80","149,200,392.04","186,350,009.44","204,116,122.92","297,835,002.51","267,734,163.85","275,237,049.84","299,696,119.16","395,500,212.95","331,296,617.73","408,130,581.04","441,374,449.96","343,546,693.37","328,822,702.89"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"2,455,489.90","1,187,998.13","5,303,438.15","749,519.27","1,423,879.41","-1,271,115.20","-4,054,814.58","-39,263,949.10","-62,908,182.95","-76,163,139.92","-60,799,354.59","-74,701,452.44","-60,657,651.83","-40,906,055.28","-50,089,179.39","-61,869,075.61","48,434,427.07","59,381,436.51","61,277,535.41","68,286,302.56","64,316,389.21","114,749,109.08","120,346,937.60","100,816,178.05","69,235,822.19","31,603,273.34","95,907,058.40","47,992,347.09","92,021,366.62","94,926,578.02","231,268,123.40","268,090,123.21","238,058,323.09","239,952,822.14","328,779,430.71","460,074,220.16","308,320,130.44","385,199,184.54","199,308,953.36","144,057,479.61"
应收利息,,,,,,"649,783.83","268,176.10","331,525.73","530,453.83","654,999.81","4,181.06","4,686.93","2,634.70","3,055.08",,"12,233.79",,,,,,,"3,802,487.15","3,403,933.33","4,807,072.24","1,112,149.88","636,391.95","703,182.31","137,474.50","476,585.06","475,730.38","1,462,029.48","3,564,260.19","4,539,243.61","210,918.60","259,401.05","299,451.04",,"61,849.26","78,982.23"
应付利息,,,,,,,"319,887.03","159,017.84","1,280,821.74","1,383,677.04","2,230,337.62","3,881,895.43","3,341,172.91","2,028,087.53","7,197,278.58","10,424,345.97","15,102,832.97","5,453,985.65","8,247,638.68","13,076,594.16","33,006,134.34","53,290,802.18","66,375,059.09","12,085,161.13","30,695,476.35","46,456,197.29","70,334,710.04","28,586,188.41","53,148,116.67","85,586,314.93","71,736,971.10","29,718,843.69","58,400,224.81","81,057,356.20","78,659,785.22","61,834,819.81","104,190,059.47",,"91,139,207.49","99,424,538.49"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,"15,360,000.00",,,,,,,,,,,,,,,,,"103,061,200.00",,,,,,,,,,,,"124,864,514.85",,,
存货,"19,089,687.40","43,289,741.01","61,215,639.01","78,668,160.60","98,633,253.32","129,991,626.67","164,997,229.51","254,667,124.97","280,320,003.10","370,830,564.72","388,667,265.09","481,511,670.62","530,843,713.04","508,943,072.79","626,205,705.80","813,648,981.16","1,378,499,882.78","1,488,331,795.65","1,820,067,814.73","2,307,853,810.97","3,538,207,285.19","3,041,200,374.98","2,927,667,811.21","2,940,663,515.87","2,934,778,285.24","3,176,399,449.86","3,295,942,537.52","3,509,978,503.92","4,106,818,332.26","4,393,428,899.94","4,510,612,201.26","4,826,027,146.11","5,862,812,553.57","6,893,890,737.69","7,679,772,610.59","8,308,926,705.92","9,780,069,150.43","11,272,691,871.20","8,940,899,810.83","8,946,810,032.64"
其他应付款,"929,122.46","962,392.69","2,690,806.68","3,535,036.44","4,940,003.33","4,064,879.48","5,168,579.38","2,341,653.49","4,217,582.30","5,965,540.10","5,014,850.14","5,154,305.78","18,102,931.15","77,699,890.28","47,471,753.97","31,623,412.96","21,881,633.96","54,276,318.12","30,181,121.49","25,234,885.65","36,653,634.24","37,576,114.41","57,765,808.81","57,490,084.27","53,069,565.63","45,213,897.78","56,072,657.85","60,888,216.09","55,895,855.03","81,038,353.46","425,262,938.11","414,472,814.21","658,090,831.01","411,642,662.10","317,629,554.56","295,188,402.97","294,890,056.80","310,308,170.98","307,507,118.85","324,775,995.34"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,"6,326,736.86","6,388,589.57","6,388,589.57","9,502,239.49","11,488,818.17","5,306,373.02","6,780,480.50","5,444,317.78","5,551,284.36","5,525,082.78","5,579,354.36","4,198,348.22","2,803,840.81","1,633,287.34","1,633,287.34"
一年内到期的非流动负债,"5,000,000.00",,"33,025,280.30","29,678,568.56","18,925,262.59",,,,,,,,"95,030,762.00","57,800,000.00","121,897,672.00","127,100,672.00","183,507,672.00","132,274,672.00","256,598,672.00","258,522,000.00","294,430,672.00","333,614,652.00","230,737,984.00","241,313,071.89","569,358,008.00","570,556,130.00","268,016,625.46","1,113,076,695.74","1,182,812,238.24","1,184,961,486.24","1,203,351,660.31","309,189,278.99","284,432,798.70","269,074,816.76","1,062,010,380.41","1,061,716,133.19","1,508,784,839.59","1,991,962,870.76","2,009,904,533.94","785,490,711.08"
其他流动资产,,,,,,,,,,,,,,,,,"181,085,964.99","227,790,326.86","241,626,927.94","305,488,580.80","353,374,433.55","1,088,959,552.25","581,258,954.02","233,165,048.67","321,895,616.98","703,283,708.71","288,005,800.47","349,933,110.89","627,438,998.02","974,517,538.95","675,839,999.28","588,918,846.42","769,886,631.32","792,584,661.36","843,756,794.51","856,742,104.51","927,248,367.69","1,083,232,276.56","1,213,456,547.63","1,252,396,553.20"
其他流动负债,,,,,,,,,,,,,,"199,926,997.00","200,000,000.00","200,000,000.00","200,000,000.00",,"500,000.00","500,000.00","500,000.00","500,000.00",,,,,,,,,,,,,,,,,"998,972,222.22","999,472,222.22"
流动资产合计,"88,031,547.50","143,766,808.29","209,917,249.72","229,927,866.26","316,690,216.97","991,603,892.65","1,015,789,659.61","1,283,599,643.05","1,313,912,848.83","1,289,631,884.47","1,412,697,151.66","1,400,547,101.55","2,088,957,843.59","2,423,600,771.19","2,980,505,737.69","4,460,420,801.88","5,424,063,895.59","6,302,936,497.51","5,804,057,721.17","7,941,174,232.22","9,414,330,254.77","12,182,985,253.17","9,593,043,940.65","9,129,190,789.95","10,127,676,167.71","10,446,025,565.58","10,668,334,505.81","10,120,736,419.12","13,325,833,184.38","14,046,457,627.22","14,811,166,912.53","16,006,107,544.18","17,730,373,615.69","19,249,859,397.80","18,141,040,928.03","18,602,469,911.09","23,301,138,672.47","22,675,724,157.75","19,969,640,271.05","21,246,243,149.04"
流动负债合计,"40,142,004.82","67,760,241.15","144,609,253.11","164,048,771.03","266,503,903.86","253,226,940.79","323,914,579.12","515,780,944.30","718,269,655.84","838,746,910.88","1,085,668,369.67","1,109,358,384.66","2,140,215,310.68","2,447,593,185.81","3,250,972,983.22","3,320,318,889.19","4,873,811,734.26","5,905,048,207.11","5,606,171,390.89","6,833,170,885.85","8,492,020,606.14","8,866,856,328.94","6,448,438,852.67","5,783,226,162.33","7,363,904,602.00","7,722,730,876.00","7,694,874,877.45","8,107,817,337.92","11,586,945,501.96","12,800,315,274.36","13,537,977,228.11","13,299,969,644.73","16,128,039,632.81","15,930,947,393.47","16,466,448,231.39","17,201,935,618.23","22,117,530,820.69","21,665,251,522.34","21,877,908,219.83","22,238,007,079.44"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"239,613,800.00","241,529,600.00","321,963,754.62","342,034,043.81","360,688,703.29","375,810,024.54","379,723,859.25","376,028,223.15","394,886,145.02","401,967,089.57","516,771,810.53",
长期借款,"48,000,000.00","89,400,000.00","67,059,000.00","64,118,000.00","41,177,000.00","54,016,000.00","51,075,000.00","197,334,000.00","262,218,471.40","300,056,471.40","322,115,471.40","351,048,803.40","238,569,373.40","286,592,467.40","233,487,127.40","415,469,988.00","483,817,320.00","660,976,652.00","631,131,438.64","765,016,142.64","835,096,648.87","1,042,061,500.87","953,436,250.84","1,138,436,965.41","716,496,102.90","739,765,940.47","600,130,335.40","634,704,990.04","879,029,790.58","860,899,720.22","750,527,913.82","1,504,182,846.51","2,144,914,891.26","2,249,849,498.64","2,168,752,632.42","2,441,134,694.20","3,560,222,572.75","4,175,743,875.39","4,651,796,923.35","5,565,078,592.79"
