科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年度,2014年1-3月,2015年度
三、利润总额,"-5,562,552.16","-9,931,781.07","-15,151,013.21","-107,857,653.68","-5,296,126.50","-10,522,821.40","-15,824,138.78","-90,241,441.34","-5,337,583.73","-10,410,713.82","-15,659,196.28","-80,723,313.31","-5,627,757.33","-9,594,273.19","-13,957,054.68","-72,079,930.55","-1,753,222.11","-2,039,380.51","-3,468,350.18","-82,979,802.19","-1,307,272.98","-1,528,274.56","-2,989,504.02","-72,212,363.38","-69,793,101.57","-44,265.98","1,078,664,428.57"
资产减值损失,,,,,,,,,,,,,,,,,,,,,,,,,,,"537,228.58"
减:所得税,,"52,410.15","52,410.15","56,185.68",,"48,488.89","51,444.73","371,358.71",,"35,513.93","53,611.97","332,661.62",,,"70,585.78","324,151.43",,"21,889.62","21,889.62","-102,824.92","18,412.52","47,036.30","47,036.30","215,156.72","47,854.38","1,445.22","117,873.65"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,"1,015,876.25","1,057,274.59","1,659,905.65","23,550,233.93","563,921.73","1,366,547.67","1,926,928.44","8,282,577.81","551,597.21","918,502.62","1,242,989.27","3,422,012.26","440,160.34","1,113,091.24","1,947,086.23","1,298,362.40","95,467.30","427,042.03","720,519.89","9,500,823.92","100,991.45","-873,312.35","-794,239.69","-743,653.71","27,320.27",,
投资收益,,,,"-12,768.00",,,,"-960,283.35",,,,,,,,,,"-14,200,000.00","-14,200,000.00",,,,,,,,"44,514,766.54"
四、净利润,"-4,546,675.91","-8,926,916.63","-13,543,517.71","-84,363,605.43","-4,732,204.77","-9,204,762.62","-13,948,655.07","-82,330,222.24","-4,785,986.52","-9,527,725.13","-14,469,818.98","-77,633,962.67","-5,187,596.99","-8,481,181.95","-12,080,554.23","-71,105,719.58","-1,657,754.81","-1,634,228.10","-2,769,719.91","-73,376,153.35","-1,224,694.05","-2,448,623.21","-3,830,780.01","-73,171,173.81","-69,813,635.68","-45,711.20","1,078,546,554.92"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"-4,546,675.91","-8,926,916.63","-13,543,517.71","-84,363,605.43","-4,732,204.77","-9,238,006.86","-13,948,655.07","-81,724,150.32","-4,785,811.58","-9,554,360.58","-14,510,027.95","-77,772,300.15","-5,143,920.22","-8,531,948.30","-12,080,554.23","-71,246,264.98","-1,555,342.99","-1,650,645.31","-2,824,432.03","-73,539,407.35","-1,238,503.44","-2,483,900.43","-3,862,265.33","-73,332,541.35","-69,849,526.46","-46,795.11","1,079,599,208.34"
影响营业利润的其他科目,,,,,,,,,,"177,052.98",,,,,,,,,,,,"9,216.53","-478,354.01",,,,
少数股东损益,,,,,,"33,244.24",,"-606,071.92",-174.94,"26,635.45","40,208.97","138,337.48","-43,676.77","50,766.35",,"140,545.40","-102,411.82","16,417.21","54,712.12","163,254.00","13,809.39","35,277.22","31,485.32","161,367.54","35,890.78","1,083.91","-1,052,653.42"
