科目,2007-12-31,2008-12-31,2009-03-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"24,779,522.16","85,297,319.87","92,285,054.31","100,411,354.49","73,226,559.04","592,777,476.79","459,846,261.15","403,075,336.38","331,202,706.63","260,004,507.92","197,113,946.63","186,595,181.42","124,117,806.89","132,261,176.19","207,625,390.08","168,121,199.21","164,542,543.22","138,183,939.31","659,866,271.67","272,843,042.12","210,387,124.01","263,914,644.41","226,177,169.72","256,973,322.34","370,830,155.02","256,022,242.52","79,826,488.73","71,008,937.31","91,099,458.81","258,904,028.54","154,423,616.87","219,025,223.91","181,549,047.02","147,793,535.79","198,216,641.00","265,535,556.29","203,438,666.33"
短期借款,,"15,988,986.04","16,000,000.00","17,483,154.90","17,695,141.16","16,000,000.00",,"1,021,114.63","133,673.99","2,116,603.67","797,349.52","40,000,000.00","40,000,000.00","70,000,000.00","170,000,000.00","109,235,099.74","98,104,271.20","96,906,131.44","97,038,306.20","100,000,000.00","120,813,868.97","67,211,032.51","125,141,190.04","75,468,021.26","185,109,728.14","217,648,173.01","161,986,204.92","91,000,915.61","93,955,332.77","76,802,373.40","83,902,696.84","111,605,544.22","115,206,250.00","205,006,250.00","205,006,250.00","205,006,250.00","182,900,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"700,000.00","533,200.00","540,000.00","1,100,000.00","800,000.00","300,000.00","700,000.00","1,500,000.00","1,450,000.00","1,850,000.00","1,500,000.00","2,428,000.00","3,800,000.00","900,000.00","1,920,000.00","3,350,000.00","2,900,000.00","1,800,000.00","2,100,000.00","2,500,000.00","3,090,900.00","600,000.00",,,,"60,000.00",,"200,000.00",,,,,,,,,"35,000,000.00"
应付票据,,"6,650,319.79","1,831,753.20","6,933,333.74","2,898,498.00","8,995,646.90","10,834,504.98","8,436,464.92","2,936,009.20","7,921,593.20","5,954,092.20","33,722,998.66","1,127,430.32","10,859,346.54","4,423,726.62","3,703,263.30","1,835,918.00","5,285,088.50","9,801,993.50","18,181,365.33","4,351,782.05","14,309,136.83","11,818,323.33","21,813,077.00","6,620,921.20","5,826,313.63","17,373,638.12","3,861,063.56","3,819,667.10","118,576.70",,,,,,,
应收账款,"37,846,083.18","42,786,322.95","37,725,569.23","39,773,656.81","38,980,731.44","49,066,204.16","61,535,166.10","79,798,939.49","54,529,012.85","48,663,836.16","62,688,043.69","78,224,888.57","80,086,862.06","97,057,940.22","93,657,967.97","110,836,340.14","110,134,778.74","116,368,406.92","104,925,708.72","94,522,970.31","95,283,936.70","99,225,363.11","94,453,941.02","88,860,962.60","79,212,694.81","159,308,166.56","216,278,448.29","173,495,745.88","148,710,519.84","171,876,943.30","200,285,467.88","188,620,651.88","209,761,891.34","246,979,488.33","347,664,363.37","400,264,041.46","356,759,423.24"
应付账款,"8,294,349.61","10,423,266.25","6,569,194.17","16,843,323.75","11,648,619.16","19,612,535.22","23,987,260.96","23,785,210.17","19,473,979.69","20,056,006.05","53,335,508.62","69,806,546.12","36,935,531.65","44,600,899.36","35,559,426.49","47,602,520.25","35,616,196.05","40,801,251.13","54,155,980.67","39,721,515.57","28,251,369.13","25,252,560.87","41,280,662.25","29,842,450.80","24,979,736.52","26,833,413.12","34,903,923.85","46,305,735.23","45,741,940.95","54,025,449.44","32,920,152.09","93,590,915.02","72,682,368.40","78,432,424.67","92,725,154.12","117,731,476.55","140,330,087.42"
预付款项,"5,529,946.47","18,324,932.12","17,557,008.60","11,773,574.09","11,231,037.36","19,351,215.32","64,463,543.03","78,460,059.92","184,144,351.96","241,241,578.67","239,356,682.27","182,141,628.07","145,684,130.80","163,718,269.93","90,078,621.26","49,837,839.27","61,738,047.20","60,630,627.23","63,231,952.87","48,035,883.89","56,233,591.70","108,702,963.91","59,751,485.43","32,381,156.26","77,758,772.83","65,786,877.84","38,266,380.76","44,711,519.83","46,689,881.77","97,779,451.77","83,440,427.62","53,905,554.82","118,649,397.36","203,993,565.47","219,080,373.91","75,497,861.90","113,836,489.88"
预收款项,"8,168,274.18","9,030,033.74","9,616,794.29","1,989,897.45","5,558,033.23","1,448,837.20","1,138,890.38","732,338.34","1,052,832.34","1,104,321.01","5,633,712.12","6,380,149.13","6,485,434.85","8,393,260.50","9,428,368.95","6,055,293.99","10,118,590.53","5,794,799.43","8,908,234.22","9,727,866.54","4,370,905.48","9,144,659.67","9,965,830.13","3,302,008.68","30,687,472.79","42,687,066.46","6,896,970.90","11,474,835.61","2,534,671.23","3,147,976.81","3,580,584.63","8,833,012.57","10,873,775.33","9,235,779.31","11,060,145.75","3,304,357.85","8,245,098.43"
