科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"64,229,212.79","52,370,432.53","76,195,670.02","326,380,994.60","181,325,310.52","158,233,097.43","144,368,161.97","106,415,081.02","125,394,843.77","80,245,923.22","105,436,705.53","92,577,754.08","126,920,094.83","128,746,877.20","92,389,374.94","90,240,057.85","87,192,889.33"
短期借款,"80,000,000.00","70,000,000.00","90,000,000.00","90,000,000.00",,,,,,,,"90,000,000.00","126,240,195.11","108,492,367.40","87,467,206.42","159,913,156.54","183,070,609.03"
交易性金融资产,"43,900.00",,,"108,540.00","134,280.00",,,"173,400.00",,,,,,,,,
交易性金融负债,,,,,,,"668,950.00",,"599,400.00",,,,,"10,170.00",,,"220,960.00"
应收票据,"41,397,148.82","55,373,649.25","31,756,259.61","41,813,948.15","83,382,177.04","88,652,399.04","79,945,209.07","74,374,915.47","81,921,903.78","96,349,297.61","80,271,582.56","126,361,252.45","146,624,576.00","119,086,052.04","117,321,803.91","158,984,975.34","165,638,772.17"
应付票据,,,,,,,,,,,,,,,,,
应收账款,"57,520,046.64","72,845,403.62","91,529,244.36","118,051,333.13","100,180,377.77","114,313,769.71","105,433,247.98","134,990,099.85","133,025,748.18","149,832,077.15","167,982,252.89","150,118,454.41","135,836,643.63","143,633,407.04","196,278,205.83","177,886,969.70","172,622,682.90"
应付账款,"22,166,638.56","18,891,113.56","44,890,658.01","47,496,550.83","46,623,694.77","53,080,681.25","44,548,306.83","27,241,466.33","31,230,966.41","41,417,599.21","52,679,816.95","37,983,940.56","52,286,398.08","64,763,881.98","57,001,350.25","27,928,854.35","48,571,470.71"
预付款项,"335,677.70","5,992,876.86","19,902,411.27","16,222,580.06","16,604,212.69","34,432,938.33","18,348,667.24","13,927,287.60","15,034,343.85","14,448,800.78","24,051,647.82","1,471,999.39","10,994,223.40","40,456,428.01","12,784,662.85","27,051,024.60","7,707,020.17"
预收款项,"101,914.35","1,769,047.30","328,051.42","1,238,089.21","1,298,335.14","2,573,352.39","2,720,922.36","2,410,993.41","739,183.85","609,509.40","2,347,697.00","156,605.07","689,193.74","3,804,183.04","674,838.97","538,586.31","2,171,631.05"
