科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
应付职工薪酬,"68,870,627.18","91,448,393.08","46,309,559.68","63,149,420.71","84,568,819.49","72,337,285.02","56,930,058.24","99,398,591.52","120,180,913.68","115,062,448.03","59,577,582.20","73,798,761.64","100,458,765.66","91,384,173.14","55,200,242.04","69,949,586.82","89,388,907.70","88,261,348.15","55,598,199.68","59,579,125.56","60,494,272.00","53,710,005.77","50,199,229.15","37,786,060.47","60,173,652.12","54,273,419.40","34,739,863.48","32,090,468.48","60,977,271.58","53,132,066.83","42,553,218.00","39,143,698.16","55,882,469.10","47,812,061.76","35,625,571.01","37,711,040.85"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"3,500,446.67","11,155,905.11","9,220,907.81","209,729.02","25,542,490.36","8,265,922.72","9,780,527.96","13,661,384.97","15,451,519.52","15,037,392.91","17,528,714.43","4,451,041.58","7,948,676.97","6,137,528.41","13,562,119.41","7,473,239.30","14,102,844.26","10,796,426.78","7,960,918.49","12,140,883.51","26,971,110.23","13,867,972.81","19,968,657.56","8,337,766.16","12,632,756.89","10,353,297.62","74,052,264.51","50,009,395.79","297,518,802.02","350,860,030.05","530,995,284.25","528,682,384.47","201,187,772.57","70,793,628.86","249,019,621.00","203,847,980.00"
应收利息,,,,,,,,,"2,329,075.11","4,290,604.96","2,642,281.84","1,013,594.16","5,029,770.61","5,441,692.23","7,957,159.35","1,276,502.05","3,573,046.17","4,779,915.39","1,749,535.28","1,427,045.24","2,005,915.90","1,188,921.10","181,927.77",,"1,876,374.08","1,743,731.34","245,367.95","146,046.05","307,105.21","307,105.21","66,900.09","253,438.40","1,145,363.42","1,588,108.25","89,705.15","321,294.30"
应付利息,,,,,,,,,,,,,,,"11,777,777.79","25,088,691.36","38,277,777.80","52,192,479.19","11,777,777.81","25,072,983.30","38,457,777.83","51,707,777.84","12,437,777.85","20,791,111.19","38,277,777.87","53,075,135.14","16,546,234.03","27,936,982.90","36,291,223.54","48,792,959.79","11,203,901.03","23,705,637.28","38,879,248.52","50,510,151.44","7,497,693.66","18,155,771.99"
应收股利,,,,,,,,,,,,,,,,,,,,,"660,000.00","660,000.00",,,,,,,"204,244,469.96",,,,"44,155,446.16",,,
应付股利,"33,162,827.66",,"54,089,750.00",,"23,177,657.39","23,177,657.39","23,177,657.39","23,177,657.39","23,177,657.39","23,177,657.39","29,445,157.39","72,214,222.87","72,214,222.87","68,703,688.20","73,195,351.35","46,747,502.27","4,224,738.00",,,,,"1,136,877.76","30,136,877.76","1,136,877.76","816,877.76","816,877.76","816,877.76","816,877.76","48,447,726.36",,,,"76,733,006.98","76,733,006.98","427,599,821.91",
存货,"184,042,601.87","386,789,962.18","266,327,572.73","313,580,466.16","312,956,724.05","333,790,265.86","338,752,280.75","344,107,979.76","343,260,520.93","396,970,365.15","448,937,785.05","450,044,036.19","411,497,472.24","406,187,544.19","327,929,918.62","339,653,345.98","329,523,672.90","367,591,904.55","393,345,645.59","385,638,910.59","339,353,751.46","342,088,655.36","371,479,071.43","391,277,566.62","302,689,538.87","354,875,659.47","6,716,534,655.17","6,467,115,194.26","5,739,575,358.58","4,840,217,968.62","6,586,049,479.84","7,998,216,861.35","7,741,195,126.65","8,200,813,209.64","8,130,780,847.22","9,114,439,716.36"
其他应付款,"27,340,728.49","41,191,120.05","44,449,451.50","49,071,113.09","32,396,665.54","34,459,028.47","37,050,763.32","42,426,814.64","40,568,447.06","41,872,716.84","52,350,928.93","54,614,666.86","152,251,258.31","142,690,475.53","105,565,325.28","124,757,388.86","126,383,565.54","92,611,362.47","91,125,398.23","103,987,509.80","105,059,530.30","114,969,684.70","101,475,377.14","91,625,209.94","76,372,869.31","81,249,121.80","722,048,082.54","771,197,036.73","787,513,344.33","398,631,906.32","469,225,651.42","787,526,329.61","516,943,720.70","590,383,447.80","704,694,709.31","786,977,032.11"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
