科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"174,846,367.76","160,876,393.05","74,992,340.50","104,408,890.28","157,350,665.12","29,560,407.65","82,442,254.62","134,600,771.80","263,958,443.19","41,860,690.28","121,463,234.62","200,147,439.87","353,412,124.44","69,625,741.42","177,616,902.48","307,791,048.61","460,718,718.41","106,649,143.96","271,406,432.92","423,234,483.10","630,349,034.45","132,122,685.09","207,707,165.53","256,332,585.71","517,561,460.54","131,904,326.60","275,716,478.11","516,423,169.34","848,498,014.51","152,395,333.57","295,348,039.98","439,503,525.31","701,812,884.36","58,343,293.81","215,952,781.09","305,147,347.54","1,034,143,769.01","699,882,734.00","1,651,971,101.86","2,746,339,018.30","3,921,517,862.11","947,582,496.65"
二、营业利润,"40,405,351.62","40,422,165.17","14,560,463.63","19,078,341.47","27,829,474.26","-239,505.47","13,986,797.98","26,966,348.59","41,182,434.46","946,058.53","17,958,116.82","29,810,397.51","35,611,947.15","1,113,622.62","14,617,618.16","38,550,494.11","42,587,918.55","5,680,026.90","13,448,814.30","24,129,341.83","-41,458,632.86","3,799,604.46","10,274,478.74","-6,293,125.78","1,217,553.73","415,207.21","-2,901,167.59","6,843,346.76","16,409,083.28","1,227,902.76","-10,415,371.29","-30,715,204.44","728,438.27","-18,936,012.98","-38,254,572.17","-48,254,384.62","58,765,822.59","85,227,116.60","181,022,338.35","241,360,668.06","490,003,140.42","83,538,833.01"
减:营业成本,"92,996,189.06","84,553,568.37","38,520,367.05","49,245,188.80","84,283,115.15","19,550,774.84","48,433,673.12","67,503,704.95","156,009,235.34","23,644,663.67","66,613,356.56","106,050,466.40","206,904,142.99","45,065,740.33","110,839,028.60","185,340,161.14","281,764,288.09","73,487,640.28","195,184,661.23","317,749,226.25","482,580,714.36","97,290,817.90","164,676,998.42","197,226,492.26","396,899,546.12","96,451,301.58","208,419,076.40","414,864,214.88","682,796,720.16","119,639,171.38","242,671,485.92","366,084,466.62","607,201,305.80","52,188,175.71","193,776,951.94","265,547,277.52","694,456,130.71","450,286,198.39","1,080,489,987.13","1,857,127,432.97","2,554,712,573.34","652,100,983.36"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"161,440.00","174,282.43","100,133.74","240,367.09","472,959.66","128,833.27","180,249.61","282,022.21","1,378,772.67","99,777.45","719,075.93","1,826,986.39","4,612,059.92","1,510,576.71","3,249,205.95","4,736,230.62","7,381,021.65","1,717,323.43","4,661,721.24","8,019,254.23","11,084,199.52","946,201.07","2,562,599.90","2,906,004.90","5,151,598.88","637,851.60","2,429,924.15","7,827,311.53","9,268,512.60","2,547,119.53","4,150,639.97","4,745,176.10","6,821,470.23","785,404.96","1,212,891.57","957,578.29","4,232,052.98","1,310,107.96","4,554,742.22","7,678,829.02","13,456,250.16","2,741,481.85"
营业外收入,"4,767,621.29","3,083,579.10","2,675,282.05","5,136,093.23","5,687,477.85","1,586,815.93","2,994,187.28","3,434,751.52","3,857,723.00","544,024.42","750,831.39","1,450,447.85","2,804,792.58","964,900.83","4,512,088.58","5,027,370.33","6,826,083.23","664,124.85","3,509,660.98","5,831,113.90","6,948,291.84","391,304.35","4,023,990.73","8,488,146.62","14,132,085.41","3,391,923.10","20,217,280.00","20,241,787.08","20,178,877.65","1,905,055.93","3,650,355.77","3,653,662.81","6,015,419.38","189,994.48","1,243,648.67","1,264,654.53","282,352.20","1,675,567.80","2,157,875.33","7,420,685.83","7,981,143.45","1,334.18"
销售费用,"14,767,816.57","11,280,265.67","7,389,360.28","10,639,266.55","12,095,650.38","2,764,053.04","6,450,384.68","13,549,433.90","19,179,607.54","3,657,746.85","9,473,490.04","16,783,187.72","25,121,889.31","5,623,052.89","11,829,541.26","17,976,575.44","30,368,132.66","6,896,926.36","15,787,049.37","25,024,678.80","38,319,043.96","8,361,536.54","18,043,672.29","25,849,393.12","39,333,767.73","10,386,006.95","18,728,470.69","27,398,743.14","38,721,169.69","8,541,443.52","16,313,104.72","25,281,789.29","37,957,295.40","7,374,709.45","16,632,975.48","24,254,593.41","65,695,809.05","43,206,355.53","94,729,790.00","192,039,614.33","250,473,912.62","47,147,675.87"
减:营业外支出,125.00,"71,333.62","34,588.46","34,588.46","329,317.57",,90.00,"1,154.47","165,759.90","9,454.84","42,391.22","128,340.25","137,011.59","13,993.67","18,608.99","24,777.09","82,268.70",20.99,"19,400.47","21,790.05","31,986.51",,22.20,"22,333.90","812,152.21",,"741,073.87","761,009.65","18,596,979.88",,"74,660.01","97,291.60","393,251.47","294,155.47","299,128.35","402,259.24","1,043,624.36","3,138,624.23","4,478,164.57","4,530,277.36","91,846,776.76","103,629.17"
管理费用,"23,609,704.83","17,181,659.32","10,116,149.76","19,014,633.22","25,131,087.39","6,241,354.68","11,017,639.32","20,759,149.51","35,357,647.43","10,963,518.08","21,229,541.99","34,476,277.56","56,935,351.18","11,903,142.76","26,745,333.08","42,270,773.24","64,510,505.88","12,587,752.83","29,176,163.79","44,097,187.77","63,860,210.03","11,043,645.93","27,893,724.21","41,931,237.77","59,193,983.87","16,327,138.72","30,147,604.01","43,225,592.26","62,353,281.07","17,637,245.37","39,517,495.61","59,951,710.22","85,593,686.94","16,588,894.99","33,810,980.78","46,953,648.95","179,620,008.05","105,341,104.06","271,506,038.32","380,801,509.71","435,988,043.45","140,262,563.15"
其中:非流动资产处置净损失,125.00,,"34,588.46","34,588.46","34,588.46",,,,,,,,"114,780.32",,620.00,"4,233.60","4,233.60",,,,,,,,"190,725.13",,"1,780.00","1,780.00","16,874,882.23",,"50,660.01","50,660.01","119,637.00",,"4,787.50","107,535.63",,,,,,
