科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"444,517,659.15","1,134,269,514.25","1,490,836,425.09","748,908,874.92","2,044,402,771.09","449,064,970.32","1,078,232,858.19","1,743,732,537.32","2,604,763,390.34","499,900,045.93","1,124,726,470.65","1,946,205,686.31","3,003,474,722.79","912,227,007.83","2,284,304,637.70","3,900,155,170.34","5,605,907,003.09","1,967,844,689.37","4,230,655,679.54","7,157,138,902.69","10,042,415,931.26","2,755,526,839.54","5,512,954,783.41"
二、营业利润,"68,440,239.75","345,034,417.63","301,335,260.52","57,424,516.73","259,814,599.34","-65,842,507.85","-96,205,766.24","-18,535,020.17","20,975,271.95","-38,245,176.76","14,866,896.53","234,279,891.97","505,431,577.31","352,466,673.02","1,034,645,806.24","1,703,908,946.19","2,228,005,065.81","671,363,410.00","1,200,809,009.66","1,821,165,668.23","2,389,569,913.88","144,434,537.66","-75,936,569.74"
减:营业成本,"347,132,615.70","697,175,526.36","1,072,368,266.19","630,526,806.92","1,639,297,666.86","466,784,990.71","1,083,057,981.33","1,625,857,454.14","2,403,293,260.03","487,374,641.39","1,004,244,178.62","1,547,092,364.93","2,263,913,601.92","491,997,371.74","1,110,865,288.57","1,973,169,160.36","3,044,443,181.94","1,171,543,690.55","2,777,113,000.51","4,910,601,655.35","7,048,993,912.33","2,395,495,111.33","5,162,886,819.88"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,,,,,,,,,,,,,,,,,"6,237,904.27","5,468,028.87","7,629,746.19","11,314,897.06","16,563,918.14","5,440,185.58","10,246,934.31"
营业外收入,"17,552,774.82","17,138,864.80","32,835,096.74","18,383,379.00","44,375,710.83","10,150,065.27","15,798,553.48","21,525,796.56","60,619,162.77","18,075,444.26","32,240,652.09","45,169,067.10","91,575,519.68","16,027,806.07","38,464,317.92","58,840,123.28","96,653,084.23","9,861,178.43","4,671,295.49","12,853,850.65","18,793,686.33","5,241,603.32","15,466,881.63"
销售费用,"1,912,368.42","5,304,254.33","5,626,659.46","2,920,565.84","6,456,814.88","1,885,056.82","3,102,428.21","4,226,784.89","5,290,361.42","1,142,721.34","2,740,395.16","4,357,218.28","6,201,326.76","1,774,017.12","4,544,563.22","8,694,497.63","13,563,243.05","7,653,723.64","15,521,278.97","27,926,972.44","38,849,279.90","11,199,281.91","22,757,439.52"
减:营业外支出,"383,535.00","5,537,457.05","1,722,702.43","230,399.00","360,833.56","27,816.90","51,252.25","291,393.15","1,396,379.90","25,117.60","275,067.91","451,893.95","1,156,255.43","537,265.22","681,228.27","816,322.16","2,759,437.82","1,188,217.01","5,212,036.05","21,807,659.99","42,804,184.37","13,640,974.82","18,106,788.79"
管理费用,"21,544,165.04","45,036,383.27","61,843,517.61","30,441,901.37","62,888,489.38","16,339,814.75","36,414,443.58","54,082,363.42","74,100,915.46","19,850,642.34","42,792,626.94","66,843,457.96","101,748,390.03","31,417,486.08","67,128,446.84","105,289,119.32","149,539,705.14","53,614,869.73","172,192,519.31","297,222,461.46","454,234,849.15","165,274,199.80","310,068,981.56"
其中:非流动资产处置净损失,,,,,,"27,816.90","43,732.25","283,873.15","1,388,859.90","25,117.60","275,067.91","451,893.95","1,129,269.43","537,265.22","681,228.27","816,322.16","2,349,437.82","88,217.01","376,812.93","1,217,269.85",,,
