科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"238,469,803.65","246,920,031.77","245,925,142.22","145,937,149.60","209,265,323.17","298,934,822.99","70,956,025.31","215,018,563.72","342,054,034.62","468,830,926.90","79,431,647.67","178,689,503.47","330,802,722.83","497,148,386.51","104,948,300.06","274,778,157.25","461,421,483.14","623,433,401.16","121,378,664.22","309,287,871.30","523,579,393.21","861,908,296.23","139,016,128.86","407,913,446.31","633,149,372.15","995,412,069.46","190,223,773.87","452,686,035.28","722,278,479.66","1,164,096,296.28","199,712,370.69","472,750,029.67","835,729,247.35","1,315,418,931.30"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"14,001,279.12",,"37,586,098.61","63,326,098.61","63,326,098.61",,,,,,,,,,,,,,,,,,,,
收到的税费返还,"8,892,327.75","7,513,782.73","12,492,771.17",,,,,"285,829.97","285,829.97","587,080.00",,,,"234,300.00",,,,"696,742.74",,"104,854.08","783,334.64","1,575,452.00",,"873,032.06","873,032.06","1,211,014.58","699,074.68","699,074.68","699,074.68","3,006,555.67",,,,"2,994,256.81"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"1,917,888.68","3,530,398.97","8,428,239.17","479,385.83","664,046.22","3,005,016.67","2,490,210.69","3,078,731.97","12,278,641.00","23,048,381.68","4,888,093.15","6,360,183.11","17,473,025.09","15,478,044.93","2,105,957.47","3,204,074.18","7,001,746.32","11,703,429.45","1,524,143.86","13,803,806.15","30,411,325.55","20,330,011.16","6,980,042.42","12,399,947.33","15,050,140.22","25,457,954.96","2,760,032.81","14,968,917.88","18,928,131.66","43,478,945.73","2,602,197.79","35,570,178.05","28,042,866.62","31,201,123.18"
投资活动现金流出小计,"61,628,068.42","25,764,862.02","13,018,426.53","6,226,505.90","9,460,598.06","25,358,000.71","20,604,704.69","21,129,929.86","46,692,223.66","86,657,171.75","9,457,900.94","67,334,878.63","127,163,765.93","182,734,489.51","15,011,867.89","41,839,434.35","53,155,735.57","74,365,202.97","19,819,580.16","26,774,780.29","41,518,335.63","63,185,135.26","31,129,054.29","45,702,457.98","84,352,394.06","100,587,073.42","26,732,980.32","39,318,533.84","47,777,840.50","57,006,641.72","19,805,939.78","26,444,208.18","32,367,255.19","33,437,270.81"
经营活动现金流入小计,"249,280,020.08","257,964,213.47","266,846,152.56","146,416,535.43","209,929,369.39","301,939,839.66","73,446,236.00","218,383,125.66","354,618,505.59","492,466,388.58","84,319,740.82","185,049,686.58","348,275,747.92","512,860,731.44","107,054,257.53","277,982,231.43","468,423,229.46","635,833,573.35","122,902,808.08","323,196,531.53","554,774,053.40","883,813,759.39","145,996,171.28","421,186,425.70","649,072,544.43","1,022,081,039.00","193,682,881.36","468,354,027.84","741,905,686.00","1,210,581,797.68","202,314,568.48","508,320,207.72","863,772,113.97","1,349,614,311.29"
投资活动产生的现金流量净额,"-60,162,540.64","-24,985,077.02","-9,748,343.02","-6,057,775.30","-9,274,632.46","-24,465,451.33","-20,573,154.69","-21,039,853.98","-45,941,445.42","-85,110,445.24","-9,457,900.94","-66,590,768.29","-125,782,493.45","-166,386,490.24","-15,011,567.89","-41,762,805.65","-52,506,014.45","-68,612,793.18","-19,636,245.87","-26,163,138.35","-40,894,418.69","-54,710,392.48","-31,128,654.29","-45,338,719.46","-83,296,525.98","-91,354,966.03","-26,046,618.72","-33,231,582.24","-28,743,863.45","-37,886,183.67","-19,689,679.46","-25,056,170.97","-30,974,237.98","-29,629,366.61"
购买商品、接受劳务支付的现金,"139,761,964.17","110,528,236.59","98,328,643.52","64,583,891.03","105,040,176.75","149,152,262.86","42,965,170.01","116,342,903.62","190,730,205.54","259,367,912.75","49,142,653.00","100,336,353.49","183,926,620.92","256,510,847.66","65,389,657.54","155,100,434.43","251,792,468.58","337,691,231.42","81,526,305.10","165,106,252.99","288,849,685.60","455,375,799.85","79,727,203.09","184,482,595.72","281,872,962.21","442,614,092.23","112,183,721.60","218,881,109.30","366,412,151.23","529,945,102.34","138,433,835.18","306,407,380.52","520,955,119.77","696,512,345.70"
吸收投资收到的现金,,,,,"470,029,752.50","470,029,752.50",,,"2,145,000.00","2,145,000.00",,,,,,"2,145,000.00","2,145,000.00","2,145,000.00","1,122,000.00","2,210,000.00","2,210,000.00","127,509,957.44",,,,,,,,,,,,
支付给职工以及为职工支付的现金,"54,172,995.41","56,027,940.38","61,328,551.85","33,777,865.92","53,099,568.63","70,586,101.76","18,606,118.02","45,418,344.24","73,758,238.37","104,805,159.22","35,771,769.30","62,232,210.17","97,987,217.89","137,918,400.55","38,953,021.29","71,261,771.00","113,796,939.16","162,403,886.00","42,432,913.87","77,667,706.04","120,660,267.62","208,321,897.08","61,965,021.10","103,779,868.76","154,422,699.58","223,210,720.41","62,953,213.48","110,800,568.16","166,860,656.32","246,210,854.45","71,722,979.38","129,995,752.93","188,591,663.30","262,950,525.96"
取得借款收到的现金,"78,000,000.00","85,000,000.00","60,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00",,,,,,,,,,,,,"300,000.00","300,000.00","300,000.00","7,000,000.00",,,,,,,,,,,,
支付的各项税费,"21,185,861.52","40,566,824.92","27,161,847.29","14,443,579.73","25,945,030.56","34,335,975.61","6,270,434.84","13,682,987.28","26,086,820.46","41,914,298.89","7,185,232.41","15,969,304.41","28,804,116.16","42,472,553.61","9,009,619.71","24,065,286.62","34,003,468.36","49,346,950.63","7,856,446.77","22,841,404.58","37,300,929.16","61,477,213.39","14,718,044.07","41,021,961.05","68,545,901.02","87,095,430.59","19,573,632.63","47,843,576.43","73,687,508.34","92,690,746.67","21,724,844.75","43,339,751.47","67,988,214.00","119,244,685.49"
收到其他与筹资活动有关的现金,"13,033,000.00","13,500,000.00","6,760,640.00","500,000.00","1,500,000.00",,,,,,,,,"2,930,257.00",,"147,800.00","369,743.00","369,743.00",,"1,806,400.00","1,840,756.90","3,220,000.00",,,,"2,140,000.00",,,,,,,,
支付其他与经营活动有关的现金,"24,909,987.90","19,344,165.29","16,708,607.20","12,077,301.27","13,159,719.57","24,377,046.82","10,827,190.45","16,193,974.31","24,432,153.65","40,079,155.58","9,989,882.40","18,698,727.66","30,542,719.42","50,753,144.45","14,385,575.01","28,678,068.25","46,629,433.82","69,385,541.73","16,734,020.56","32,339,694.19","49,245,019.42","84,260,601.26","17,159,647.44","34,620,975.32","56,241,250.78","92,195,780.50","21,933,426.59","48,066,934.39","72,526,147.40","107,665,163.26","34,941,152.54","68,361,986.45","90,889,870.75","122,488,736.06"
筹资活动现金流入小计,"91,033,000.00","98,500,000.00","66,760,640.00","30,500,000.00","501,529,752.50","500,029,752.50",,,"2,145,000.00","2,145,000.00",,,,"2,930,257.00",,"2,292,800.00","2,514,743.00","2,514,743.00","1,422,000.00","4,316,400.00","4,350,756.90","137,729,957.44",,,,"2,140,000.00",,,,,,,,
经营活动现金流出小计,"240,030,809.00","226,467,167.18","203,527,649.86","124,882,637.95","197,244,495.51","278,451,387.05","78,668,913.32","191,638,209.45","315,007,418.02","446,166,526.44","102,089,537.11","197,236,595.73","341,260,674.39","487,654,946.27","127,737,873.55","279,105,560.30","446,222,309.92","618,827,609.78","148,549,686.30","297,955,057.80","496,055,901.80","809,435,511.58","173,569,915.70","363,905,400.85","561,082,813.59","845,116,023.73","216,643,994.30","425,592,188.28","679,486,463.29","976,511,866.72","266,822,811.85","548,104,871.37","868,424,867.82","1,201,196,293.21"
偿还债务支付的现金,"31,900,000.00","68,000,000.00","85,000,000.00","30,000,000.00","90,000,000.00","90,000,000.00",,,,,,,,,,,,,,"300,000.00","7,834,500.00","41,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00",,,,,,,,
经营活动产生的现金流量净额,"9,249,211.08","31,497,046.29","63,318,502.70","21,533,897.48","12,684,873.88","23,488,452.61","-5,222,677.32","26,744,916.21","39,611,087.57","46,299,862.14","-17,769,796.29","-12,186,909.15","7,015,073.53","25,205,785.17","-20,683,616.02","-1,123,328.87","22,200,919.54","17,005,963.57","-25,646,878.22","25,241,473.73","58,718,151.60","74,378,247.81","-27,573,744.42","57,281,024.85","87,989,730.84","176,965,015.27","-22,961,112.94","42,761,839.56","62,419,222.71","234,069,930.96","-64,508,243.37","-39,784,663.65","-4,652,753.85","148,418,018.08"
分配股利、利润或偿还利息支付的现金,"23,494,505.89","21,397,815.92","18,600,767.50","1,467,625.00","2,355,253.01","2,325,253.01",,"8,423,111.73","9,600,000.00","9,600,000.00",,"2,611,995.12","9,471,600.00","9,600,000.00",,"3,591,995.12","4,957,171.66","12,260,000.00",,"5,963,435.70","9,411,185.70","24,450,838.87","1,381,913.93","6,209,105.98","8,488,432.98","15,424,577.09","4,855,811.50","20,497,711.66","24,299,556.90","35,760,629.26","5,500,000.00","25,868,916.15","27,668,916.15","40,109,166.15"
收回投资收到的现金,,"755,667.00",,,,,,,,,,"694,003.68","694,003.68","694,003.68",,,,,,,,,,,,,,"600,000.00","600,000.00",,,,,
支付其他与筹资活动有关的现金,,,,,"451,940.79",,,,,,,,"1,185,000.00",,,,,"51,000.00",,,,"7,534,500.00",,,,,"65,000.00","65,000.00","65,000.00","80,000.00",,,,"80,000.00"
取得投资收益收到的现金,"1,444,635.28",,"3,194,369.84","168,730.60","168,730.60","789,675.38",,"10,235.28","660,437.64","1,051,789.14",,"33,336.66","609,898.80","15,577,779.44",,"76,328.70","648,621.12","5,737,675.17","183,334.29","220,521.94","220,521.94","6,979,900.58",,"263,138.52","919,867.08","1,629,048.68",,,"1,426,025.45","1,426,025.45","116,260.32","1,388,037.21","1,388,037.21","3,778,064.20"
