科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"124,412,657.14","155,286,736.59","210,987,767.80","52,967,891.16","137,297,008.37","195,429,318.88","263,707,181.96","43,786,650.46","139,433,618.46","214,107,066.95","364,563,423.96","80,823,748.52","194,041,526.42","305,230,864.75","460,530,933.81","97,090,646.03","184,225,711.16","322,199,091.66","591,349,999.17","129,696,146.26","224,260,407.51","426,004,256.44","545,875,835.89","199,592,504.52","315,827,049.98","422,042,899.93","764,066,622.14","241,329,159.12","447,119,873.61","681,495,992.41","307,916,482.92","70,257,672.61","122,887,224.60"
二、营业利润,"16,714,388.11","33,439,455.60","50,162,894.68","11,374,991.38","29,942,154.58","40,694,748.86","56,592,822.42","7,265,948.63","31,786,890.09","48,147,745.68","79,306,720.09","10,738,725.04","32,356,859.00","44,780,401.23","80,348,737.50","12,399,792.48","8,272,178.66","39,707,789.03","134,005,544.77","18,334,510.90","34,214,931.13","62,107,642.13","53,162,010.66","28,166,834.48","14,666,882.29","21,315,959.07","54,844,639.59","24,108,155.28","24,996,723.73","41,400,287.20","-837,866,445.90","-87,634,017.97","-227,489,917.20"
减:营业成本,"59,045,223.60","72,621,289.23","104,027,753.21","26,007,170.38","66,445,797.45","92,991,073.79","122,727,649.38","21,158,292.59","67,011,263.87","103,339,529.35","174,160,856.13","39,386,602.58","95,218,399.64","153,304,313.46","232,782,524.66","46,703,333.61","88,872,847.13","153,253,227.87","260,291,489.91","57,086,549.38","90,601,385.31","192,695,441.09","245,897,500.89","89,078,240.79","154,271,410.78","209,891,264.33","378,939,920.34","117,385,749.41","223,760,831.32","340,862,378.26","223,798,251.87","49,379,472.14","89,738,209.63"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,201,313.46","922,105.84","1,139,234.90","416,085.07","1,371,324.28","1,836,230.26","2,427,656.96","323,628.54","1,132,489.90","1,667,624.03","2,794,131.50","451,658.58","2,965,387.63","3,827,343.64","1,796,009.97","1,170,625.66","1,883,082.59","3,128,392.34","5,702,190.23","1,264,926.08","2,165,892.57","4,462,142.33","5,531,989.98","2,531,467.21","3,459,242.51","4,567,459.49","15,956,307.67","4,364,722.62","11,013,649.98","15,115,918.26","12,856,127.18","1,549,758.57","4,492,986.68"
营业外收入,"3,496,612.15","3,218,374.35","2,541,801.57","381,000.00","800,900.00","2,060,800.00","3,053,900.00","1,156,556.64","1,932,514.19","2,050,280.68","3,947,780.68","2,575,360.49","3,388,213.27","5,354,288.95","17,602,353.61","1,552,316.66","7,654,191.98","21,037,249.43","27,018,912.31","351,005.81","24,791,636.50","27,170,644.73","34,189,014.81","983,781.75","2,235,313.12","4,336,027.63","180,667,075.88","1,622,939.00","4,627,499.91","10,766,176.10","454,550,573.92","4,299,787.03","9,742,899.08"
销售费用,"18,561,019.71","21,551,368.63","29,407,843.73","4,559,771.27","15,718,807.68","25,551,305.89","36,256,510.43","4,666,012.69","16,572,994.59","25,020,146.85","43,921,677.03","10,693,236.65","22,654,061.90","36,671,459.89","52,768,430.65","11,123,820.77","29,646,485.23","37,887,955.59","53,624,217.72","14,495,717.38","25,979,165.12","39,516,041.02","52,326,656.59","10,467,407.46","17,846,384.75","24,715,033.44","41,502,998.32","9,446,282.59","19,102,451.21","30,505,417.68","43,817,752.98","8,743,554.15","17,354,662.00"
减:营业外支出,"35,981.55","532,200.00","23,691.12",,"81,296.00","81,296.00","81,296.00",,,"2,000.00",,7.72,"4,481.21","15,196.21","643,532.54","27,330.40","84,260.46","103,982.73","145,918.00","1,351.78","7,109.72","280,101.49","4,332,920.43","209,308.16","502,958.92","1,291,697.10","12,244,471.22","219,203.91","3,232,682.21","5,616,255.28","5,034,994.04","1,074,277.84","5,578,286.12"
管理费用,"17,903,840.84","23,733,126.76","29,516,987.84","7,728,727.17","16,812,489.56","23,584,185.08","35,673,973.58","8,347,451.21","19,313,347.70","30,729,757.14","52,568,769.07","16,295,370.98","34,183,491.66","55,889,378.90","78,164,144.34","22,956,036.66","46,004,978.31","67,452,325.43","100,519,487.24","28,575,329.08","53,161,288.27","83,738,394.09","123,944,445.53","39,862,743.63","75,613,796.04","99,784,124.69","144,186,959.41","43,365,553.54","85,385,671.00","126,038,605.52","184,049,444.32","31,578,593.24","72,297,941.38"
其中:非流动资产处置净损失,,"96,200.00",291.12,,"81,296.00","81,296.00","81,296.00",,,,,,,"2,600.00","264,871.70",,,468.00,468.00,,"1,351.78","37,568.54","160,368.37",,"2,813.59","2,813.59","4,819,174.37","11,168.55","409,372.23","1,011,197.47",,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"4,432,039.46","5,585,211.94","4,219,348.57","964,129.46","1,847,368.55","2,755,923.13","502,838.68","-265,015.94","1,625,402.13","1,788,282.10","3,450,455.04","585,427.54","2,004,524.23","3,336,211.92","12,925,047.15","1,654,192.53","4,362,298.37","11,190,913.87","16,211,286.62","6,357,568.59","15,892,512.92","33,624,356.15","48,654,533.03","18,377,539.95","34,169,077.71","47,586,407.59","80,193,405.58","28,142,998.43","59,705,471.93","93,541,169.58","184,473,095.59","58,819,327.12","141,924,790.88"
三、利润总额,"20,175,018.71","36,125,629.95","52,681,005.13","11,755,991.38","30,661,758.58","42,674,252.86","59,565,426.42","8,422,505.27","33,719,404.28","50,196,026.36","83,254,500.77","13,314,077.81","35,740,591.06","50,119,493.97","97,307,558.57","13,924,778.74","15,842,110.18","60,641,055.73","160,878,539.08","18,684,164.93","58,999,457.91","88,998,185.37","83,018,105.04","28,941,308.07","16,399,236.49","24,360,289.60","223,267,244.25","25,511,890.37","26,391,541.43","46,550,208.02","-388,350,866.02","-84,408,508.78","-223,325,304.24"
资产减值损失,"6,554,831.96","-2,565,821.41","-7,486,295.13","1,917,016.43","5,159,066.27","8,015,851.87","9,525,730.51","2,290,332.74","1,991,230.18","3,413,981.80","8,360,815.10","2,672,727.15","4,658,802.36","7,421,755.71","1,746,039.54","1,082,844.32","5,183,840.87","9,578,487.53","20,995,782.68","3,581,544.85","2,245,232.19","9,860,239.63","16,358,699.21","11,108,271.00","26,153,518.15","24,616,763.79","58,947,766.36","14,515,697.25","21,927,312.26","32,382,438.83","493,765,545.52","7,884,199.29","33,040,786.18"
