科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"246,764,905.20","370,492,573.11","502,409,583.62","123,033,993.51","253,089,151.87","392,571,282.33","568,955,003.27","110,958,041.22","273,056,467.88","440,047,988.08","778,124,625.33","142,498,667.89","411,800,668.75","722,989,511.27","1,179,923,594.52","226,589,369.48","600,405,731.37","1,123,564,229.13","2,022,625,059.04","807,479,643.93","1,731,815,638.11","2,813,372,505.92","4,377,935,243.28","1,127,970,424.99","2,512,730,693.83","4,285,977,364.00","6,470,803,346.15"
二、营业利润,"18,503,018.07","41,747,230.87","54,676,234.58","15,848,350.14","28,690,107.88","41,924,983.23","59,501,679.98","5,041,426.98","24,484,169.15","38,144,591.92","71,392,353.26","2,611,163.42","40,408,941.77","78,518,743.45","162,004,924.45","4,855,039.48","56,213,214.06","164,235,878.78","307,802,375.50","87,663,539.79","191,280,340.40","313,675,575.18","701,899,060.26","190,906,758.77","373,564,879.68","682,337,506.68","1,206,523,158.12"
减:营业成本,"169,670,788.94","237,227,234.02","339,092,504.23","83,394,184.32","169,817,827.84","265,245,739.97","373,070,758.92","72,441,263.17","173,666,177.15","281,445,437.40","501,328,131.43","90,291,818.31","255,873,386.80","452,015,589.58","715,023,941.24","135,995,981.57","367,862,500.95","659,618,885.02","1,178,137,903.60","505,978,746.44","1,090,881,483.62","1,793,888,400.03","2,695,600,674.45","674,846,981.98","1,497,815,190.77","2,617,784,958.13","3,851,107,212.99"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,449,907.28","2,009,119.42","2,871,330.47","474,237.58","1,281,415.21","2,339,718.06","4,083,146.75","166,075.81","801,573.28","2,027,292.36","4,411,037.88","791,113.07","2,865,844.47","7,184,070.73","13,461,639.22","3,825,001.63","9,224,289.33","17,029,889.17","25,420,436.27","7,007,592.65","8,612,634.83","7,380,282.96","19,283,772.72","509,805.04","1,588,191.47","6,178,610.41","28,335,090.05"
营业外收入,"6,460,864.86","10,517,961.58","12,139,223.10",,"1,606,141.13","4,708,897.72","8,154,340.42","4,408,736.68","8,820,624.74","10,758,032.13","21,808,503.42","9,957,175.71","18,729,457.14","27,142,030.62","37,313,515.60","38,707,320.08","44,435,724.80","57,671,740.85","86,429,659.74","12,348,066.25","27,209,850.63","47,967,949.80","65,454,872.81","14,266,643.61","30,054,791.57","40,033,440.72","13,786,452.16"
销售费用,"33,394,309.46","44,296,477.09","50,248,803.50","10,139,959.18","22,593,515.11","39,333,992.78","56,453,342.62","17,477,641.17","34,821,959.73","54,897,578.13","83,894,597.76","25,522,027.13","52,115,293.72","89,000,662.84","146,349,272.41","35,270,895.53","72,072,036.75","118,356,816.12","203,656,297.29","88,967,798.70","184,621,486.33","283,573,694.54","394,759,996.60","108,899,203.04","231,966,112.98","350,406,854.73","493,887,070.65"
减:营业外支出,"1,970,666.77","1,149,382.94","2,083,565.09","53,054.48","208,284.54","2,088,197.50","1,023,583.87",720.00,"247,608.98","347,381.30","609,225.65","6,612.68","370,783.77","1,842,991.38","4,537,697.52","405,651.22","435,125.39","1,130,215.44","3,475,930.22","863,647.34","3,623,974.11","6,521,962.86","7,533,710.47","421,905.66","6,534,029.53","10,108,334.26","8,974,255.30"
管理费用,"18,779,270.10","39,807,601.37","48,046,096.03","11,920,648.41","26,293,097.54","41,551,634.50","63,582,120.29","16,133,945.20","37,516,877.15","59,827,500.41","90,850,193.96","21,548,103.93","49,678,198.83","80,223,137.60","121,472,925.34","39,957,920.45","76,399,996.04","137,552,874.84","237,837,743.50","91,792,800.15","195,125,905.25","318,721,096.94","455,814,806.65","129,134,746.64","269,783,048.80","409,635,930.74","618,198,095.95"
其中:非流动资产处置净损失,,,,,"45,589.92","82,205.02","429,661.48",,"26,888.98","126,661.30","235,710.26","6,612.68","109,499.77","157,772.70","335,762.71","234,651.22","254,091.30","386,876.50","1,363,725.86","142,348.71","2,819,585.21","3,622,695.36","4,675,627.70","155,357.04","703,023.86","1,003,784.91",
