科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"101,595,874.37","75,772,632.74","15,985,653.35",,"146,185,839.58","35,079,657.46","171,136,949.11","82,791,829.64","154,975,539.66","70,544,544.13","185,387,819.22","30,511,260.57","167,018,354.61","255,618,175.40","73,843,938.91","164,712,220.86","61,935,118.90"
短期借款,,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,
应收票据,"64,821,036.45","90,054,929.55","74,125,615.71",,"64,299,081.39","94,090,035.17","91,017,662.53","88,510,646.77","82,769,509.46","85,052,862.53","73,728,370.82","63,255,329.64","70,873,434.13","57,380,289.82","73,939,479.20","85,051,984.51","119,802,099.15"
应付票据,"16,886,328.46","28,397,952.98","18,967,203.70",,"13,957,342.82","10,613,435.11","12,266,193.57","14,541,198.36","12,571,441.60","5,237,787.79","7,760,639.93","10,366,669.44","6,483,709.35","1,459,609.67",,"3,937,403.79","7,792,042.52"
应收账款,"46,918,044.13","48,658,967.16","58,847,290.27",,"68,306,336.20","54,747,930.91","78,331,942.00","80,751,705.13","77,198,661.59","61,331,461.30","85,879,200.32","67,664,412.78","53,770,447.46","69,549,740.51","119,171,635.45","108,028,643.43","78,527,588.21"
应付账款,"26,972,441.68","27,259,887.34","24,693,350.53",,"18,094,906.11","21,056,647.22","38,577,079.35","20,487,460.64","24,805,526.37","21,219,686.72","32,586,092.49","18,828,403.40","31,890,314.28","27,305,963.40","40,137,965.31","28,860,306.51","36,291,907.11"
预付款项,"271,691.92","1,197,565.58","374,326.20",,"994,316.58","571,127.79","499,353.35","3,452,220.16","6,596,293.54","4,483,930.06","463,605.87","467,583.60","841,697.54","852,325.32","137,411.24","270,313.45","342,940.72"
预收款项,"351,333.34","432,573.17","361,028.73",,"324,847.19","1,134,049.33","2,574,298.15","728,770.10","275,628.95","281,869.32","731,560.62","464,885.64","252,293.42","678,696.91","682,622.89","173,998.54","112,351.68"
其他应收款,"2,036,533.17","1,674,341.45","1,333,737.16",,"342,774.35","202,200.00","107,300.00","197,060.00","236,910.00","345,543.00","1,824,237.00","2,074,900.00","1,852,540.00","1,837,537.00","315,522.56","338,108.59","445,029.09"
