科目,2007年度,2008年度,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"83,611,736.92","173,226,867.83","114,346,807.65","180,271,863.61","30,199,789.25","69,371,286.29","118,287,545.74","181,358,378.41","44,058,066.76","95,941,017.75","156,034,984.06","238,412,960.20","47,316,947.03","107,095,038.77","157,776,097.91","221,872,089.56","57,171,397.81","118,295,084.87","184,674,219.98","255,726,152.67","58,654,251.48","106,935,909.11","148,140,716.89","207,068,149.41","36,508,278.86","90,514,447.80","120,981,264.54","167,034,799.68","30,889,982.63","81,976,847.69","116,770,343.26","162,831,205.35","56,241,270.38","165,502,362.02","273,022,149.84","420,670,309.16","105,555,772.43"
二、营业利润,"31,724,289.42","43,942,637.76","34,480,183.92","51,525,078.30","7,012,800.08","20,432,880.23","33,418,173.09","45,107,436.37","10,008,990.45","20,985,576.18","33,796,205.52","41,471,177.24","5,611,569.68","16,067,726.71","26,405,775.69","28,963,788.73","5,987,397.22","16,845,211.33","34,315,258.69","37,743,606.49","7,372,102.46","12,442,388.24","15,492,576.71","42,583,465.61","8,294,573.28","15,855,852.95","14,951,459.18","10,241,091.98","6,242,661.33","16,306,595.45","22,998,981.21","20,091,201.61","13,034,081.84","33,659,081.00","46,891,661.46","62,642,213.88","30,338,911.80"
减:营业成本,"39,033,345.59","89,970,734.16","56,853,048.07","89,106,019.71","14,501,064.51","33,118,209.86","59,278,709.40","97,902,590.10","24,817,784.76","56,245,943.70","90,675,182.21","137,696,915.11","26,028,096.56","63,775,653.75","92,941,621.96","134,731,927.67","32,354,685.52","69,656,843.82","103,828,229.73","145,787,395.16","31,843,450.20","61,029,708.51","85,907,746.94","121,318,495.18","19,748,876.06","49,195,527.13","67,976,131.20","93,922,856.56","18,129,644.16","42,564,601.16","56,152,407.32","83,469,302.61","31,270,158.88","99,207,981.42","168,316,932.69","262,080,520.15","68,997,431.74"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"529,969.53","1,230,975.07","1,407,558.29","2,093,108.99","33,221.76","263,436.71","597,432.53","889,116.62","176,252.50","114,357.72","465,239.58","1,275,993.97","267,020.65","768,403.44","912,655.48","1,638,450.23","471,536.23","1,117,290.06","1,883,122.23","2,976,570.10","618,977.36","1,030,100.12","1,104,677.19","2,018,089.42","410,494.27","965,509.64","1,136,422.31","1,864,846.54","509,632.97","1,305,743.85","1,688,559.00","4,106,991.92","1,422,259.05","2,849,892.96","4,438,456.09","6,769,738.44","1,677,740.49"
营业外收入,"2,063,453.75","3,858,282.05","3,591,100.00","3,993,783.60","1,910,000.00","3,010,000.00","3,012,000.00","6,123,283.65","620,253.30","1,354,556.51","1,368,366.86","6,642,250.38","3,288,572.49","3,452,114.49","3,894,772.49","12,303,853.33","44,091,450.42","44,928,607.76","45,008,109.51","46,267,170.69","4,015,295.30","4,651,317.33","4,724,767.83","17,772,899.86","118,495.00","3,170,466.12","4,225,149.20","7,204,365.12","627,374.93","2,752,362.97","2,763,043.97","7,745,777.57","41,165.31","140,052.87","1,223,554.04","186,227.77","982,788.95"
销售费用,"5,629,561.44","18,469,179.25","9,746,519.90","17,572,539.32","4,102,233.39","6,086,973.47","11,054,200.26","20,970,186.83","3,438,983.34","8,801,337.80","16,483,885.31","28,875,202.00","6,931,714.81","13,684,084.56","16,483,885.31","26,850,845.87","7,475,378.27","11,633,632.90","15,985,830.61","24,342,816.23","5,896,678.70","9,792,946.68","15,483,118.45","22,121,507.57","5,286,490.03","10,203,602.03","14,145,389.10","19,553,702.08","4,703,820.07","10,020,778.71","15,081,688.80","22,504,240.99","7,041,451.52","14,038,260.41","24,749,714.15","34,369,518.75","7,394,023.35"
减:营业外支出,,"98,000.00","113,200.00","113,200.00","11,000.00","11,300.00","214,300.00","309,115.13","142,494.91","143,263.09","416,178.53","470,548.68","103,621.00","107,463.88","245,458.26","531,576.47","1,500.00","143,284.94","197,182.84","592,681.55","7,324.89","108,059.56","322,528.55","674,372.06","89,679.27","417,691.58","550,999.81","1,026,216.06","329,014.19","669,014.43","1,196,537.51","1,495,893.75","299,197.01","374,807.00","706,237.61","8,032,536.98","686,650.00"
管理费用,"5,730,642.97","15,943,622.75","10,390,857.19","16,997,993.91","4,105,354.04","8,224,127.38","11,337,051.86","18,971,125.91","7,090,560.10","13,229,629.17","18,140,459.84","32,445,489.81","9,563,224.60","16,736,333.18","18,140,459.84","33,875,630.17","10,624,461.85","19,120,395.02","28,460,553.49","39,233,624.88","10,215,110.72","19,874,214.80","28,754,437.82","40,281,379.11","7,824,038.20","18,538,612.53","25,468,480.77","32,707,804.87","6,305,540.29","14,160,426.07","21,840,162.42","29,020,731.63","7,673,595.26","19,241,242.88","30,517,519.63","63,817,983.18","16,920,532.31"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,,"25,482.50",,,,"30,844.81",,"7,947.56",,"213,993.84",,"41,486.18",,"43,017.60",,"291,914.19","298,337.19","301,243.51",,"8,049.91","25,235.83",,
