科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"287,241,431.27","361,479,437.61","184,204,209.93","416,453,211.23","146,184,735.45","217,156,901.92","309,568,910.72","56,479,146.94","145,795,385.65","238,131,968.22","386,811,591.42","66,494,304.31","162,937,507.00","242,632,120.57","422,920,633.47","95,628,346.20","216,192,120.90","368,331,151.14","474,150,249.92","86,658,856.28","186,671,333.87","349,131,315.00","517,003,999.91","107,028,605.18","200,828,883.26","324,623,153.72","491,239,840.74","147,880,663.76","345,772,942.19","620,980,254.83","1,198,519,258.17","252,509,059.96","647,474,112.37","1,003,879,012.60","1,313,292,229.44","220,783,454.42"
取得子公司及其他营业单位支付的现金净额,,,,,,,"2,050,853.22","6,400,000.00","-412,480.01","3,400,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,"856,221.84",,,,,,,,,,,"115,838.93","115,838.93","1,316.78",,,,,,,,,,,"28,432.00","28,432.00","928,042.20","928,042.20","928,042.20","925,244.10","17,455.94","17,455.94","17,455.94","563,823.00",
支付其他与投资活动有关的现金,,,,,,,,,,"22,000,000.00",,,,,,,,,"214,441,009.41","210,000,000.00","210,000,000.00","272,231,120.42","272,627,693.47",,,,,,,,,,"20,000,000.00","24,280,000.00",,"2,000,000.00"
收到其他与经营活动有关的现金,"6,282,136.71","11,137,426.93","2,137,600.60","15,703,591.89","8,027,357.49","11,406,375.18","12,578,981.64","3,931,958.12","7,169,483.49","16,909,669.91","19,081,037.81","2,793,253.48","6,076,822.22","9,276,454.27","22,700,274.99","2,490,830.20","6,962,072.38","9,783,257.80","43,773,616.21","9,760,673.55","20,646,190.38","24,130,980.16","34,389,539.06","14,208,861.13","17,430,838.32","20,564,610.48","50,542,653.49","13,247,755.36","34,254,208.59","51,317,526.84","194,894,269.48","24,299,668.42","42,411,232.75","116,028,885.40","292,262,828.39","31,143,888.65"
投资活动现金流出小计,"17,131,404.80","43,900,326.21","2,755,789.21","21,564,624.62","12,922,777.36","24,921,683.15","41,176,994.00","26,118,078.45","34,125,853.70","86,133,803.39","111,125,212.95","12,286,632.59","23,081,181.44","36,036,299.92","72,070,305.47","4,626,237.57","7,131,640.57","10,607,342.65","232,432,801.55","217,942,725.00","220,653,665.00","287,571,926.55","298,402,864.60","9,354,797.00","118,356,105.00","127,003,625.40","142,217,369.53","5,261,607.25","8,681,564.25","156,039,184.57","167,635,405.54","1,926,911.31","25,985,594.11","38,727,240.46","42,301,124.45","3,435,631.57"
经营活动现金流入小计,"293,523,567.98","373,473,086.38","186,341,810.53","432,156,803.12","154,212,092.94","228,563,277.10","322,147,892.36","60,411,105.06","152,964,869.14","255,041,638.13","405,892,629.23","69,287,557.79","169,130,168.15","252,024,413.77","445,622,225.24","98,119,176.40","223,154,193.28","378,114,408.94","517,923,866.13","96,419,529.83","207,317,524.25","373,262,295.16","551,393,538.97","121,237,466.31","218,259,721.58","345,216,196.20","541,810,926.23","162,056,461.32","380,955,192.98","673,225,823.87","1,394,338,771.75","276,826,184.32","689,902,801.06","1,119,925,353.94","1,606,118,880.83","251,927,343.07"
投资活动产生的现金流量净额,"-17,131,404.80","-40,797,810.21","-2,754,751.30","-21,563,586.71","-12,919,177.36","-24,898,083.15","-41,132,494.00","-26,118,078.45","-34,125,153.70","-86,132,933.39","-108,867,304.30","-12,097,983.63","-23,081,181.44","-36,036,299.92","-72,070,269.07","-4,626,237.57","-7,131,640.57","-10,607,342.65","-140,113,245.74","-96,692,957.88","116,827,190.97","49,908,929.42","98,713,175.12","-9,353,170.40","-115,865,056.88","-124,512,577.28","-120,291,141.41","10,159,212.75","6,740,394.35","-140,617,225.97","-167,551,691.02","48,073,088.69","75,187,990.79","62,446,524.44","-42,157,840.93","-3,435,631.57"
购买商品、接受劳务支付的现金,"200,519,311.73","213,507,803.76","117,706,433.75","260,371,891.66","83,989,920.93","141,396,105.25","187,200,854.57","38,839,286.24","119,888,764.83","188,251,397.85","300,545,329.26","70,576,593.10","177,438,832.12","260,630,178.97","374,153,239.14","60,781,480.21","162,787,373.49","249,521,815.72","331,034,714.15","67,354,290.08","140,724,123.71","230,466,535.29","299,715,512.59","63,612,200.79","148,022,921.30","230,267,491.25","387,455,689.53","88,948,004.81","244,928,952.09","560,881,066.68","841,901,714.53","150,493,958.40","523,080,414.53","718,729,686.81","888,998,840.16","171,707,123.01"
吸收投资收到的现金,,"27,500,000.00",,,,"614,300,000.00","601,930,000.00","500,000.00","580,000.00","580,000.00","500,000.00",,,,,,,,,,,,"6,800,640.00",,"5,699,961.65","12,247,218.00","12,249,005.74","6,239,679.85","6,239,679.85","25,176,842.11","10,738,222.00",,"12,000,000.00","12,000,000.00","13,000,000.00","13,415,052.94"
