科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2015-12-31
货币资金,"99,656.17","102,415.77","96,469.22","88,621.30","97,411.31","87,365.74","124,517.84","96,035.17","89,152.18","100,908.96","101,347.26","93,443.04","87,226.85","88,253.84","98,959.29","90,824.59","121,614.67","133,926.13","101,336.79","88,544.55","102,531.93","100,647.24","95,871.56","88,271.32","115,225.86","108,122.88","104,660.88","94,266.66","87,963.79","88,966.92"
短期借款,"303,306,999.00","303,306,999.00","303,306,999.00","303,306,999.00","303,306,999.00","303,306,999.00","303,306,999.00","303,306,999.00","303,306,999.00","303,306,999.00","303,306,999.00","303,306,999.00","303,306,999.00","303,306,999.00","303,306,999.00","303,306,999.00","303,306,999.00","303,306,999.00","303,306,999.00","303,306,999.00","303,306,999.00","303,306,999.00","303,306,999.00","303,306,999.00","303,306,999.00","303,306,999.00","303,306,999.00","303,306,999.00","303,306,999.00","312,826,845.17"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"4,029,523.41","4,029,523.41","4,029,523.41","4,029,523.41","4,029,523.41","4,029,523.41","4,029,523.41","4,029,523.41","4,029,523.41","4,029,523.41","4,029,523.41","4,029,523.41","4,029,523.41","4,029,523.41","4,029,523.41","4,029,523.41","4,029,523.41","4,029,523.41","4,029,523.41","4,029,523.41","4,029,523.41","4,029,523.41","4,029,523.41","4,029,523.41","4,029,523.41","4,029,523.41","4,029,523.41","4,029,523.41","4,029,523.41",
应付账款,"23,842,833.46","23,842,833.46","23,842,833.46","23,842,833.46","23,842,833.46","23,842,833.46","23,842,833.46","23,842,833.46","23,842,833.46","23,842,833.46","23,842,833.46","23,842,833.46","23,842,833.46","23,842,833.46","23,842,833.46","23,842,833.46","23,842,833.46","23,842,833.46","23,842,833.46","23,842,833.46","23,842,833.46","23,842,833.46","23,842,833.46","23,842,833.46","23,842,833.46","23,842,833.46","23,842,833.46","23,842,833.46","23,842,833.46","23,842,833.46"
预付款项,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预收款项,"13,065,395.02","13,065,395.02","13,065,395.02","13,065,395.02","13,065,395.02","13,065,395.02","13,065,395.02","13,065,395.02","13,065,395.02","13,065,395.02","13,065,395.02","13,065,395.02","13,065,395.02","13,065,395.02","13,065,395.02","13,065,395.02","13,065,395.02","13,065,395.02","13,065,395.02","13,065,395.02","13,065,395.02","13,065,395.02","13,065,395.02","13,065,395.02","13,065,395.02","13,065,395.02","13,065,395.02","13,065,395.02","13,065,395.02","13,065,395.02"
其他应收款,"197,640,335.66","197,640,335.66","197,640,335.66","115,683,244.12","115,683,244.12","115,683,244.12","115,683,244.12","38,278,759.31","38,278,759.31","38,278,759.31","38,278,759.31","115,814.47","115,814.47","115,814.47","115,814.47","115,814.47","115,814.47","115,014.47","115,014.47","115,014.47","115,014.47","115,014.47","115,014.47","114,152.31","-87,682.69","253,179.47","253,179.47","253,179.47","253,179.47",
应付职工薪酬,"5,792,689.46","5,930,904.08","6,097,133.29","6,412,134.00","6,556,371.87","6,689,797.67","6,792,778.84","6,918,065.59","7,044,952.87","7,165,204.75","7,293,097.03","7,411,743.30","7,558,564.17","7,673,900.24","7,773,505.91","7,952,101.73","8,025,411.39","8,121,204.83","8,240,566.16","8,433,467.74","8,498,022.78","8,618,329.98","8,808,085.86","8,927,863.42","9,001,718.46","9,191,735.94","9,383,114.04","9,569,430.76","9,650,752.97","9,971,483.41"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"4,987,276.60","4,992,691.30","4,985,929.46","4,985,929.46","4,988,575.83","4,984,816.81","4,986,125.65","4,988,088.91","4,987,043.22","4,986,780.06","4,986,766.57","4,987,420.99","4,986,116.03","4,986,786.97","4,987,475.18","4,984,811.05","4,988,287.09","4,987,737.93","4,984,396.89","4,984,809.59","4,984,899.59","4,984,809.59","4,984,809.59","4,984,809.59","4,985,034.59","4,984,674.59","4,984,674.59","4,984,584.59","4,984,584.59","4,984,224.59"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,"126,386,780.87","135,570,219.40","144,898,300.52","154,383,123.23","163,912,885.20","173,706,601.91","183,606,911.35","193,240,713.90","203,250,212.59","213,579,466.49","224,071,719.09","234,684,935.58","245,314,106.33","255,741,627.75","266,852,866.26","278,284,055.66","289,566,809.69","301,429,719.77","313,281,703.77","324,714,359.57","336,817,755.87","349,086,125.26","361,685,748.30","374,599,397.58","387,374,766.41","400,447,329.70","413,874,784.66","427,596,249.53","441,211,659.79","543,415,373.86"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,"2,780.12","2,780.12","2,780.12","2,780.12","2,780.12","2,780.12","2,780.12","2,780.12","2,780.12","2,780.12","2,780.12","2,780.12","2,780.12","2,780.12","2,780.12","2,780.12","2,780.12","2,780.12","2,780.12","2,780.12","2,780.12","2,780.12","2,780.12","2,780.12","2,780.12","2,780.12","2,780.12","2,780.12","2,780.12"
存货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他应付款,"105,005,802.19","105,432,403.97","105,707,403.97","104,753,994.32","104,897,838.98","105,110,494.25","105,298,545.94","105,438,648.40","105,584,592.71","105,727,791.75","105,922,363.45","106,186,962.17","106,244,335.17","106,387,617.19","106,548,001.19","106,590,479.49","106,774,130.09","106,938,714.09","107,060,787.17","107,082,751.53","107,259,624.47","107,383,090.24","107,383,090.24","107,517,789.87","107,517,789.87","107,517,789.87","107,517,789.87","107,523,848.37","107,720,353.72","108,603,699.86"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"124,674,447.12","124,630,438.36","124,630,438.36","125,211,676.00","125,211,676.00","125,430,780.59","125,430,780.59","123,859,345.84","123,859,345.84","123,834,926.35","123,834,926.35","124,044,638.82","124,044,638.82","121,997,023.92","121,997,023.92","122,715,520.60","122,715,520.60","123,364,113.12","123,364,113.12","121,851,446.16","121,851,446.16","121,460,331.73","121,460,331.73","122,076,051.85","122,076,051.85","121,705,331.71","121,705,331.71","122,195,465.86","122,195,465.86",
其他流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他流动负债,"-70,760,000.00","-70,760,000.00","-70,760,000.00","-71,161,924.40","-71,161,924.40","-71,161,924.40","-71,161,924.40","-71,161,924.40","-71,161,924.40","-71,161,924.40","-71,161,924.40","-71,161,924.40","-71,161,924.40","-71,161,924.40","-71,161,924.40","-71,161,924.40","-71,161,924.40","-71,161,924.40","-71,161,924.40","-71,161,924.40","-71,161,924.40","-71,161,924.40","-71,161,924.40","-71,161,924.40","-71,161,924.40","-71,161,924.40","-71,161,924.40","-71,161,924.40","-71,161,924.40","39,737,646.64"
流动资产合计,"201,769,515.24","201,772,274.84","201,766,328.29","119,801,388.83","119,810,178.84","119,800,133.27","119,837,285.37","42,404,317.89","42,397,434.90","42,409,191.68","42,409,629.98","4,238,780.92","4,232,564.73","4,233,591.72","4,244,297.17","4,236,162.47","4,266,952.55","4,278,464.01","4,245,874.67","4,233,082.43","4,247,069.81","4,245,185.12","4,240,409.44","4,231,947.04","4,057,066.58","4,390,825.76","4,387,363.76","4,376,969.54","4,370,666.67","88,966.92"
