科目,2008-12-31,2009-12-31,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"136,116,710.19","110,936,925.36","155,549,595.94","106,442,719.41","593,976,533.48","480,681,222.00","458,050,557.04","447,665,913.44","403,023,884.18","407,729,157.49","441,351,484.80","390,451,837.81","371,856,674.11","334,889,443.62","351,702,409.09","315,363,109.64","398,436,751.60","345,456,972.63","388,441,188.74","375,334,488.09","338,009,412.36","381,909,730.54","404,969,571.65","422,701,141.57","413,494,689.19","390,429,672.78","445,894,133.72","760,197,647.25","554,251,485.53","607,982,599.06","682,929,083.42","701,727,536.84","614,877,097.03"
短期借款,"212,400,000.00","244,000,000.00","310,000,000.00","285,000,000.00","275,329,920.00","210,000,000.00","201,000,000.00","197,000,000.00","192,000,000.00","203,400,000.00","247,900,000.00","233,900,000.00","242,400,000.00","233,500,000.00","249,000,000.00","235,000,000.00","248,300,000.00","240,800,000.00","254,300,000.00","241,000,000.00","255,000,000.00","235,000,000.00","255,000,000.00","250,000,000.00","216,000,000.00","201,000,000.00","234,000,000.00","259,000,000.00","189,000,000.00","229,000,000.00","259,000,000.00","289,000,000.00","329,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"58,954,467.44","22,140,337.94","31,402,033.19","30,768,688.90","32,952,780.34","32,492,783.58","25,689,708.15","18,286,988.88","40,733,153.11","29,370,168.53","27,178,835.83","44,104,185.72","51,836,830.15","52,550,290.71","60,900,130.60","51,455,306.70","34,646,569.11","26,558,421.26","33,466,841.43","48,977,346.88","49,618,145.75","56,485,559.26","66,792,483.75","79,634,386.88","73,908,892.07","38,304,212.76","74,641,179.36","118,887,802.67","163,238,951.62","139,309,489.80","93,653,362.53","76,259,815.29","53,943,949.52"
应付票据,"92,000,000.00","9,000,000.00","56,751,418.60","44,733,485.86","38,810,109.90","32,402,607.90","22,200,000.00","20,700,000.00","13,100,000.00","9,600,000.00","8,000,000.00","5,000,000.00","5,700,000.00","5,700,000.00","9,858,375.00","15,858,375.00","6,000,000.00","15,100,000.00","20,070,000.00","18,470,000.00","12,500,000.00","6,000,000.00","2,000,000.00","10,000,000.00","23,019,000.00","13,019,000.00",,,,,,,
应收账款,"100,229,934.17","162,141,839.31","189,814,106.29","195,145,085.99","192,333,347.43","205,755,607.74","213,088,258.63","226,548,377.69","242,197,727.25","226,810,504.80","264,492,789.53","281,377,924.39","249,693,945.82","262,399,455.99","276,763,554.10","277,076,081.01","252,415,680.28","247,320,528.06","265,081,108.40","251,601,239.28","289,648,982.16","301,147,588.79","334,641,166.66","323,780,815.44","313,540,768.97","344,029,666.43","391,517,796.21","432,384,825.57","444,060,553.42","432,355,952.16","615,967,693.94","667,608,486.86","645,153,307.00"
应付账款,"56,714,324.53","84,350,580.79","131,654,618.98","143,438,481.58","153,205,414.81","141,524,159.10","148,612,485.26","157,330,370.79","166,936,693.54","144,617,675.84","152,185,324.80","157,929,093.17","167,168,364.38","160,696,745.69","178,849,349.17","182,151,955.34","171,496,739.82","158,897,257.54","190,080,958.05","188,347,718.09","161,537,763.19","170,345,249.52","213,018,850.37","194,075,211.40","186,853,070.63","185,013,278.16","229,713,115.36","346,357,472.06","342,181,929.01","244,587,805.27","240,294,033.25","262,977,704.53","246,543,412.52"
预付款项,"12,957,490.32","13,547,852.40","33,217,165.19","35,119,109.95","48,928,516.46","51,168,790.49","35,138,886.45","44,023,271.72","35,099,808.55","38,942,822.68","33,547,745.36","37,095,556.69","21,192,211.32","22,456,220.13","8,080,373.78","39,033,373.13","38,820,577.34","14,890,657.16","14,192,170.75","14,699,389.20","10,179,544.35","14,420,996.03","22,219,011.13","12,557,374.63","18,920,777.56","58,669,116.86","54,110,357.52","118,469,726.80","69,477,063.54","74,731,192.33","53,370,049.45","58,132,327.06","74,016,734.42"
预收款项,"161,749.65","256,219.50","2,583,049.84","644,808.25","515,475.01","412,775.01","606,561.52","1,518,393.36","655,362.36","490,687.36","1,348,842.85","777,002.82","35,672.50","3,161,638.00","2,993,732.37","4,117,812.65","4,655,991.36","4,052,703.05","2,664,831.42","2,048,053.25","237,707.64","6,533,061.19","11,485,600.75","16,426,187.57","18,049,028.91","49,434,454.75","40,429,421.40","70,457,918.30","69,650,408.25","33,460,795.96","25,456,761.90","32,665,321.91","22,597,990.60"
