科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"103,743,264.87","132,223,067.38","60,931,989.69","144,524,906.87","54,463,872.87","101,544,291.24","174,228,208.26","59,646,633.57","125,648,294.08","207,172,424.13","379,667,680.49","22,882,755.57","118,686,489.84","174,975,337.55","308,266,609.32","39,857,056.91","111,368,794.73","199,541,696.09","352,508,917.78","60,175,085.88","88,053,181.87","222,183,360.56","402,714,286.00","136,881,184.24","153,969,391.90","240,991,169.27","463,318,526.74","44,352,660.23","116,181,416.65","282,262,381.28","508,366,164.43","80,558,652.26","252,993,209.18","293,202,070.26"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,937,543.23",,,,,,,
收到的税费返还,"2,510,064.81","2,260,541.14","1,517,188.36","3,153,588.03","1,533,219.86","2,040,533.97","4,260,315.77","232,104.86","2,508,057.02","2,508,057.02","3,706,154.69","4,914,170.56","8,457,665.59","10,249,297.82","10,687,943.44","1,514,021.19","3,282,087.84","4,806,625.92","7,842,913.70","1,913,215.96","4,275,960.70","4,473,085.60","6,714,752.94","41,956.93","1,255,181.58","1,749,739.32","4,816,202.48","971,305.45","1,264,363.57","1,627,997.10","2,407,279.35","2,456,846.25","2,556,846.25","2,887,707.94"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,"57,197,489.72",,,"8,155,185.80","3,000,000.00",,"17,000,000.00","23,500,000.00","23,073,070.23",,"29,060,000.00","32,000,000.00",,"257,400.00",,
收到其他与经营活动有关的现金,"40,964,744.48","20,605,682.84","23,815,904.61","37,994,131.78","8,712,903.45","19,508,630.50","13,478,860.87","9,838,837.85","5,330,067.13","24,315,556.62","22,255,537.18","5,979,733.78","9,877,249.74","21,848,320.98","20,396,442.16","6,647,480.77","14,514,527.98","17,833,651.90","26,815,257.56","4,117,015.67","12,563,791.52","27,725,213.19","32,906,497.65","23,683,005.17","15,982,887.82","24,803,523.00","28,549,353.18","6,136,037.40","57,087,569.17","157,751,705.67","91,478,372.66","64,477,652.13","107,523,292.33","287,339,874.00"
投资活动现金流出小计,"7,859,158.05","14,503,836.76","22,370,330.66","25,547,688.42","2,509,317.24","3,878,175.67","159,717,253.80","3,288,960.27","6,473,415.96","10,032,661.93","186,088,141.32","9,813,654.96","15,611,354.23","19,261,997.27","44,114,314.43","78,481,491.41","82,902,345.10","173,676,717.33","103,941,060.03","1,908,310.72","21,186,436.87","28,787,912.25","33,858,926.20","3,256,768.33","21,988,611.24","35,094,638.09","57,263,548.77","750,080.80","84,343,060.95","95,028,353.30","125,363,467.89","5,414,333.24","68,253,108.70","378,522,171.41"
经营活动现金流入小计,"147,218,074.16","155,089,291.36","86,265,082.66","185,672,626.68","64,709,996.18","123,093,455.71","191,967,384.90","69,717,576.28","133,486,418.23","233,996,037.77","405,629,372.36","33,776,659.91","137,021,405.17","207,072,956.35","339,350,994.92","48,018,558.87","129,165,410.55","222,181,973.91","387,167,089.04","66,205,317.51","104,892,934.09","254,381,659.35","442,335,536.59","160,606,146.34","171,207,461.30","267,544,431.59","496,684,082.40","51,460,003.08","174,533,349.39","441,642,084.05","602,251,816.44","147,493,150.64","363,073,347.76","583,429,652.20"
投资活动产生的现金流量净额,"-3,551,167.68","-9,930,206.76","-22,115,930.66","-25,293,288.42","-2,509,317.24","-3,878,175.67","-159,717,253.80","-3,288,960.27","-6,471,915.96","-10,028,161.93","-35,183,641.32","-9,813,269.96","-15,605,179.23","-19,255,122.27","-5,838,665.18","-29,547,581.39","-31,853,626.10","37,206,826.35","-91,388,463.09","-1,908,310.72","109,056,942.73","123,531,870.63","-6,695,859.95","-2,006,768.33","-8,577,441.73","18,327,195.65","-10,790,176.99","-750,080.80","-135,808.15","5,359,393.52","-11,217,243.07","-5,414,333.24","-66,280,768.70","-376,518,536.41"
购买商品、接受劳务支付的现金,"64,648,076.21","70,278,931.71","50,223,623.78","98,653,591.51","42,111,361.64","81,583,413.23","159,545,263.65","5,043,890.08","35,623,898.16","116,245,384.25","185,910,421.23","31,846,076.35","65,243,793.09","92,012,572.57","142,236,985.56","20,451,097.32","75,442,985.18","112,246,505.94","180,146,396.55","54,364,661.37","57,977,228.41","156,176,902.94","182,917,808.58","88,439,923.80","114,674,048.19","166,859,729.56","202,246,011.87","46,707,644.12","103,748,696.78","393,428,295.01","227,919,142.06","44,689,499.72","195,295,761.91","149,716,762.57"
吸收投资收到的现金,,,,,,"392,608,000.00","403,950,000.00",,"2,800,000.00","3,100,000.00","3,100,000.00",,,,"1,000,000.00","450,000.00","1,650,000.00","1,650,000.00","2,450,000.00",,,"5,000,000.00","1,800,000.00","34,900,000.00","2,502,040.00","12,402,040.00","41,300,000.00",,"70,000.00","7,460,000.00","18,250,000.00","5,601,500.00","5,600,000.00","6,930,000.00"
