科目,2009-12-31,2010-12-31,2011-12-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"98,310,226.11","348,470,565.59","309,073,431.61","583,754,245.60","318,219,028.72","827,702,952.59","468,939,393.81","417,319,272.91","397,492,499.96","243,019,671.25","153,914,578.30","142,829,902.33","132,747,829.03","89,831,617.93","143,555,875.12","157,760,375.71","156,222,372.24","139,529,150.56","119,582,958.57","195,955,710.85","186,578,680.67","184,620,213.10","120,429,924.16","93,945,196.67","81,165,503.70","164,352,559.70"
短期借款,"290,620,000.00","494,783,273.57","417,000,000.00","499,474,823.02","280,206,768.00","297,793,470.00","237,793,470.00","198,000,000.00","215,901,100.00","325,901,100.00","231,000,000.00","238,000,000.00","203,000,000.00","84,000,000.00","128,000,000.00","128,000,000.00","128,000,000.00","128,000,000.00","128,000,000.00","128,000,000.00","128,000,000.00","128,000,000.00","128,000,000.00","88,000,000.00","180,000,000.00","195,000,000.00"
交易性金融资产,,,,,,,"200,000,000.00",,,,"40,500,464.68","18,086,525.10","16,845,915.31",,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"13,560,077.32","43,422,052.38","36,007,248.55","8,931,082.20","51,665,686.71","38,531,831.68","55,419,447.99","65,448,376.61","60,985,958.80","148,080,232.24","95,964,129.06","98,009,134.84","95,979,785.73","110,042,898.27","114,676,901.06","62,960,143.09","97,052,938.09","116,868,817.92","121,444,382.13","101,240,607.55","81,561,089.64","134,740,409.17","144,990,048.00","154,192,611.75","221,848,156.27","235,875,132.26"
应付票据,"51,000,000.00","118,100,000.00","91,000,000.00","32,000,000.00","55,086,200.00","57,636,200.00","49,550,000.00","41,000,000.00","26,000,000.00",,,,"2,570,000.00","2,570,000.00",,,,,,,,,,,,
应收账款,"447,183,565.21","493,468,420.87","611,757,721.78","823,488,876.30","869,347,216.71","671,360,084.69","681,820,635.70","871,388,956.14","871,646,120.04","683,651,471.12","641,396,385.37","655,090,053.63","579,409,600.07","556,537,086.96","504,336,748.07","580,103,940.82","554,283,754.81","505,292,055.14","516,453,671.35","531,474,589.11","530,403,395.59","475,482,628.71","518,959,102.41","565,565,415.15","598,040,590.48","560,455,451.35"
应付账款,"81,873,873.05","64,842,531.32","70,709,601.58","129,278,363.32","100,260,098.03","94,885,804.29","91,048,177.30","122,237,339.19","86,734,135.72","56,947,968.94","38,201,639.45","44,752,696.44","47,439,030.90","58,363,828.77","37,994,192.93","60,995,149.44","51,543,803.42","63,697,589.48","48,096,057.43","59,121,254.70","54,463,210.59","62,104,951.20","49,429,911.89","73,556,518.07","80,653,856.09","65,486,621.88"
预付款项,"3,888,231.43","8,419,235.69","36,846,907.17","15,975,786.88","11,710,082.46","8,254,302.31","24,052,865.51","21,480,061.63","10,917,510.81","2,083,528.59","5,959,373.00","9,038,893.68","15,048,600.57","5,679,830.14","11,392,498.90","8,641,968.48","16,269,642.84","8,434,636.93","4,562,884.64","5,930,682.00","3,904,671.77","7,682,892.44","2,649,405.94","9,502,833.23","3,652,086.29","9,588,289.06"
预收款项,"16,905,625.94","14,253,567.19","15,486,299.79","8,395,667.45","4,306,068.60","4,590,425.64","7,335,338.24","13,635,972.63","6,014,168.86","7,550,837.32","15,869,541.06","11,789,429.26","7,908,198.30","7,410,906.15","6,414,780.69","4,547,372.97","6,891,408.01","6,866,700.51","4,451,374.68","8,075,527.42","5,773,427.50","4,499,258.12","5,660,179.01","54,843,091.56","46,677,903.12","49,925,553.24"
其他应收款,"51,276,448.58","24,255,122.61","40,891,207.89","41,085,552.80","19,912,180.52","16,127,618.22","22,029,291.15","26,624,154.81","23,952,685.72","15,813,399.13","21,256,875.20","20,885,668.70","25,271,407.31","13,536,502.03","18,534,795.60","18,293,343.15","14,472,047.38","8,949,945.79","16,873,234.68","23,929,837.51","20,872,250.99","13,427,305.17","31,365,706.35","34,329,942.98","36,646,031.89","16,331,042.59"
应付职工薪酬,"5,344,108.63","7,840,943.82","14,794,953.34","6,871,807.34","6,756,174.31","10,800,786.62","4,053,663.71","6,838,707.64","6,511,239.77","15,386,991.13","7,330,692.43","3,624,336.95","4,035,079.98","13,272,947.22","5,718,735.39","3,253,895.43","2,980,883.15","15,023,481.77","2,548,634.33","2,576,276.63","2,333,039.16","16,157,723.74","2,189,033.03","2,179,972.15","2,156,406.89","20,607,723.68"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"21,836,700.19","16,877,130.47","39,580,465.01","12,553,113.01","22,926,688.80","14,975,381.46","11,190,461.08","15,383,140.58","5,507,149.26","3,264,332.15","3,402,790.99","2,570,042.02","-555,091.76","5,939,444.61","5,833,239.73","6,870,008.36","4,191,566.25","2,491,948.04","4,041,161.08","3,307,089.56","419,844.54","1,231,728.37","6,448,541.54","11,510,953.39","4,598,328.89","7,464,690.36"
应收利息,,,,,,,,,,,,,,,,,,,"386,333.32",,,,,,,
应付利息,"9,735.00","25,488.00","116,999.66","150,707.88","132,823.44","1,672,193.33","6,498,228.06","11,407,000.00","16,290,000.00","450,897.64","40,444.44",,,,,,,,,,,,,,,"15,418.34"
应收股利,,,,,,,,,,,,,,,,,,,,,,,"459,978.08",,,
应付股利,,,,,,,,,,,,"2,080,020.00",,,,,,,,,,,,,,
