科目,2014-12-31,2015-12-31,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"37,813,044.34","64,112,206.42","78,215,570.59","343,572,059.26","312,707,378.51","322,193,439.03","73,711,135.42","68,279,708.66","74,369,523.99"
短期借款,"21,000,000.00","25,000,000.00","12,000,000.00",,,,,,
交易性金融资产,,,,,,,,,
交易性金融负债,,,,,,,,,
应收票据,"4,821,018.44","5,137,442.00","10,226,969.87","8,260,333.41","15,118,326.96","14,205,372.26","5,910,077.40","7,356,304.65","2,630,189.66"
应付票据,,"3,000,000.00",,,,,,,
应收账款,"45,075,064.41","40,484,337.76","34,160,344.72","40,528,270.50","23,408,120.31","22,891,806.09","38,260,292.54","47,692,755.57","40,497,596.64"
应付账款,"19,945,737.21","18,835,412.11","25,660,064.46","26,898,432.49","17,195,830.75","18,555,854.48","20,606,125.49","15,695,948.56","24,532,406.61"
预付款项,"5,520,935.80","9,914,650.97","4,854,238.58","3,854,550.15","5,452,805.02","4,994,909.63","4,894,489.30","5,651,862.33","6,280,817.61"
预收款项,"5,431,377.21","2,635,802.08","4,990,057.45","5,504,664.49","5,763,438.81","3,655,455.59","3,807,650.40","12,050,921.13","7,163,137.34"
其他应收款,"1,146,094.77","607,471.56","437,511.26","2,513,685.16","716,588.28","557,729.18","470,325.04","535,001.50","1,003,554.36"
应付职工薪酬,"7,887,772.54","6,755,792.60","9,865,044.29","3,274,385.39","4,273,619.20","5,094,835.14","8,491,243.56","6,302,381.99","5,694,669.95"
应收关联公司款,,,,,,,,,
应交税费,"11,521,303.27","7,008,241.77","11,056,500.87","3,862,272.03","3,734,139.86","7,118,586.31","11,848,208.29","11,184,836.60","12,867,439.87"
应收利息,,,,,"339,928.76","1,628,777.05","2,877,291.78","3,832,948.46","211,823.69"
应付利息,"51,563.83","53,224.93","15,993.70",,,,,,
应收股利,,,,,,,,,
应付股利,,,,,,,,,
存货,"53,580,364.84","47,455,326.57","52,993,262.26","57,815,119.16","66,778,721.46","65,548,346.20","70,213,322.52","70,627,726.29","84,200,518.38"
其他应付款,"15,270,251.53","21,165,696.58","18,161,399.20","17,614,094.26","17,916,224.46","18,147,833.66","26,129,606.73","38,749,249.63","49,995,400.82"
其中:消耗性生物资产,,,,,,,,,
应付关联公司款,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,
其他流动资产,,,"108,437.22",,"400,407.32",,"270,889,337.03","250,972,441.43","203,217,693.00"
其他流动负债,,,,,,,,,
流动资产合计,"147,956,522.60","167,711,435.28","180,996,334.50","456,544,017.64","424,922,276.62","432,020,379.44","467,226,271.03","454,948,748.89","412,411,717.33"
流动负债合计,"81,108,005.59","84,454,170.07","81,749,059.97","57,153,848.66","48,883,253.08","52,572,565.18","70,882,834.47","83,983,337.91","100,253,054.59"
可供出售金融资产,,,,,,,,,
长期借款,,,,,,,,,
持有至到期投资,,,,,,,,,
应付债券,,,,,,,,,
长期应收款,,,,,,,,,
长期应付款,,,,,,,,,
长期股权投资,"26,669,507.26","24,912,381.54","25,522,647.17","24,219,028.02","24,848,362.24","25,435,163.22","26,114,383.74","24,508,691.10","25,064,436.45"
专项应付款,,,,"83,244.61",,,,,
投资性房地产,,,,,,,,,
预计负债,,,,,,,,,
固定资产,"124,169,242.66","124,895,076.78","118,218,283.23","116,955,313.22","117,121,961.36","118,606,046.82","121,918,680.34","118,707,797.69","165,035,091.72"
递延所得税负债,,,,,,,,,
在建工程,"2,126,721.42","3,201,557.84","7,968,652.26","8,117,260.15","8,673,367.26","5,105,265.76","17,111,737.98","60,698,724.08","29,642,163.46"
其他非流动负债,,,,,,,,,
工程物资,"44,344.02","52,540.13","43,553.05","51,175.92","49,435.52","48,713.31","36,442.07","47,352.27","44,524.56"
非流动负债合计,"1,661,748.34","1,756,728.34","2,358,517.56","2,367,326.66","2,705,169.78","2,617,304.02","2,529,438.24","2,677,538.83","3,074,753.51"
固定资产清理,,,,,,,,,
负债合计,"82,769,753.93","86,210,898.41","84,107,577.53","59,521,175.32","51,588,422.86","55,189,869.20","73,412,272.71","86,660,876.74","103,327,808.10"
生产性生物资产,,,,,,,,,
实收资本(或股本),"63,900,000.00","63,900,000.00","63,900,000.00","85,200,000.00","85,200,000.00","85,200,000.00","85,200,000.00","85,200,000.00","85,200,000.00"
油气资产,,,,,,,,,
资本公积,"122,870,134.68","122,870,134.68","122,870,134.68","384,901,430.96","384,901,430.96","384,901,430.96","386,668,821.03","386,668,821.03","386,668,821.03"
