科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"67,450,062.84","67,937,251.96","182,497,853.84","581,827,625.07","545,136,895.10","420,038,578.57","367,722,906.97","417,597,557.35","313,877,794.99","308,622,972.21","271,342,486.92","185,984,614.25","189,073,074.40","709,510,039.40","394,029,977.23","338,829,142.73","344,164,803.21","377,906,244.07","332,251,816.76","615,032,071.30","945,627,801.29","808,590,543.57","773,615,497.87","719,993,712.30","529,475,789.33","352,498,240.59","356,904,645.63","277,900,267.32","524,561,936.61","493,849,360.03","317,256,794.14","971,599,792.40","859,550,052.82","614,326,463.63","507,948,890.35","701,629,810.25","736,003,445.86"
短期借款,"10,000,000.00","5,000,000.00","121,840,445.10","25,849,350.00","26,125,330.00","16,707,500.00","26,674,995.75","93,890,642.01","47,862,346.89","100,512,525.81","102,623,091.11","66,019,270.00","263,035,838.24","287,830,236.84","104,723,012.23","193,429,090.82","243,072,364.47","230,349,439.28","465,514,151.46","795,316,548.13","1,077,977,997.07","1,054,197,183.36","1,106,340,992.23","933,959,510.20","790,492,784.99","746,919,073.72","781,314,465.94","482,821,605.03","379,468,097.57","371,294,399.39","399,800,000.00","332,193,081.40","326,809,000.00","380,000,000.00","490,021,636.02","448,081,903.60","498,081,903.60"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,"46,583.63","46,583.63",,"26,593.09",,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"14,739,645.27","1,538,458.87","18,335,462.27","4,657,942.20","28,991,425.98","23,443,690.78","43,467,898.99","53,180,108.75","78,247,256.49","117,786,855.29","133,305,403.79","99,422,360.31","218,210,666.82","189,721,889.69","207,235,312.56","188,424,386.95","108,419,046.59","85,712,042.68","81,934,794.45","77,835,178.73","68,493,501.73","79,368,947.04","116,046,986.48","115,118,911.15","61,976,181.75","90,610,840.18","131,064,750.62","201,760,665.79","73,634,223.66","7,725,552.63","13,638,402.10","2,635,965.28","7,599,051.14","1,039,120.03","489,549,253.77","374,436,649.63","19,442,145.73"
应付票据,"11,282,769.62",,,,,,,,"25,180,785.28","56,275,274.09","77,265,605.90","106,034,059.31","93,327,270.56","96,238,978.67","104,768,196.41","113,702,069.49","86,692,663.28","68,404,282.52","115,118,079.66","61,931,405.75","91,178,357.91","101,579,330.29","159,264,166.96","147,766,568.97","113,025,829.48","171,086,829.80","293,100,757.52","319,760,141.45","316,252,345.00","220,977,406.04","143,576,135.19","210,973,861.32","162,975,567.87","265,475,110.49","139,623,906.42","316,153,223.84","234,518,777.58"
应收账款,"61,055,207.09","57,813,600.55","173,382,454.94","154,372,432.44","207,688,641.50","227,642,555.38","292,435,236.49","292,101,180.52","305,001,314.09","321,088,799.15","347,294,970.60","368,642,265.96","229,353,309.89","326,285,752.36","233,994,280.48","221,828,224.51","236,233,821.93","259,302,943.90","306,768,103.07","334,939,053.13","311,598,835.43","408,220,102.46","497,603,563.06","297,610,720.50","269,886,124.85","395,908,151.55","610,635,617.85","495,446,865.39","339,613,508.01","361,949,977.23","508,488,040.69","516,586,187.34","389,547,927.16","429,535,602.85","296,802,835.87","420,499,221.10","723,006,239.97"
应付账款,"101,834,542.26","98,499,143.54","193,809,435.27","157,111,400.35","206,932,277.14","192,171,286.69","313,259,699.93","305,426,644.02","302,317,035.73","295,096,763.46","370,591,398.08","295,082,620.97","307,333,506.77","384,966,076.58","352,522,891.17","255,462,578.35","261,905,248.70","310,233,377.88","273,696,105.20","262,321,181.39","320,225,742.19","474,340,408.84","427,781,672.63","433,608,490.61","446,144,689.34","427,163,032.41","613,985,905.83","669,926,940.75","563,524,445.79","514,563,375.98","567,797,427.65","680,605,018.87","494,657,915.89","499,491,477.11","1,024,380,871.25","977,618,958.83","816,813,658.66"
预付款项,"5,775,839.96","8,025,656.67","2,514,060.07","4,673,446.38","33,540,326.09","7,087,754.69","9,708,052.43","12,549,144.33","17,873,590.39","42,928,060.52","38,842,681.69","60,612,420.94","184,709,733.11","32,930,290.96","5,444,730.57","54,268,458.51","19,808,802.36","10,751,287.48","5,060,163.16","22,758,090.47","14,789,602.32","51,268,192.66","18,089,146.89","42,562,519.61","30,237,429.92","18,060,225.39","20,124,058.44","16,933,108.64","26,361,581.05","30,417,551.32","5,440,811.86","10,215,042.30","18,725,912.61","38,936,512.87","39,665,146.88","31,654,949.32","18,740,771.29"
预收款项,"170,343.73","3,101,607.79","5,681,668.95","3,091,045.92","3,517,985.15","2,526,579.07","1,258,727.69","1,284,847.48","5,367,105.69","604,951.35","2,556,271.49","14,542,156.95","15,444,665.87","25,933,088.19","5,944,370.52","15,269,865.84","8,890,407.80","9,356,667.04","4,495,635.05","6,883,561.22","3,714,412.18","18,542,235.38","19,806,012.16","36,200,012.33","15,109,811.89","24,779,180.33","34,071,628.76","27,264,347.67","12,522,204.20","20,160,387.21","27,867,515.67","23,278,046.23","23,207,720.40","30,804,799.39","20,712,900.53","20,328,943.78","34,724,944.72"
