科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"477,146,231.02","608,496,232.64","738,137,429.34","175,600,844.49","358,901,880.08","559,514,625.98","776,491,536.39","150,988,438.94","326,303,713.90","562,337,216.52","767,492,684.26","171,784,081.35","436,406,881.98","682,678,004.53","1,211,738,945.00","251,076,097.13","603,311,780.10"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,
收到的税费返还,"25,445,805.95","24,113,120.84","29,512,777.57","5,411,881.86","18,408,787.92","29,957,108.44","50,741,274.05","17,422,585.23","33,014,057.21","68,299,148.77","93,305,692.48","26,790,219.57","46,105,937.77","67,831,079.28","92,678,487.88","23,662,947.28","44,700,242.63"
支付其他与投资活动有关的现金,"18,424,000.00",,,,,"30,508.48",,"793,884.10","1,584,648.59","3,344,451.09",,"3,570,717.40",,,,"23,243.00","2,153,243.00"
收到其他与经营活动有关的现金,"3,375,626.34","10,824,479.86","3,746,286.00","12,171,527.81","8,739,473.37","20,292,252.10","33,855,379.67","7,488,142.59","25,574,372.08","50,011,199.54","11,794,668.99","5,604,570.07","19,717,802.96","30,972,656.80","19,889,258.91","8,853,620.07","11,299,499.96"
投资活动现金流出小计,"224,462,735.05","228,323,490.54","106,804,473.72","46,162,024.22","70,392,968.80","112,540,634.12","501,180,984.60","68,739,815.77","207,679,096.09","304,062,705.65","476,728,230.45","101,292,336.01","261,333,114.78","559,578,093.04","1,040,396,408.60","359,260,049.77","568,539,748.36"
经营活动现金流入小计,"505,967,663.31","643,433,833.34","771,396,492.91","193,184,254.16","386,050,141.37","609,763,986.52","861,088,190.11","175,899,166.76","384,892,143.19","680,647,564.83","872,593,045.73","204,178,870.99","502,230,622.71","781,481,740.61","1,324,306,691.79","283,592,664.48","659,311,522.69"
投资活动产生的现金流量净额,"-203,505,576.89","-204,253,362.09","-92,324,105.77","-41,162,024.22","-50,392,968.80","-92,540,634.12","-258,242,377.41","-68,739,815.77","-207,544,893.77","-303,864,448.53","-363,034,629.41","-660,336.01","16,128,392.08","-171,192,588.31","-390,075,110.51","-227,930,077.18","-264,234,357.95"
购买商品、接受劳务支付的现金,"149,760,385.32","71,107,481.69","137,394,074.79","28,039,163.13","64,738,396.71","95,974,897.11","125,986,743.58","33,174,606.27","64,922,489.57","68,860,221.28","106,988,580.81","45,308,718.99","104,087,842.21","180,324,928.83","271,812,396.11","97,295,630.47","224,256,457.56"
吸收投资收到的现金,,,,,"451,473,155.67","451,473,155.67","469,166,000.00",,,,,"81,049,500.00","81,049,500.00","81,049,500.00","87,553,500.00",,
支付给职工以及为职工支付的现金,"53,039,924.03","75,650,213.48","91,023,941.53","46,575,302.43","66,336,691.85","87,086,715.25","115,974,927.40","49,576,791.46","76,546,651.59","101,677,795.78","131,189,196.34","54,258,013.49","87,173,189.75","120,640,916.04","144,914,433.11","63,184,529.21","101,188,275.23"
取得借款收到的现金,"255,000,000.00","138,000,000.00","110,000,000.00","30,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","160,000,000.00","210,000,000.00","210,000,000.00","30,000,000.00","61,000,000.00","161,000,000.00","201,000,000.00","71,624,000.00","197,223,900.00"
支付的各项税费,"51,590,208.42","81,649,480.19","91,848,158.53","27,566,754.83","53,195,557.15","87,995,141.34","122,158,537.72","46,302,304.57","89,012,569.23","130,797,469.44","170,213,607.84","66,723,518.43","103,807,394.78","149,348,476.17","198,694,387.54","68,277,233.85","131,618,104.21"
收到其他与筹资活动有关的现金,"22,835,096.65","806,087.12","15,672,369.38","13,168,423.18","13,168,423.18","31,678,620.63","13,168,423.18","18,144,771.74","18,356,113.23","18,473,808.49","17,877,804.19","15,342,270.32","15,202,221.84","15,598,550.53","18,009,533.91","25,446,631.88","24,446,482.54"
支付其他与经营活动有关的现金,"33,707,367.08","28,385,180.40","50,068,416.75","7,462,406.54","12,681,856.32","58,769,762.25","39,495,856.09","24,074,862.08","38,940,695.07","53,619,587.37","36,231,759.04","12,723,283.10","26,041,435.12","39,874,026.72","44,390,412.99","15,755,998.90","39,980,332.45"
筹资活动现金流入小计,"277,835,096.65","138,806,087.12","125,672,369.38","43,168,423.18","514,641,578.85","533,151,776.30","532,334,423.18","68,144,771.74","178,356,113.23","228,473,808.49","227,877,804.19","126,391,770.32","157,251,721.84","257,648,050.53","306,563,033.91","97,070,631.88","221,670,382.54"
经营活动现金流出小计,"288,097,884.85","256,792,355.76","370,334,591.60","109,643,626.93","196,952,502.03","329,826,515.95","403,616,064.79","153,128,564.38","269,422,405.46","354,955,073.87","444,623,144.03","179,013,534.01","321,109,861.86","490,188,347.76","659,811,629.75","244,513,392.43","497,043,169.45"
偿还债务支付的现金,"160,840,000.00","197,840,000.00","218,840,000.00","58,000,000.00","341,000,000.00","548,000,000.00","590,840,000.00","9,500,000.00","24,500,000.00","56,920,001.00","76,180,002.00","27,920,001.00","79,020,006.00","127,020,011.00","207,860,016.00","23,500,005.00","28,500,010.00"
经营活动产生的现金流量净额,"217,869,778.46","386,641,477.58","401,061,901.31","83,540,627.23","189,097,639.34","279,937,470.57","457,472,125.32","22,770,602.38","115,469,737.73","325,692,490.96","427,969,901.70","25,165,336.98","181,120,760.85","291,293,392.85","664,495,062.04","39,079,272.05","162,268,353.24"
分配股利、利润或偿还利息支付的现金,"82,143,666.23","79,127,241.84","119,843,582.53","11,183,746.00","60,069,793.31","49,037,666.42","72,012,523.38","3,094,554.30","94,941,985.53","101,682,833.62","106,057,768.07","3,498,573.04","142,083,078.05","144,345,356.18","152,998,586.82","985,740.94","175,290,709.31"
收回投资收到的现金,,,,,,,"190,863,188.36",,,,"93,680,931.52","100,000,000.00","270,000,000.00","380,000,000.00","636,165,798.95","130,000,000.00","300,000,000.00"
支付其他与筹资活动有关的现金,"806,087.12","15,672,369.38","15,168,423.18","18,205,782.39","10,377,671.37","19,401,775.28","35,636,648.52","20,977,402.69","12,222,737.19","9,245,775.69","15,202,221.84","12,156,739.00","46,800,086.35","11,771,186.04","26,246,482.54","16,259,037.77",
取得投资收益收到的现金,,,,,,,,,"133,808.22","197,863.02",,"632,000.00","4,321,506.86","5,244,739.73",,"1,329,972.59","4,305,390.41"
筹资活动现金流出小计,"243,789,753.35","292,639,611.22","353,852,005.71","87,389,528.39","411,447,464.68","616,439,441.70","698,489,171.90","33,571,956.99","131,664,722.72","167,848,610.31","197,439,991.91","43,575,313.04","267,903,170.40","283,136,553.22","387,105,085.36","40,744,783.71","203,790,719.31"
处置固定资产、无形资产和其他长期资产收回的现金净额,"26,675.00","34,700.85","180,367.95",,,,"75,418.83",,394.10,394.10,"12,669.52",,,765.00,"15,499.14",,
筹资活动产生的现金流量净额,"34,045,343.30","-153,833,524.10","-228,179,636.33","-44,221,105.21","103,194,114.17","-83,287,665.40","-166,154,748.72","34,572,814.75","46,691,390.51","60,625,198.18","30,437,812.28","82,816,457.28","-110,651,448.56","-25,488,502.69","-80,542,051.45","56,325,848.17","17,879,663.23"
处置子公司及其他营业单位收到的现金净额,"72,783.16",,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,"20,857,700.00","24,035,427.60","14,300,000.00","5,000,000.00","20,000,000.00","20,000,000.00","52,000,000.00",,,,"20,000,000.00",,"3,140,000.00","3,140,000.00","14,140,000.00",,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"20,957,158.16","24,070,128.45","14,480,367.95","5,000,000.00","20,000,000.00","20,000,000.00","242,938,607.19",,"134,202.32","198,257.12","113,693,601.04","100,632,000.00","277,461,506.86","388,385,504.73","650,321,298.09","131,329,972.59","304,305,390.41"
五、现金及现金等价物净增加额,"48,409,544.87","28,554,591.39","80,558,159.21","-1,842,502.20","241,898,784.71","104,109,171.05","33,074,999.19","-11,396,398.64","-45,383,765.53","82,453,240.61","95,373,084.57","107,321,458.25","86,597,704.37","94,612,301.85","193,877,900.08","-132,524,956.96","-84,086,341.48"
购建固定资产、无形资产和其他长期资产支付的现金,"206,038,735.05","228,323,490.54","106,804,473.72","46,162,024.22","70,392,968.80","112,510,125.64","211,180,984.60","67,945,931.67","126,094,447.50","220,633,347.76","246,728,230.45","47,721,618.61","111,333,114.78","189,578,093.04","440,364,408.60","229,236,806.77","436,386,505.36"
期初现金及现金等价物余额,"35,632,115.10","84,041,659.97","112,596,251.36","193,154,410.57","193,154,410.57","193,154,410.57","193,154,410.57","226,229,409.76","226,229,409.76","226,229,409.76","226,229,409.76","321,602,494.33","321,602,494.33","321,602,494.33","321,602,494.33","515,480,394.41","515,480,394.41"
投资支付的现金,,,,,,,"290,000,000.00",,"80,000,000.00","80,084,906.80","230,000,000.00","50,000,000.00","150,000,000.00","370,000,000.00","600,032,000.00","130,000,000.00","130,000,000.00"
期末现金及现金等价物余额,"84,041,659.97","112,596,251.36","193,154,410.57","191,311,908.37","435,053,195.28","297,263,581.62","226,229,409.76","214,833,011.12","180,845,644.23","308,682,650.37","321,602,494.33","428,923,952.58","408,200,198.70","416,214,796.18","515,480,394.41","382,955,437.45","431,394,052.93"
