科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"1,656,390.72","39,065,039.08","33,561,197.54","20,506,299.11","566,092,532.39","543,353,279.10","374,656,051.40","314,833,518.52","111,085,605.84","133,398,455.50","102,103,605.79","236,059,277.34","235,316,894.04","193,520,396.46","311,140,576.08","220,208,941.77","514,951,299.15","608,218,105.29","892,475,943.33","1,028,350,168.02","420,605,212.93","499,850,156.29","703,220,105.25","1,156,372,507.30","3,254,753,951.73","2,729,778,115.14","2,618,997,247.32","5,557,284,437.85","5,610,655,751.37","3,669,146,356.08","3,657,615,668.08","2,982,416,829.22","833,747,348.39","853,110,169.68","689,653,335.11","587,460,955.24","342,861,234.79","537,675,352.47","454,968,148.03"
短期借款,,,"40,000,000.00","95,500,000.00","26,200,000.00","70,000,000.00","70,000,000.00","200,000,000.00","267,370,835.80","340,000,000.00","380,000,000.00","474,300,000.00","511,300,000.00","508,900,000.00","538,900,000.00","685,000,000.00","565,000,000.00","970,000,000.00","1,150,000,000.00","1,239,000,000.00","1,389,000,000.00","1,388,000,000.00","1,054,000,000.00","1,375,000,000.00","1,346,809,413.00","1,735,000,000.00","1,928,800,000.00","1,493,000,000.00","2,986,486,000.00","2,600,361,000.00","2,177,675,908.18","2,110,675,908.18","3,008,355,409.98","2,754,826,592.01","3,314,975,501.80","2,176,745,501.80","1,956,295,824.03","42,075,000.00","42,075,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,"275,578.22","929,916.62","1,154,338.40","1,404,314.80","946,990.76","4,867,634.38","2,271,856.19","2,179,064.88","1,345,724.88","54,363,352.84","150,270,806.23","74,930,777.23","6,182,806.40","11,337,263.64","68,173,510.00","409,937,733.48","504,044,758.01","909,130,941.24","244,056,118.00","15,981,858.24","16,546,044.08","5,884,729.45","202,873,904.34","5,966,102.47","2,104,312.83","2,000,000.00","15,270,000.00","2,000,000.00","2,000,000.00","6,000,000.00",
应付票据,,,,,,,,,,,,,,,,,,"22,500,000.00","22,500,000.00",,"199,485,187.70","20,000,000.00",,,"120,000,000.00",,"150,000,000.00","562,500,000.00","750,884,006.72","226,884,006.72","125,000,000.00",,,,,,,,
应收账款,"7,563,591.49","25,451,987.38","20,378,780.26","47,534,040.90","94,493,125.65","69,797,443.26","128,128,624.69","144,812,995.15","133,484,133.58","177,323,658.57","234,719,457.94","283,730,755.02","382,419,849.87","370,951,795.99","553,705,157.16","604,064,896.15","759,973,679.08","950,248,021.06","1,251,663,311.05","1,548,656,947.59","1,744,608,980.81","1,892,606,343.05","2,419,121,945.09","2,492,999,499.82","3,183,695,721.02","3,359,683,070.34","3,896,024,960.69","4,096,673,674.60","5,060,957,392.89","8,685,855,147.64","9,537,282,766.53","9,542,445,522.42","9,739,917,280.21","3,614,408,001.33","3,566,788,696.35","3,282,856,798.96","3,124,301,979.82","1,102,424,977.83","1,089,469,650.53"
应付账款,"1,221,338.00","344,263.00","4,731,201.00","9,254,616.61","13,055,619.00","15,101,702.13","35,934,238.07","44,560,198.87","92,347,342.16","237,108,804.14","343,757,432.00","320,227,812.20","336,293,521.32","327,451,670.46","319,612,524.98","416,593,439.36","593,393,819.10","782,182,977.60","930,991,633.62","1,845,550,685.59","1,447,035,743.21","1,605,289,561.49","1,475,839,417.04","1,620,104,887.89","3,040,545,966.21","3,230,743,322.86","4,188,829,138.92","4,793,307,600.30","4,383,290,066.53","5,421,247,492.09","4,835,548,546.50","5,840,327,241.10","5,361,457,344.28","6,514,482,975.33","5,895,382,904.52","5,216,518,269.04",,"3,354,861,921.91",
预付款项,"602,666.68","11,386,641.80","9,402,601.20","29,690,924.96","30,514,199.86","54,211,845.13","141,228,360.51","232,956,199.68","375,739,490.65","301,434,319.27","268,187,271.39","229,099,043.55","285,633,081.91","246,774,685.95","329,133,720.55","245,056,651.22","294,410,169.71","270,742,918.73","349,411,357.24","302,263,092.55","482,844,863.25","298,718,272.52","324,178,817.26","339,991,757.61","289,513,608.84","518,179,809.89","382,015,361.10","383,935,803.07","1,104,115,806.47","619,331,275.54","635,962,170.60","747,581,773.46","580,625,170.21","574,386,058.86","612,402,312.40","613,096,871.70","606,196,480.16","524,252,198.49","513,375,234.37"
预收款项,"3,000.00",,"177,777.88","51,666.67",,"2,094,686.67","501,340.13","11,544,402.40","11,544,600.70","15,187,309.35","20,068,640.67","17,275,407.02","13,734,880.54","6,828,378.59","8,328,095.57","8,551,745.00","12,499,516.51","44,327,746.55","255,387,535.33","250,027,578.95","306,876,208.02","323,395,607.04","347,482,309.57","683,471,202.93","195,998,956.41","1,733,076,250.81","398,467,102.32","387,246,046.51","446,079,041.25","182,669,921.06","203,648,054.14","313,500,523.68","810,863,767.57","456,754,864.86","537,212,757.44","627,138,192.56","588,545,849.29","455,082,200.28","450,545,674.87"
