科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"305,557,670.24","335,390,220.10","508,661,832.59","293,664,336.54","413,081,174.60","505,886,671.79","116,400,079.20","258,568,795.38","441,787,938.79","626,178,797.06","101,792,831.26","255,063,731.28","446,235,918.04","746,605,328.94","229,612,770.90","562,531,504.52","860,631,902.31","1,194,048,050.92","332,130,991.73","673,734,266.02","1,069,576,210.33","1,532,239,254.96","498,666,691.93","985,488,692.87","1,438,727,216.23","2,015,929,718.47","496,499,392.33","1,065,896,194.79","1,617,819,098.41","2,286,467,012.01"
二、营业利润,"39,837,077.70","56,409,714.45","61,261,338.71","30,723,467.59","33,856,655.13","33,309,325.58","17,364,617.17","26,864,056.04","32,974,785.09","37,687,892.18","11,666,113.56","12,778,781.66","20,859,859.53","9,414,857.15","20,859,123.99","57,292,150.80","82,318,973.33","95,251,192.42","40,381,173.41","88,942,231.86","117,364,899.02","162,356,015.80","79,684,126.06","148,397,809.63","196,281,926.99","240,317,856.09","80,883,035.62","144,806,977.21","167,866,112.81","189,820,864.45"
减:营业成本,"244,086,247.33","250,961,622.62","408,491,362.48","235,627,306.79","333,886,937.23","409,780,534.64","90,158,630.12","202,845,691.25","353,239,908.68","502,156,743.00","79,291,969.58","203,563,887.63","352,392,717.29","582,109,002.33","168,147,332.50","403,864,485.31","627,293,335.45","882,826,944.81","242,164,935.86","475,524,860.99","769,744,898.09","1,096,072,063.76","350,295,635.50","700,093,340.94","1,039,821,490.70","1,465,011,070.41","349,016,642.44","780,510,385.84","1,207,030,797.38","1,719,996,765.12"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"92,134.56","490,527.52","440,557.70","693,559.87","962,492.61","1,477,473.09","279,737.19","707,053.66","2,548,825.68","3,678,746.11","632,017.50","1,579,563.83","3,049,534.74","5,600,295.29","1,605,584.88","4,132,640.23","6,169,660.44","10,188,014.30","2,239,155.53","7,097,566.68","11,208,433.28","16,693,234.24","4,035,532.24","8,340,520.50","12,408,741.25","20,806,560.29","4,849,423.41","10,718,743.09","19,874,462.08","12,563,076.72"
营业外收入,"1,776,120.04","3,456,903.54","3,929,111.04","1,257,737.51","4,418,092.66","4,487,012.02","2,550,985.95","3,176,476.48","4,110,446.10","6,066,767.14","4,016,208.73","4,319,837.09","6,800,312.45","8,779,845.68","273,570.61","3,609,705.24","7,448,073.19","19,708,263.59","3,717,038.88","8,632,374.96","10,088,378.42","14,659,515.97","2,309,518.66","3,498,428.89","6,827,480.19","16,819,822.75","2,543,500.53","3,567,698.75","7,339,173.42","20,049,326.60"
销售费用,"7,153,453.37","10,664,119.69","13,452,194.77","10,300,800.09","16,795,053.42","24,243,430.78","5,642,270.84","12,859,055.51","20,707,022.17","32,080,855.57","6,133,901.35","14,526,094.90","25,463,125.85","44,265,540.84","14,384,647.25","31,535,247.89","45,374,958.79","67,981,584.22","17,623,189.61","30,808,442.97","50,168,926.55","66,114,717.61","21,241,926.59","43,231,998.86","63,186,549.70","99,425,090.61","15,153,879.21","36,841,968.92","60,457,550.08","95,372,449.15"
减:营业外支出,"191,812.60","590,966.66","683,209.83","94,647.95","203,623.20","285,590.03",502.09,"127,132.72","337,605.82","574,453.30","31,629.02","123,093.58","177,014.56","732,458.95","75,131.29","300,841.10","3,467,955.89","5,384,962.26","942,658.17","1,124,867.80","1,140,628.83","2,032,737.45","873,706.95","1,005,490.56","1,136,918.26","2,561,767.51","255,916.71","1,550,192.55","3,971,711.99","7,425,355.82"
管理费用,"10,799,481.80","14,193,002.26","16,431,702.19","9,411,676.20","16,573,872.65","23,312,713.54","7,851,027.97","17,315,736.90","31,415,638.22","44,766,182.49","11,510,784.80","24,434,827.09","40,271,454.16","60,337,796.88","18,151,148.32","47,895,213.93","68,529,477.86","90,870,460.84","18,929,542.95","49,167,611.12","78,612,178.34","127,457,955.13","30,690,797.18","68,594,271.90","105,422,467.96","164,091,996.96","37,124,794.99","78,696,484.16","124,111,000.23","194,051,885.30"
其中:非流动资产处置净损失,"3,378.60","570,540.21",,,,,,,,,,,,"5,013.32",,"44,741.07",,"2,878,949.76",,"102,423.10","106,921.48","979,536.06",,"711,875.51","726,454.36","1,548,837.43","48,260.05","394,548.45","1,672,119.19",
