科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"194,961,708.09","293,699,014.89","274,398,626.82","162,019,243.75","280,725,384.21","71,993,575.02","144,741,535.72","228,514,015.33","406,348,405.61","97,524,664.25","194,077,004.94","349,365,810.62","577,496,072.34","110,126,569.53","251,133,370.59","397,807,545.86","666,739,187.38","81,451,184.75","178,724,940.38"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"-24,998,789.58",,,"13,807,705.13","13,807,705.13",,"13,000,000.00","13,000,000.00",,,
收到的税费返还,"4,360,201.48","3,576,496.16","5,972,146.53","2,108,547.16","3,261,004.42","11,967.83","1,566,420.87","2,584,307.29","5,530,491.30","2,771,835.62","3,920,928.62","4,893,075.47","5,673,065.48","217,595.00","781,493.20","2,315,566.01","2,480,276.94","34,469.25","120,909.25"
支付其他与投资活动有关的现金,,,,,,,"215,000,000.00","296,000,000.00","50,000,000.00",,"64,000,000.00","94,035,000.00","960,000.00",,,"74,332.39",,,
收到其他与经营活动有关的现金,"2,471,087.44","4,337,770.07","7,099,979.64","7,008,206.13","8,940,100.51","2,964,532.41","7,613,126.00","13,208,059.81","16,827,409.11","6,384,710.05","11,003,660.42","17,491,896.07","30,142,391.29","4,989,755.31","8,291,327.69","11,195,336.85","16,301,949.28","4,144,225.56","5,222,290.96"
投资活动现金流出小计,"828,260.24","50,087,183.92","5,953,897.64","2,074,900.64","2,620,803.82","344,725.36","220,146,403.71","303,852,825.82","37,159,697.13","11,902,904.57","81,094,869.89","187,036,573.45","351,352,058.67","119,627,194.37","226,184,722.90","270,727,100.09","505,156,517.17","249,284,126.32","453,112,242.55"
经营活动现金流入小计,"201,792,997.01","301,613,281.12","287,470,752.99","171,135,997.04","292,926,489.14","74,970,075.26","153,921,082.59","244,306,382.43","428,706,306.02","106,681,209.92","209,001,593.98","371,750,782.16","613,311,529.11","115,333,919.84","260,206,191.48","411,318,448.72","685,521,413.60","85,629,879.56","184,068,140.59"
投资活动产生的现金流量净额,"-790,470.58","-50,066,636.24","-5,952,180.75","-2,074,900.64","-2,620,803.82","-344,725.36","-220,146,403.71","-198,759,579.65","-33,396,376.59","39,860,314.61","-29,211,745.86","-134,771,545.29","-187,450,482.33","-73,724,925.86","-58,251,089.92","-36,449,717.78","-192,674,406.74","-231,196.35","42,507,416.92"
购买商品、接受劳务支付的现金,"134,401,061.72","211,828,949.33","216,389,045.16","155,080,333.97","235,013,064.63","64,157,365.05","151,654,442.35","226,050,343.64","365,705,720.08","110,202,648.39","204,736,312.52","305,308,405.18","468,985,397.37","120,299,373.00","227,528,407.49","317,770,689.23","493,608,066.09","109,150,126.72","190,557,198.67"
吸收投资收到的现金,,,,,,"274,743,000.00","274,743,000.00","274,743,000.00","274,743,000.00",,"130,318,471.05","130,318,471.05","130,318,471.05",,,,,,
支付给职工以及为职工支付的现金,"8,894,603.91","10,618,036.88","13,978,629.36","13,548,135.12","17,989,228.56","7,062,568.81","11,725,001.93","16,733,904.09","23,046,748.46","11,397,603.90","19,767,800.87","29,503,641.44","39,611,016.96","13,166,674.37","22,913,257.24","32,907,993.98","43,319,934.05","16,545,208.31","27,679,986.48"
取得借款收到的现金,,,,,,,,,,"600,000.00","600,000.00","600,000.00",,,,,,,
