科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"63,766,614.47","132,633,751.77","218,972,693.09","105,744,097.17","187,189,865.29","258,668,610.29","80,474,163.34","143,984,743.82","207,066,634.14","315,007,492.08","84,236,113.02","177,715,600.87","278,532,658.60","415,295,875.94","96,119,036.15","193,851,401.26","324,703,041.90","432,941,916.86","97,022,906.93","181,008,617.94","269,364,315.08","412,709,392.17","99,785,833.79","174,714,440.71","268,883,183.77","405,527,843.17","99,895,712.62","188,661,170.74"
取得子公司及其他营业单位支付的现金净额,,"3,458,745.56",,,,,,,,,,,,"25,564,828.36",,,,,,,,,,,,,,
收到的税费返还,,,,,60.31,,,,"15,540.08",,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,"235,000,000.00",,"40,000,000.00","40,000,000.00","237,450,000.00","105,000,000.00","178,000,000.00","288,800,000.00","232,000,000.00","162,000,000.00","188,000,000.00","231,100,000.00","200,600,000.00","133,800,000.00","345,580,000.00","363,140,000.00","413,170,000.00","179,000,000.00","179,000,000.00","430,440,000.00","40,000,000.00","180,000,000.00","281,800,000.00"
收到其他与经营活动有关的现金,"5,240,640.86","1,189,349.41","3,915,198.01","1,078,207.74","1,612,156.69","1,717,277.67","1,529,413.20","3,218,956.75","9,515,468.91","4,088,176.31","433,562.76","642,529.46","2,904,543.46","695,146.51","3,082,021.06","3,139,622.94","3,988,873.80","2,151,067.73","961,160.55","1,498,529.66","1,839,670.47","2,056,181.04","959,613.24","1,081,300.65","1,090,447.00","5,183,750.70","3,172,988.69","364,674,013.82"
投资活动现金流出小计,"162,904,361.78","38,749,944.57","35,071,477.26","36,383,239.46","37,139,233.01","304,200,730.75","10,407,622.70","65,081,597.76","90,570,923.70","301,749,051.81","123,851,667.03","200,685,517.38","332,344,680.51","316,869,065.54","175,054,489.74","218,583,972.28","276,904,534.31","266,705,188.23","134,017,819.02","355,586,773.61","380,170,709.35","480,703,082.93","179,037,680.00","187,138,348.32","443,897,739.40","63,918,559.99","187,061,489.76","292,898,372.06"
经营活动现金流入小计,"69,007,255.33","133,823,101.18","222,887,891.10","106,822,304.91","188,802,082.29","260,385,887.96","82,003,576.54","147,203,700.57","216,597,643.13","319,095,668.39","84,669,675.78","178,358,130.33","281,437,202.06","415,991,022.45","99,201,057.21","196,991,024.20","328,691,915.70","435,092,984.59","97,984,067.48","182,507,147.60","271,203,985.55","414,765,573.21","100,745,447.03","175,795,741.36","269,973,630.77","410,711,593.87","103,068,701.31","553,335,184.56"
投资活动产生的现金流量净额,"-155,322,768.75","-38,749,944.57","-35,071,477.26","-36,383,239.46","-37,139,233.01","-303,663,269.21","-10,407,622.70","173,574,783.70","188,667,013.32","-62,280,219.79","-12,495,256.40","42,344,650.76","-89,037,525.79","-67,935,705.49","-11,831,794.31","17,885,709.81","88,930,537.18","-24,829,007.31","55,743,376.46","-161,729,431.58","-173,016,879.81","-271,474,972.32","-46,889,800.29","257,119,661.28","737,028.75","362,690,550.93","-143,593,036.51","-97,229,432.89"
购买商品、接受劳务支付的现金,"25,643,019.29","49,659,111.68","90,313,582.49","49,294,478.19","116,636,881.14","115,534,632.19","40,695,550.88","62,291,260.32","92,550,490.46","155,654,225.76","33,087,612.17","96,498,369.36","148,116,106.65","214,192,427.23","57,055,302.57","104,527,508.95","175,052,817.48","214,989,415.20","56,045,385.56","104,664,265.74","156,913,566.91","180,924,250.73","59,768,604.38","186,654,317.19","228,769,086.21","234,093,929.33","69,501,489.95","112,577,700.90"
吸收投资收到的现金,,"21,000,000.00",,,"377,847,401.56","373,926,003.76",,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"2,706,220.39","4,690,804.39","7,795,246.73","6,781,356.04","10,020,295.11","13,132,690.84","4,689,305.58","9,206,003.83","13,730,731.10","18,435,070.89","5,929,638.78","10,769,829.56","16,764,580.77","22,941,666.32","9,732,120.82","13,719,635.35","24,369,264.23","32,080,185.11","8,879,492.15","16,449,536.48","23,533,100.12","30,740,301.70","8,775,111.23","16,123,876.08","24,210,184.78","34,141,848.67","10,310,840.82","21,003,233.41"
取得借款收到的现金,,"41,000,000.00","51,000,000.00",,"22,254,144.60","22,254,144.60",,,,,,,,,,,,,,,,,,,,,,
支付的各项税费,"1,200,865.53","5,721,505.36","22,510,385.19","17,217,416.89","21,158,481.72","24,368,970.43","9,373,273.44","17,269,365.78","24,045,502.86","29,252,060.10","8,987,251.15","16,420,557.89","23,781,302.58","33,698,065.32","11,960,918.75","19,495,715.61","34,438,520.80","47,387,798.32","9,707,481.85","19,782,627.81","25,936,893.47","43,800,128.40","10,616,960.50","18,475,124.16","25,286,827.75","22,067,591.83","14,081,551.33","23,050,905.50"
收到其他与筹资活动有关的现金,"159,780,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"2,656,159.67","10,448,942.59","11,915,312.63","7,255,253.60","10,865,312.54","24,489,953.90","4,877,846.22","8,801,434.52","23,803,184.10","17,350,529.45","3,287,792.73","7,922,471.92","14,097,115.88","24,579,368.47","267,464.13","12,599,810.76","15,512,489.77","19,901,317.28","3,822,261.52","10,980,822.09","16,289,369.29","29,458,159.43","3,509,509.27","8,182,617.55","11,524,377.50","11,723,943.15","338,540,855.34","371,894,096.47"
筹资活动现金流入小计,"159,780,000.00","62,000,000.00","51,000,000.00",,"400,101,546.16","396,180,148.36",,,,,,,,,,,,,,,,,,,,,,
经营活动现金流出小计,"32,206,264.88","70,520,364.02","132,534,527.04","80,548,504.72","158,680,970.51","177,526,247.36","59,635,976.12","97,568,064.45","154,129,908.52","220,691,886.20","51,292,294.83","131,611,228.73","202,759,105.88","295,411,527.34","79,015,806.27","150,342,670.67","249,373,092.28","314,358,715.91","78,454,621.08","151,877,252.12","222,672,929.79","284,922,840.26","82,670,185.38","229,435,934.98","289,790,476.24","302,027,312.98","432,434,737.44","528,525,936.28"
偿还债务支付的现金,"12,000,000.00","9,000,000.00","62,000,000.00",,"41,000,000.00","127,754,144.60",,,,,,,,,,,,,,,,,,,,,,
经营活动产生的现金流量净额,"36,800,990.45","63,302,737.16","90,353,364.06","26,273,800.19","30,121,111.78","82,859,640.60","22,367,600.42","49,635,636.12","62,467,734.61","98,403,782.19","33,377,380.95","46,746,901.60","78,678,096.18","120,579,495.11","20,185,250.94","46,648,353.53","79,318,823.42","120,734,268.68","19,529,446.40","30,629,895.48","48,531,055.76","129,842,732.95","18,075,261.65","-53,640,193.62","-19,816,845.47","108,684,280.89","-329,366,036.13","24,809,248.28"
分配股利、利润或偿还利息支付的现金,"3,749,258.75","7,115,495.33","6,541,138.28","3,366,487.08","5,441,847.14","6,541,567.84",,"3,575,700.00","11,000,700.00","11,000,700.00",,"14,080,896.00","14,080,896.00","14,080,896.00",,"18,774,528.00","18,774,528.00","18,774,528.00",,"19,008,292.89","19,008,292.89","19,009,209.60",,"13,517,656.22","13,517,656.22","13,517,656.22",,"12,672,806.40"
收回投资收到的现金,,,,,,,,,,,,,"1,819,098.90",,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"23,000,000.00","61,280,000.00",,,"2,032,110.00",,,,,,,,,,,,,,,,,,,,,,,
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,
筹资活动现金流出小计,"38,749,258.75","77,395,495.33","68,541,138.28","3,366,487.08","48,473,957.14","134,295,712.44",,"3,575,700.00","11,000,700.00","11,000,700.00",,"14,080,896.00","14,080,896.00","14,080,896.00",,"18,774,528.00","18,774,528.00","18,774,528.00",,"19,008,292.89","19,008,292.89","19,009,209.60",,"13,517,656.22","13,517,656.22","13,517,656.22",,"12,672,806.40"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,,"537,461.54",,,,"557,765.72","689,550.70","398,131.15",,"469,234.63","4,183.90","4,183.90","4,183.90","312,199.76",,,,"627,960.86",,"184,528.58","534,957.37","1,155,167.92","409,505.53","410,879.41"
筹资活动产生的现金流量净额,"121,030,741.25","-15,395,495.33","-17,541,138.28","-3,366,487.08","351,627,589.02","261,884,435.92",,"-3,575,700.00","-11,000,700.00","-11,000,700.00",,"-14,080,896.00","-14,080,896.00","-14,080,896.00",,"-18,774,528.00","-18,774,528.00","-18,774,528.00",,"-19,008,292.89","-19,008,292.89","-19,009,209.60",,"-13,517,656.22","-13,517,656.22","-13,517,656.22",,"-12,672,806.40"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,"7,581,593.03",,,,,,,"238,656,381.46","279,237,937.02","238,911,066.30","110,666,859.93","242,632,036.99","241,488,055.82","248,464,125.42","163,218,511.53","236,465,498.19","365,830,887.59","241,563,981.16","189,761,195.48","193,857,342.03","207,153,829.54","208,600,149.75","132,147,879.71","444,073,481.02","444,099,810.78","425,453,943.00","43,058,947.72","195,258,059.76"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"7,581,593.03",,,,,"537,461.54",,"238,656,381.46","279,237,937.02","239,468,832.02","111,356,410.63","243,030,168.14","243,307,154.72","248,933,360.05","163,222,695.43","236,469,682.09","365,835,071.49","241,876,180.92","189,761,195.48","193,857,342.03","207,153,829.54","209,228,110.61","132,147,879.71","444,258,009.60","444,634,768.15","426,609,110.92","43,468,453.25","195,668,939.17"
五、现金及现金等价物净增加额,"2,508,962.95","9,157,297.26","37,740,748.52","-13,475,926.35","344,609,467.79","41,080,807.31","11,959,977.72","219,634,719.82","240,134,047.93","25,122,862.40","20,882,124.55","75,010,656.36","-24,440,325.61","38,562,893.62","8,353,456.63","45,759,535.34","149,474,832.60","77,130,733.37","75,272,822.86","-150,107,828.99","-143,494,116.94","-160,641,448.97","-28,814,538.64","189,961,811.44","-32,597,472.94","457,857,175.60","-472,959,072.64","-85,092,991.01"
购建固定资产、无形资产和其他长期资产支付的现金,"162,904,361.78","35,291,199.01","35,071,477.26","36,383,239.46","37,139,233.01","69,200,730.75","10,407,622.70","25,081,597.76","50,570,923.70","64,299,051.81","18,851,667.03","22,685,517.38","43,544,680.51","59,304,237.18","13,054,489.74","30,583,972.28","45,804,534.31","66,105,188.23","217,819.02","10,006,773.61","17,030,709.35","67,533,082.93","37,680.00","8,138,348.32","13,457,739.40","23,918,559.99","7,061,489.76","11,098,372.06"
期初现金及现金等价物余额,"5,394,855.82","7,903,818.77","17,061,116.03","54,801,864.55","54,801,864.55","54,801,864.55","330,882,671.86","95,882,671.86","95,882,671.86","95,882,671.86","121,005,534.26","121,005,534.26","121,005,534.26","121,005,534.26","159,568,425.72","159,568,427.88","159,568,427.88","159,568,427.88","236,699,161.25","236,699,161.25","236,699,161.25","236,699,161.25","76,057,712.28","76,057,712.28","76,057,712.28","76,057,712.28","533,914,887.88","533,914,887.88"
投资支付的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,
期末现金及现金等价物余额,"7,903,818.77","17,061,116.03","54,801,864.55","41,325,938.20","399,411,332.34","95,882,671.86","342,842,649.58","315,517,391.68","336,016,719.79","121,005,534.26","141,887,658.81","196,016,190.62","96,565,208.65","159,568,427.88","167,921,882.35","205,327,963.22","309,043,260.48","236,699,161.25","311,971,984.11","86,591,332.26","93,205,044.31","76,057,712.28","47,243,173.64","266,019,523.72","43,460,239.34","533,914,887.88","60,955,815.24","448,821,896.87"
