科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"9,939,766.50","19,615,864.84","29,267,725.71","27,158,585.57","36,296,903.10","183,136,683.55","75,364,087.22","83,951,338.43","78,717,052.67","63,506,274.22","49,048,337.93","66,597,938.97","31,001,424.60"
短期借款,"28,601,750.35","20,696,012.00",,,,,,,,,,,"14,000,000.00"
交易性金融资产,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,
应收票据,"26,473,173.99","23,135,817.22","44,058,549.16","39,667,729.19","39,244,532.67","47,826,125.07","47,070,952.80","59,996,522.34","66,805,502.86","67,503,934.28","49,863,553.63","47,345,097.77","65,985,025.10"
应付票据,,,"25,391,150.00","8,034,040.00","11,041,180.00","10,128,440.00","7,538,600.00","8,701,100.00","10,752,336.00","19,818,196.20","29,529,444.53","30,104,710.37","27,536,682.40"
应收账款,"58,798,006.33","53,707,791.42","51,477,471.27","72,214,228.62","69,604,148.79","69,091,680.23","51,473,577.29","67,763,857.90","63,762,350.03","71,287,306.38","56,920,677.10","102,342,002.11","105,560,921.69"
应付账款,"28,615,105.25","19,287,713.61","11,480,115.17","24,778,362.29","23,792,221.83","21,786,158.69","27,380,808.22","23,089,202.69","28,097,512.81","34,573,396.39","48,791,311.61","49,960,106.91","85,927,085.69"
预付款项,"2,594,350.28","1,405,686.51","418,002.80","350,509.05","630,990.55","273,341.07","6,085,595.45","7,821,822.02","6,249,844.56","15,238,660.33","15,734,599.32","19,483,317.15","14,209,181.95"
预收款项,"848,458.68","92,582.92","813,321.04","223,414.50","652,354.58","1,333,411.86","3,016,439.72","2,542,370.04","3,547,960.19","2,443,383.32","1,481,312.26","4,275,168.10","2,649,338.54"
其他应收款,"4,923,725.76","3,856,477.86","2,491,267.76","3,998,754.53","2,886,523.29","2,221,328.23","75,419.44","314,742.85","644,548.07","306,044.06","501,472.14","512,932.27","298,127.84"
应付职工薪酬,"10,204,133.21","10,239,119.13","10,384,554.61",,"9,011,027.39","9,092,014.89","12,038,490.10","9,921,033.57","11,248,390.47","12,395,919.94","14,099,047.15","12,431,643.91","14,378,619.03"
应收关联公司款,,,,,,,,,,,,,
应交税费,"826,608.25","1,477,653.02","4,880,296.49","9,105,638.62","2,391,707.06","2,955,887.56","2,147,115.90","3,111,680.26","3,712,180.53","6,835,124.12","2,883,349.41","6,089,279.86","5,106,397.48"
应收利息,,,,,,,,,,,,,
应付利息,"67,023.02","30,382.86",,"5,463,011.28",,,,,,,,,"15,986.25"
应收股利,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,
存货,"65,953,909.08","67,919,891.87","57,266,575.46","46,692,936.92","51,397,070.63","58,451,720.60","68,789,335.70","65,879,360.33","73,354,356.08","82,151,009.62","109,274,948.06","98,738,363.87","130,716,160.21"
其他应付款,"1,694,810.22","1,032,446.69","298,821.00","1,441,316.23","1,838,539.11","1,558,221.03","1,571,702.09","1,953,232.07","1,491,688.10","2,363,583.03","2,654,682.27","18,526,711.13","18,244,204.51"
其中:消耗性生物资产,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,
其他流动资产,"2,148,768.75","235,198.55",,,"61,137.06","572,424.65","124,536,490.67","90,392,085.55","80,868,655.72","71,764,386.03","67,409,410.17","36,017,243.05","49,985,253.60"
其他流动负债,"417,200.64","412,200.64","416,054.00","411,477.73","411,477.73","384,492.89","357,828.48","331,164.07","415,333.87","415,333.87","299,075.32","295,916.70","292,758.08"
流动资产合计,"170,831,700.69","169,876,728.27","184,979,592.16","190,082,743.88","200,121,306.09","361,573,303.40","373,395,458.57","376,119,729.42","370,402,309.99","371,757,614.92","348,752,998.35","371,036,895.19","397,756,094.99"
流动负债合计,"71,275,089.62","53,268,110.87","53,664,312.31","49,457,260.65","49,138,507.70","47,238,626.92","54,050,984.51","49,649,782.70","59,265,401.97","78,844,936.87","99,738,222.55","121,683,536.98","168,151,071.98"
可供出售金融资产,,,,,,,,,,,,,
长期借款,,,,,,,,,,,,,"8,820,000.00"
持有至到期投资,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,
固定资产,"87,219,351.56","92,141,094.50","88,464,806.53","86,459,622.25","86,527,290.79","84,833,827.08","83,431,109.50","84,920,135.77","84,613,536.71","83,784,234.56","82,279,309.30","80,494,233.52","116,815,538.72"
递延所得税负债,"8,250.00","12,750.00","17,250.00","18,375.00","19,500.00","20,625.00","21,750.00","22,875.00","24,000.00","25,125.00","26,250.00","27,375.00","28,500.00"
在建工程,"7,685,147.60","1,731,594.36","970,396.47","1,535,006.54","554,626.94","1,902,942.65","4,705,292.76","5,125,879.60","7,274,443.50","14,557,204.22","84,176,407.73","110,553,116.91","114,589,878.69"
其他非流动负债,,,,,,,,,,,,,
工程物资,"106,957.30","62,615.02","73,399.83","94,882.36","91,841.18","180,187.37","605,333.90","1,321,419.71","358,592.77","1,664,465.00","5,128,625.99","3,669,216.20","2,996,964.88"
非流动负债合计,"6,955,517.02","6,547,816.38","6,320,183.62","6,218,815.04","6,115,943.05","6,041,559.31","5,966,855.14","5,990,900.97","5,914,946.80","6,288,975.44","6,279,279.82","6,576,484.27","16,689,605.39"
固定资产清理,,,,,,,,,,,,,
