科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,"-5,391,426.07","109,023,977.55","100,023,977.55","100,023,977.55","100,329,700.00",,,,,,,,,,,,,,,,,,,,"-136,107.14",,,,,,,
四、汇率变动对现金的影响,"-282,750.57","-969,049.76","-1,520,464.74","-559,291.19","500,005.63","-72,416.82","-107,941.65","-445,088.78",,,,"-30,245.58",15.98,"1,104.91","1,104.85","1,111.33",,,,-495.14,,,,,,,,,,,,,,-105.22,-105.22,,,,,,,,
收到其他与投资活动有关的现金,,,,"1,552,711.46",,206.91,,"149,652,626.98",,,,"100,097,301.35",,,,,"40,000,000.00",,"5,287.78",,,,,,,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"1,600.00","31,859,600.00","31,859,600.00","90,625,640.99",,"3,033.50","2,826.59","218,228,903.07","7,600,000.00","8,330,000.00","8,330,000.00","103,368,091.93","109,023,977.55","100,027,977.55","100,027,977.55","100,333,700.00","40,000,000.00",,"5,287.78",,,"29,000.00",,"29,000.00",,,,,,"84,203.00","96,203.00","710,468.31",,,,"-135,707.14",,,,,,,
五、现金及现金等价物净增加额,"15,716,551.54","11,678,463.96","15,657,698.63","-126,928,035.37","7,825,095.62","-8,832,366.22","-32,852,737.11","-34,833,186.76","6,117,458.03","6,830,152.47","-2,929,578.83","-3,292,971.40","-5,444,717.83","-5,923,594.53","-4,316,091.07","213,936,419.96","-52,940,570.08","-53,929,824.95","-52,097,678.83","-152,298,141.27","16,248,560.04","-51,594,174.03","-51,976,227.49","-46,929,726.62","-1,700,214.94","46,823,352.13","44,684,038.51","-17,056,524.07","-22,121.13","-19,799.76","384,700.84","-8,820.94","-69,496.96","-34,797.93","-37,097.93","110,642,852.93","511,931,545.13","248,558,547.78","242,604,918.69","238,406,873.06","-20,233,376.06","-358,327,711.79","-370,534,114.82"
购建固定资产、无形资产和其他长期资产支付的现金,"684,432.98","1,400,459.26","2,311,276.07","23,275,463.07","911,863.78","1,837,271.88","1,762,788.48","23,369,561.25","43,822.53","182,790.54","318,456.79","570,065.86","111,094.68","178,725.37","801,994.89","1,594,126.79","434,485.62","644,323.14","899,256.90","101,863,458.50","2,793,555.00",,"139,826.96","139,826.96","7,520.52","7,520.52","20,820.52","20,820.52","11,332.49","79,459.33","106,217.11","180,892.33","120,478.64","131,649.10","131,649.10","48,835.00","7,100.00","10,500.00","227,890.00","238,937.22",,,
期初现金及现金等价物余额,,,,"167,232,504.54",,,,"40,304,469.17",,"8,800,007.11","8,714,072.80","5,471,282.41","7,109,421.46","6,991,570.91","6,976,611.72","2,178,311.01","216,114,730.97","216,114,730.97","216,634,722.37","216,114,730.97","63,816,589.70","63,816,589.70","63,816,589.70","63,816,589.70","16,886,863.08","16,886,863.08","16,886,863.08","17,168,063.91","111,539.84","111,539.84","111,539.84","111,539.84","147,517.00","102,718.90","102,718.90","102,718.90","90,745,571.83","110,745,571.83","110,745,571.83","110,745,571.83","371,542,276.46","371,542,276.46","371,542,276.46"
投资支付的现金,,,,"150,109,400.00","600,000.00",,,"66,600,000.00",,,,,,,,,"40,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,
期末现金及现金等价物余额,"15,716,551.54","11,678,463.96","15,657,698.63","40,304,469.17",,,"-32,852,737.11","5,471,282.41",,"15,630,159.58","5,784,493.97","2,178,311.01","1,664,703.63","1,067,976.38","2,660,520.65","216,114,730.97","163,174,160.89","162,184,906.02","164,537,043.54","63,816,589.70","80,065,149.74","12,222,415.67","11,840,362.21","16,886,863.08","15,186,648.14","63,710,215.21","61,570,901.59","111,539.84","89,418.71","91,740.08","496,240.68","102,718.90","78,020.04","67,920.97","65,620.97","110,745,571.83","602,677,116.96","359,304,119.61","353,350,490.52","349,152,444.89","351,308,900.40","13,214,564.67","1,008,161.64"
