科目,2013年度,2014年度,2015年度,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"387,957,615.02","575,948,842.56","697,837,341.94","344,065,579.56","504,810,791.84","159,631,928.94","314,946,970.21","415,199,481.45","647,698,485.93","122,825,929.94","290,478,418.32","494,689,915.85","866,964,901.83","315,810,371.42"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"-46,126.03",,,,,
收到的税费返还,"12,920,907.13","23,735,123.69","20,119,194.82","6,599,983.99","9,987,940.63","4,483,413.01","9,502,477.22","12,734,076.81","13,246,320.53","4,711,410.13","19,596,589.14","24,113,467.41","46,146,311.51","17,576,750.51"
支付其他与投资活动有关的现金,,,"16,906,210.07","31,237,844.67","228,124,465.06","80,000,000.00","193,600,000.00","260,350,000.00","771,840,000.00","243,250,000.00","451,250,000.00","676,047,040.75","804,690,000.00","2,750,943.05"
收到其他与经营活动有关的现金,"22,231,466.25","9,974,314.61","38,706,076.95","3,544,173.92","25,332,167.49","51,290,102.02","77,096,318.71","17,608,978.99","18,802,825.17","37,776,868.23","27,587,158.93","104,109,017.93","18,836,944.14","31,980,931.03"
投资活动现金流出小计,"20,354,812.72","19,688,202.69","34,611,736.67","35,227,029.46","233,181,264.45","127,335,162.55","287,497,051.51","513,169,713.67","1,178,919,519.99","259,857,867.29","588,012,897.10","808,846,910.04","1,020,137,956.63","12,526,296.33"
经营活动现金流入小计,"423,109,988.40","609,658,280.86","756,662,613.71","354,209,737.47","540,130,899.96","215,405,443.97","401,545,766.14","445,542,537.25","679,747,631.63","165,314,208.30","337,662,166.39","622,912,401.19","931,948,157.48","365,368,052.96"
投资活动产生的现金流量净额,"-17,933,022.97","-17,910,163.99","-2,387,941.76","2,365,079.88","14,172,727.61","-73,655,055.70","-95,876,018.21","-258,696,709.57","-552,106,665.61","124,756,107.31","11,746,681.22","-171,849.00","-76,815,360.53","4,553,626.95"
购买商品、接受劳务支付的现金,"267,078,397.29","386,153,009.83","574,911,513.79","294,658,880.74","495,876,486.44","167,329,309.40","394,025,506.90","405,407,354.91","622,156,581.76","168,469,457.90","247,297,669.26","407,245,635.48","602,108,127.50","261,914,847.06"
吸收投资收到的现金,,"2,500,000.00","25,578,000.00",,,"359,266,500.00","382,516,500.00","382,516,500.00","360,516,500.00",,,,,"15,963,750.00"
支付给职工以及为职工支付的现金,"45,183,389.61","67,635,213.16","76,101,842.65","47,089,043.10","63,628,333.97","17,274,530.52","31,239,048.01","48,612,476.58","73,928,488.64","18,705,326.29","36,081,684.91","55,228,956.50","96,563,849.86","26,598,037.67"
取得借款收到的现金,,,"13,000,000.00","55,000,000.00","65,000,000.00","50,000,000.00","106,390,000.00","211,290,000.00","399,000,000.00","91,000,000.00","361,459,813.91","419,585,996.80","576,886,377.60","91,392,583.06"
支付的各项税费,"21,334,603.88","41,899,097.55","46,519,715.12","29,439,939.76","35,599,955.79","8,648,774.49","25,137,150.40","44,737,158.14","33,687,973.08","5,588,256.99","15,202,061.62","27,892,921.44","7,219,143.79","14,771,505.62"
收到其他与筹资活动有关的现金,,,"30,135,000.00","17,444,444.44","19,500,000.00",,,"8,251,273.83","258,592,885.45","2,500,000.00",,,"77,217,832.04","22,000,000.00"
支付其他与经营活动有关的现金,"78,670,438.23","113,809,227.23","58,057,994.91","61,403,300.68","94,329,179.30","85,697,306.64","162,007,827.96","128,382,421.65","95,157,796.29","28,468,098.52","104,856,859.74","192,675,142.21","156,446,019.05","44,643,245.49"
筹资活动现金流入小计,,"2,500,000.00","68,713,000.00","72,444,444.44","84,500,000.00","409,266,500.00","488,906,500.00","602,057,773.83","1,018,109,385.45","93,500,000.00","361,459,813.91","419,585,996.80","654,104,209.64","129,356,333.06"
经营活动现金流出小计,"412,266,829.01","609,496,547.77","755,591,066.47","432,591,164.28","689,433,955.50","278,963,116.82","612,409,533.27","627,139,411.28","824,930,839.77","221,231,139.70","403,438,275.53","683,042,655.63","862,337,140.20","347,927,635.84"
偿还债务支付的现金,,,,"13,000,000.00","23,000,000.00","35,203,106.90","56,912,667.98","72,817,734.13","135,390,000.00","125,552,367.03","209,998,302.66","281,394,357.43","477,406,777.60","83,241,975.00"
经营活动产生的现金流量净额,"10,843,159.39","161,733.09","1,071,547.24","-78,381,426.81","-149,303,055.54","-63,557,672.85","-210,863,767.13","-181,596,874.03","-145,183,208.14","-55,916,931.40","-65,776,109.14","-60,130,254.44","69,611,017.28","17,440,417.12"
分配股利、利润或偿还利息支付的现金,"6,156,338.61","6,794,976.00","7,359,498.90","1,835,967.68","1,852,568.62","1,325,113.92","12,944,593.38","13,874,184.17","20,716,538.40","6,710,193.16","13,221,266.58","30,710,208.18","43,911,587.42","9,301,582.83"
收回投资收到的现金,,,,,,,,,"3,630,100.00",,,,"4,372,300.00",
支付其他与筹资活动有关的现金,,,,"10,359,154.25","27,244,442.63","1,000,000.00","31,089,633.14","35,992,039.13","80,923,615.96","5,853,130.96","18,635,666.33","74,586,265.93","108,298,812.45","28,651,897.90"
取得投资收益收到的现金,,,,,,,,,,,,,"71,803.66",
筹资活动现金流出小计,"6,156,338.61","6,794,976.00","7,359,498.90","25,195,121.93","52,097,011.25","37,528,220.82","100,946,894.50","122,683,957.43","237,030,154.36","138,115,691.15","241,855,235.57","386,690,831.54","629,617,177.47","121,195,455.73"
处置固定资产、无形资产和其他长期资产收回的现金净额,"222,629.95","77,134.17",,"126,538.38","2,200.00",,"78,000.00","78,400.00","83,166.56","44,200.00","44,200.00","44,200.00","55,200.00",
筹资活动产生的现金流量净额,"-6,156,338.61","-4,294,976.00","61,353,501.10","47,249,322.51","32,402,988.75","371,738,279.18","387,959,605.50","479,373,816.40","781,079,231.09","-44,615,691.15","119,604,578.34","32,895,165.26","24,487,032.17","8,160,877.33"
处置子公司及其他营业单位收到的现金净额,,,"16,907,699.99","37,270,941.63","47,325,612.56","3,630,100.00","3,630,100.00","3,630,100.00",,,,,,
四、汇率变动对现金的影响,"-8,891,562.89","-2,072,565.49","566,713.12","1,084,663.23","1,795,698.98","1,204,798.59","-11,115.89","-647,195.98","-1,780,109.26","689,654.18","1,063,091.87","4,356,125.06","3,418,985.20","-1,428,115.65"
收到其他与投资活动有关的现金,"2,199,159.80","1,700,904.53","15,316,094.92","194,629.33","200,026,179.50","50,050,006.85","187,912,933.30","250,764,504.10","623,099,587.82","384,569,774.60","599,715,378.32","808,630,861.04","938,823,292.44","17,079,923.28"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,
