科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
其他应收款,"33,772,802.90","33,075,730.04","37,880,928.98","26,642,020.78","28,288,580.93","24,513,579.90","27,536,445.77","17,214,953.78",,"21,206,384.39","21,578,491.83","26,884,556.67","25,795,260.90","25,565,808.39","30,519,958.99","23,109,410.31","22,891,987.00","27,591,242.69","81,703,884.90","30,415,585.58","35,325,738.02","66,663,060.17","58,441,868.60","58,615,964.39","55,067,816.48","85,076,998.61","70,228,963.39","83,581,772.57","80,504,084.28","114,746,702.88","88,542,733.51","126,749,342.40","107,045,481.88","85,743,218.79","93,985,095.56","109,158,570.32","81,956,891.51","102,152,079.02","92,645,536.88","105,485,991.63","99,030,013.27","95,539,505.86","80,521,632.58","77,822,667.19","54,291,433.52","85,961,004.92"
应付职工薪酬,"12,925,420.16","10,947,290.89","9,229,654.54","2,537,845.38","3,136,812.42","4,225,177.08","4,368,371.52","3,481,376.65","4,399,819.54","6,055,219.72","6,809,820.03","6,677,428.75","7,633,215.81","8,854,039.09","8,692,799.58","8,844,064.42","9,975,901.78","11,323,641.99","12,944,046.66","12,958,278.55","14,487,022.67","14,578,606.76","16,328,995.01","17,771,444.01","19,157,331.03","21,757,454.72","21,620,822.79","24,723,165.13","28,878,535.94","31,745,358.83","35,313,371.80","36,271,612.19","38,710,389.21","47,433,427.76","47,569,118.70","52,527,937.11","56,152,140.06","59,001,022.32","63,064,951.07","69,200,247.31","74,447,361.84","79,467,208.48","78,203,192.78","90,720,744.72","96,847,410.98","121,755,809.46"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"-595,157.62","1,013,534.14","-187,363.16","-256,077.86","-1,731,952.63","-1,614,885.35","-2,626,606.01","-3,716,026.78","-5,020,163.39","-394,932.77","-4,435,715.59","472,248.12","-6,799,983.72","-6,119,289.43","-10,352,113.98","-18,685,349.65","-5,352,509.10","245,104.57","-1,989,089.83","588,905.54","-19,011,715.88","-6,813,647.87","-21,742,616.87","-37,344,737.45","-53,793,130.11","-51,710,110.48","-112,461,367.84","-85,589,270.04","-119,149,474.08","-45,602,012.71","-82,615,404.77","64,070,345.34","56,775,967.09","70,572,480.38","33,074,224.67","74,610,111.09","89,888,771.64","97,348,741.75","104,893,875.67","81,771,378.09","88,778,162.54","77,296,791.11","121,436,687.82","57,729,274.61","102,615,923.53","195,059,317.06"
应收利息,,,,"1,231,435.14","1,231,435.14","8,899,370.28","6,069,745.28","1,326,150.00","1,817,400.00",,,,,,,,,,,"671,666.67","314,200.00","104,900.00","30,400.00","92,400.00",,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,,,,,,,,,"949,016.63",,"1,550,555.56","2,213,428.34","5,996,477.88","12,565,184.95","5,188,605.61","6,251,933.46","366,425.39","2,568,918.06","1,246,188.96","306,979.17","108,055.56","939,465.44","9,743,520.13","3,447,625.00","10,290,526.97","3,186,375.00","4,275,868.44","641,150.91","4,263,227.78","18,328,401.95","7,068,156.89"
应收股利,,,,,,,,,"18,568,146.90",,,,,,,,,,,,,,,,"6,240,000.00",,,,"6,912,000.00",,,,,,,,,,,,,"1,423,058.70","1,423,058.70",,,
应付股利,,,,,,,,,,,,,,,,,,,,,,,,,,"33,641,073.03","33,486,920.85","34,491,290.55",,,,,,,,,,,,,,,,,,
存货,"220,850,676.04","236,934,837.28","255,972,499.88","239,316,850.65","230,817,291.18","289,503,226.34","314,157,630.22","287,223,680.08","272,375,681.21","229,564,963.35","239,962,592.00","187,119,570.60","183,931,054.93","184,060,060.83","227,972,215.14","337,547,367.42","287,448,764.83","228,160,591.79","213,877,891.50","256,892,305.28","291,578,998.76","335,356,333.83","457,609,645.76","496,924,748.29","675,632,580.56","836,399,815.85","1,053,651,511.37","1,088,557,896.17","1,545,925,383.42","1,428,381,749.19","1,785,931,176.33","1,875,086,163.33","2,965,007,406.28","2,119,807,738.29","2,143,214,058.47","2,268,606,205.04","2,312,341,818.52","2,333,547,434.57","2,282,596,142.23","2,757,309,192.19","2,720,777,446.58","3,012,755,194.42","3,556,751,150.11","4,987,139,638.18","6,702,299,301.42","7,991,110,054.81"
其他应付款,"7,989,112.80","17,527,801.59","19,571,328.21","18,827,462.88","16,798,986.96","18,600,123.89","22,443,736.62","17,912,417.33","19,224,456.21","17,130,906.53","16,802,115.91","14,397,394.48","8,439,639.27","12,402,735.20","14,769,622.75","116,196,930.55","18,963,510.55","18,261,143.92","15,619,239.29","17,438,633.06","18,067,348.37","13,329,206.57","14,656,287.38","31,732,402.28","15,768,422.48","277,391,741.96","101,188,661.30","51,552,597.85","64,168,258.41","28,246,296.06","31,948,782.23","52,761,789.10","44,635,952.10","48,227,995.64","46,529,279.82","75,419,112.57","63,212,219.94","61,823,326.92","51,701,060.76","89,065,154.98","57,361,446.28","54,441,544.61","107,115,020.48","167,590,845.01","292,633,437.03","284,748,572.28"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"531,641,981.58","664,524,646.78",,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,,"4,428,000.00",,,"4,428,000.00",,,,,,,,,,,,,,,,,,,,,,"30,000,000.00","200,000,000.00",,,,"618,754,060.30","917,261,034.68","430,097,290.44","420,412,139.33","886,900,935.48","1,189,983,098.59","1,034,526,587.90","830,206,640.63","937,734,553.27","751,444,314.78","730,281,697.81","3,183,887,048.96","4,155,587,808.76","1,836,753,379.19","3,975,655,469.70"
其他流动负债,,,,,,,,"2,500,000.00","2,000,000.00","1,500,000.00","1,000,000.00","500,000.00",,"4,050,000.00","3,275,000.00","31,640,476.29","31,015,476.29","30,212,246.10","33,757,246.10","17,158,317.86","23,434,525.72","12,040,111.37","4,960,700.00","38,500,900.00","30,001,000.00","19,625,000.00","11,375,000.00","3,375,676.35","2,250,676.35","1,125,000.00",,,,,,,,,,,,,,,,
流动资产合计,"730,498,428.78","867,026,660.61","934,343,614.71","923,558,458.22","885,617,807.73","931,030,491.41","877,214,399.60","802,305,260.95","676,242,808.63","627,961,001.02","649,518,661.55","523,609,648.70","498,769,042.75","636,598,274.78","689,102,689.27","758,874,688.99","685,455,324.70","726,758,475.77","914,395,779.40","784,054,820.85","753,005,004.76","885,838,786.75","1,085,732,318.80","1,259,863,564.66","1,396,247,225.76","1,808,748,794.93","2,105,747,863.59","2,417,180,961.63","3,976,187,787.86","4,115,182,360.39","4,563,392,481.93","4,832,494,772.19","5,990,316,897.19","5,081,188,664.06","5,841,117,659.35","6,361,799,301.17","6,942,906,997.22","6,959,377,798.96","6,443,236,749.35","7,275,771,894.54","7,460,676,957.74","8,846,105,789.95","13,607,633,806.00","15,876,466,238.72","16,956,626,687.06","22,601,632,631.75"
流动负债合计,"298,377,305.70","423,765,466.82","485,166,606.59","473,587,790.30","426,879,127.97","521,899,487.05","471,238,358.87","380,820,011.52","252,346,414.64","202,175,402.43","223,223,017.83","147,221,884.37","123,744,401.07","163,113,254.83","209,748,569.82","591,217,990.82","452,040,771.73","503,655,017.99","648,028,454.60","601,699,717.67","568,683,138.00","685,173,510.85","867,210,686.41","961,925,316.62","933,031,919.27","1,649,739,858.39","1,897,106,066.15","2,162,844,815.07","2,686,822,560.84","2,863,676,790.62","3,318,655,624.16","3,608,102,270.34","4,706,610,447.74","3,742,528,641.79","4,487,874,770.03","4,927,851,439.38","4,427,533,265.99","4,093,866,079.74","3,515,941,539.10","4,805,792,856.92","4,989,813,242.12","6,387,927,148.52","8,031,613,619.73","10,168,350,159.91","11,358,016,738.71","16,432,847,470.52"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31,456,666.54","31,456,666.54","31,456,666.54","31,456,666.54","31,456,666.54","31,456,666.54","31,456,666.54","31,456,666.54","31,456,666.54","31,456,666.54","31,456,666.54","31,456,666.54","31,456,666.54","31,456,666.54","31,456,666.54","31,456,666.54"
长期借款,,,,,,,,,,,,,,,,,,,,,,,,"47,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","153,000,000.00","93,000,000.00","1,000,000.00",,,,,,"300,000,000.00","300,000,000.00","300,000,000.00","300,000,000.00","300,000,000.00","400,000,000.00","400,000,000.00","400,000,000.00","400,000,000.00"
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,"371,283,352.60","369,357,457.64","372,298,350.48","360,996,098.26","357,669,451.34","417,509,232.07","418,477,684.64","415,974,208.42","417,228,279.54","416,941,535.17","419,712,409.78","424,171,281.13","419,469,309.13","332,414,007.23","365,893,003.96","387,252,089.88","388,883,196.91","396,845,886.19","366,149,544.70","463,122,199.56","468,139,242.88","466,646,582.90","470,128,304.76","472,305,177.67","467,040,716.21","397,966,647.83","402,252,230.45","408,134,166.03","392,713,736.31","390,610,345.30","345,576,763.04","384,232,749.32","376,891,151.94","357,344,989.80","362,108,707.38","364,193,969.14","349,473,620.87","330,740,352.87","329,678,148.84","331,829,001.03","319,658,498.90","317,131,681.28","312,615,043.37","322,238,879.70","322,377,276.60","318,312,563.06"
专项应付款,"42,945,455.97","43,110,000.00","43,410,000.00","39,810,000.00","39,810,000.00","39,810,000.00","39,810,000.00","39,810,000.00","39,810,000.00","39,810,000.00","39,810,000.00","17,715,000.00","17,715,000.00","17,715,000.00","17,715,000.00","4,995,000.00","4,904,091.00","4,904,091.00","4,904,091.00","9,904,091.00","4,813,182.00","14,813,182.00","14,813,182.00","11,462,273.00","11,462,273.00","11,462,273.00","11,462,273.00","11,371,373.00","11,371,373.00","11,280,464.00","11,280,464.00","1,280,464.00","1,280,464.00","1,280,464.00","1,281,140.35","1,189,555.00","1,189,555.00","1,189,555.00","1,098,646.00","1,098,646.00","1,098,646.00","1,007,737.00","1,007,737.00","1,007,737.00","1,007,737.00","916,828.00"
