科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"89,352,674.78","85,438,468.65","81,713,083.77","87,575,108.84","86,818,296.71","62,196,876.69","201,969,547.22","105,656,288.08","161,813,361.53","169,493,495.33","176,013,223.98","113,148,932.34"
短期借款,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,"10,000,000.00",
交易性金融负债,,,,,,,,,,,,
应收票据,,,,,,,,,,,,
应付票据,,,,,,,,,,,,
应收账款,"39,486,602.41","57,142,023.75","60,914,339.61","71,056,601.26","75,143,954.08","68,321,512.91","72,551,155.69","82,469,865.47","90,910,150.36","81,041,699.38","75,640,203.84","72,059,284.54"
应付账款,"9,662,270.69","21,869,387.57","21,970,661.70","25,115,594.26","16,477,953.78","18,446,256.46","13,546,996.15","23,366,285.83","14,883,217.21","12,066,120.67","8,909,113.94","14,390,252.10"
预付款项,"1,577,664.94","1,087,304.05","951,503.07","1,022,666.16","1,929,353.13","2,278,454.81","3,503,604.14","4,981,418.90","3,516,005.70","5,430,489.18","3,706,393.56","1,614,545.88"
预收款项,"309,764.00","659,494.09","2,020,566.63","2,717,857.91","4,326,990.86","5,820,142.50","5,820,142.50","7,001,891.75","7,477,702.52","7,261,577.34","7,261,577.34","5,379,971.16"
其他应收款,"4,078,343.73","4,177,293.41","4,562,405.91","5,330,747.26","6,364,896.78","5,471,609.78","6,632,882.33","6,294,172.13","6,447,356.53","5,850,927.46","6,815,044.69","6,238,799.28"
应付职工薪酬,"3,451,150.53","3,547,063.64","4,879,544.35","3,235,483.56","3,398,359.11","4,942,427.46","5,718,188.37","3,542,033.37","4,996,382.39","4,273,784.02","5,305,669.59","2,691,537.77"
应收关联公司款,,,,,,,,,,,,
应交税费,"3,879,664.52","8,319,650.94","3,841,767.31","4,655,151.23","3,041,313.27","3,189,979.59","620,817.16","3,977,428.37","6,034,273.41","4,711,992.45","4,209,533.03","2,744,521.12"
应收利息,,,,,,,,,,,,
应付利息,,,,,,,,,,,,
应收股利,,,,,,,,,,,,
应付股利,"20,000,000.00",,,,"40,000,000.00",,,,,,,
存货,,,,"31,047.00","139,035.89","484,985.66","623,993.44","385,410.39","715,674.93","783,922.32","1,990,280.71","3,304,778.00"
其他应付款,"2,163,836.87","2,394,087.93","3,191,936.91","1,575,368.94","3,076,608.63","3,545,645.85","2,602,621.77","1,973,425.96","3,055,853.63","36,723,263.60","38,075,596.82","32,804,470.02"
其中:消耗性生物资产,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,
