科目,2012年度,2013年度,2014年度,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"496,913,736.51","468,443,969.00","144,321,740.80","231,526,091.20","291,714,900.42","27,392,348.56","86,179,990.83","136,360,815.37","357,294,306.97","13,335,117.66","39,961,125.36","177,220,678.46","215,495,312.38","299,553,964.86","450,862,269.52"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,"80,994,651.04","84,794,651.04",,"10,000,000.00"
收到的税费返还,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,"21,000,000.00"
收到其他与经营活动有关的现金,"13,178,324.39","24,844,012.31","13,442,657.18","32,163,557.62","36,408,364.39","16,183,568.03","26,925,048.87","31,902,386.76","44,109,931.02","3,602,099.25","6,064,394.41","6,889,044.06","20,220,990.07","12,975,948.84","21,051,215.97"
投资活动现金流出小计,"41,539,413.84","11,137,857.85","1,384,764.00","1,041,795.50","1,122,805.50","505,224.50","80,868,590.50","112,784,528.11","112,935,728.11","110,776,932.50","42,479,512.00","164,377,839.04","208,458,277.53","1,145,448.99","97,968,410.17"
经营活动现金流入小计,"510,092,060.90","493,287,981.31","157,764,397.98","263,689,648.82","328,123,264.81","43,575,916.59","113,105,039.70","168,263,202.13","401,404,237.99","16,937,216.91","46,025,519.77","184,109,722.52","235,716,302.45","312,529,913.70","471,913,485.49"
投资活动产生的现金流量净额,"-41,439,413.84","-11,015,937.85","-1,264,764.00","-767,135.50","-847,708.00","-485,104.50","-80,848,470.50","-92,674,408.11","-91,942,209.21","179,804,299.80","68,281,992.52","-33,176,334.52","-36,838,554.12","-1,145,448.99","-97,968,410.17"
购买商品、接受劳务支付的现金,"276,180,176.38","266,204,325.05","259,389,209.86","97,296,761.45","125,927,374.90","52,550,130.87","146,008,821.96","187,740,039.40","296,083,662.46","110,450,806.34","135,561,687.82","270,623,434.17","300,416,977.01","62,640,553.45","108,804,136.56"
吸收投资收到的现金,,,,,,,"317,480,000.00","317,480,000.00","317,480,000.00","70,000,000.00",,,,,
支付给职工以及为职工支付的现金,"81,026,381.82","104,065,110.40","99,274,739.94","69,734,184.00","90,850,808.02","29,082,760.79","49,578,346.18","69,177,438.78","89,903,041.93","33,624,825.49","55,251,436.57","75,365,723.37","98,312,576.72","42,546,748.66","67,797,442.68"
取得借款收到的现金,"92,000,000.00","170,000,000.00","344,000,000.00","210,000,000.00","230,000,000.00","70,000,000.00","120,000,000.00","120,000,000.00","170,000,000.00","70,000,000.00","220,000,000.00","358,000,000.00","408,000,000.00","236,400,000.00","456,400,000.00"
支付的各项税费,"50,636,660.01","36,173,302.93","41,819,868.53","34,495,640.00","35,994,402.87","14,926,599.42","18,804,314.73","22,810,885.67","37,431,671.96","25,338,768.94","33,794,654.20","46,713,445.90","71,107,858.06","15,590,777.93","27,279,127.63"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,"16,000,000.00",,
支付其他与经营活动有关的现金,"34,936,241.99","36,638,978.24","27,398,997.87","40,163,041.12","37,610,946.22","4,822,153.70","16,659,752.96","28,260,070.55","35,370,949.73","8,332,799.88","12,411,686.38","19,196,861.15","46,995,654.17","18,003,490.88","36,867,471.63"
筹资活动现金流入小计,"92,000,000.00","170,000,000.00","344,000,000.00","210,000,000.00","230,000,000.00","70,000,000.00","437,480,000.00","437,480,000.00","487,480,000.00","140,000,000.00","220,000,000.00","358,000,000.00","424,000,000.00","236,400,000.00","456,400,000.00"
经营活动现金流出小计,"442,779,460.20","443,081,716.62","427,882,816.20","241,689,626.57","290,383,532.01","101,381,644.78","231,051,235.83","307,988,434.40","458,789,326.08","177,747,200.65","237,019,464.97","411,899,464.59","516,833,065.96","138,781,570.92","240,748,178.50"
偿还债务支付的现金,"12,400,000.00","131,600,000.00","170,500,000.00","244,000,000.00","244,000,000.00",,"80,000,000.00","90,000,000.00","149,750,000.00","200,000,000.00","99,750,000.00","149,750,000.00","149,750,000.00","282,036,486.69","432,036,486.69"
经营活动产生的现金流量净额,"67,312,600.70","50,206,264.69","-270,118,418.22","22,000,022.25","37,739,732.80","-57,805,728.19","-117,946,196.13","-139,725,232.27","-57,385,088.09","-160,809,983.74","-190,993,945.20","-227,789,742.07","-281,116,763.51","173,748,342.78","231,165,306.99"
分配股利、利润或偿还利息支付的现金,"36,369,707.04","27,604,092.01","35,570,385.38","17,641,319.42","22,636,415.92","6,039,652.74","12,645,783.93","18,288,354.74","24,278,042.23","5,365,895.81","36,755,090.25","44,430,429.55","52,257,537.22","7,934,097.77","19,326,164.17"
收回投资收到的现金,,,,,,,,"20,000,000.00","20,000,000.00","90,000,000.00","110,000,000.00","130,000,000.00","170,000,000.00",,
支付其他与筹资活动有关的现金,,,,,,,"1,740,000.00","22,670,000.00","22,670,000.00",,,,,,
取得投资收益收到的现金,"100,000.00","120,000.00","120,000.00","100,000.00","100,000.00",,,"90,000.00","972,958.90","569,232.30","748,704.52","1,188,704.52","1,599,093.41",,
筹资活动现金流出小计,"48,769,707.04","159,204,092.01","206,070,385.38","261,641,319.42","266,636,415.92","6,039,652.74","94,385,783.93","130,958,354.74","196,698,042.23","205,365,895.81","136,505,090.25","194,180,429.55","202,007,537.22","289,970,584.46","451,362,650.86"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"1,920.00",,"174,660.00","175,097.50","20,120.00","20,120.00","20,120.00","20,560.00","12,000.00","12,800.00","12,800.00","20,630.00",,
筹资活动产生的现金流量净额,"43,230,292.96","10,795,907.99","137,929,614.62","-51,641,319.42","-36,636,415.92","63,960,347.26","343,094,216.07","306,521,645.26","290,781,957.77","-65,365,895.81","83,494,909.75","163,819,570.45","221,992,462.78","-53,570,584.46","5,037,349.14"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,"-3,563.28",-541.95,"3,386.58"
收到其他与投资活动有关的现金,,,,,,,,,,"200,000,000.00",,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,
投资活动现金流入小计,"100,000.00","121,920.00","120,000.00","274,660.00","275,097.50","20,120.00","20,120.00","20,110,120.00","20,993,518.90","290,581,232.30","110,761,504.52","131,201,504.52","171,619,723.41",,
五、现金及现金等价物净增加额,"69,103,479.82","49,986,234.83","-133,453,567.60","-30,408,432.67","255,608.88","5,669,514.57","144,299,549.44","74,122,004.88","141,454,660.47","-46,371,579.75","-39,217,042.93","-97,146,506.14","-95,966,418.13","119,031,767.38","138,237,632.54"
购建固定资产、无形资产和其他长期资产支付的现金,"41,539,413.84","11,137,857.85","1,384,764.00","1,041,795.50","1,122,805.50","505,224.50","868,590.50","2,784,528.11","2,935,728.11","776,932.50","2,479,512.00","3,383,188.00","43,663,626.49","1,145,448.99","66,968,410.17"
期初现金及现金等价物余额,"67,410,545.51","136,514,025.33","186,500,260.16","53,046,692.56","53,046,692.56","60,065,083.79","53,302,301.44","53,302,301.44","53,302,301.44","236,654,124.67","194,756,961.91","236,654,124.67","194,756,961.91","98,790,543.78","98,790,543.78"
投资支付的现金,,,,,,,"80,000,000.00","110,000,000.00","110,000,000.00","110,000,000.00","40,000,000.00","80,000,000.00","80,000,000.00",,
期末现金及现金等价物余额,"136,514,025.33","186,500,260.16","53,046,692.56","22,638,259.89","53,302,301.44","65,734,598.36","197,601,850.88","127,424,306.32","194,756,961.91","190,282,544.92","155,539,918.98","139,507,618.53","98,790,543.78","217,822,311.16","237,028,176.32"
