科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"504,429,273.74","743,628,443.65","936,232,539.76","258,208,201.89","497,603,142.96","771,088,029.97","1,090,678,671.65","267,182,299.49","582,389,906.69","917,705,292.52","1,335,337,365.77","357,291,813.75","743,324,960.53","1,170,655,435.48","1,518,004,858.82","437,007,759.11","866,913,420.46","1,300,746,188.10","2,064,902,237.81","568,163,287.58","1,095,820,711.63","1,666,519,974.78","2,662,077,645.31","544,743,703.58","1,201,713,075.40","1,910,018,715.25","2,607,026,972.00","762,994,201.59"
取得子公司及其他营业单位支付的现金净额,"1,600,622.82",,,,,,,,,,,,,,,,,,,,,,,,"34,814,869.81","34,814,869.81","8,313,506.65",
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,"2,932,423.83","2,932,423.83","208,457.70","3,103,779.87"
支付其他与投资活动有关的现金,,,,,,,"252,956,944.08",,,,"18,970,685.74",,"30,000,000.00","32,065,000.00","10,600,000.00","1,519,190.00","22,699,190.00","24,147,284.98","4,485,745.42","850,000.00","703,800.00","1,053,800.00","979,990.49","1,217,084.23","9,002,134.41","17,334,110.27","39,351,363.16","345,280.50"
收到其他与经营活动有关的现金,"5,414,933.48","8,123,144.73","6,381,743.67","5,464,496.64","6,298,046.54","10,398,303.80","16,226,254.51","4,658,567.04","4,059,181.20","4,569,312.50","12,978,823.33","2,353,014.30","2,883,150.80","3,448,465.49","10,523,451.92","2,842,153.16","2,920,111.57","10,371,629.87","12,590,672.59","10,071,931.73","11,009,871.03","13,116,832.92","17,367,610.00","1,112,075.22","11,655,907.61","15,627,022.96","19,562,415.23","40,474,568.68"
投资活动现金流出小计,"19,971,672.39","27,116,673.95","57,265,625.58","21,695,510.76","53,684,694.06","85,168,784.22","434,317,211.89","51,650,646.15","153,545,464.80","247,879,402.08","548,681,939.46","123,248,718.93","304,730,886.01","418,817,419.79","618,139,111.26","129,170,634.70","290,368,268.57","451,122,980.59","530,088,793.90","833,633,889.76","1,698,736,449.86","2,133,206,327.85","2,746,979,939.44","520,906,319.37","1,420,840,113.12","2,185,915,411.36","2,910,196,221.67","715,653,573.84"
经营活动现金流入小计,"509,844,207.22","751,751,588.38","942,614,283.43","263,672,698.53","503,901,189.50","781,486,333.77","1,106,904,926.16","271,840,866.53","586,449,087.89","922,274,605.02","1,348,316,189.10","359,644,828.05","746,208,111.33","1,174,103,900.97","1,528,528,310.74","439,849,912.27","869,833,532.03","1,311,117,817.97","2,077,492,910.40","578,235,219.31","1,106,830,582.66","1,679,636,807.70","2,679,445,255.31","545,855,778.80","1,216,301,406.84","1,928,578,162.04","2,626,797,844.93","806,572,550.14"
投资活动产生的现金流量净额,"-4,419,181.54","-21,971,400.17","-56,065,625.58","-21,637,510.76","-53,109,694.06","-84,593,784.22","-431,362,211.89","159,966,659.06","24,354,213.93","-29,759,392.15","-24,253,652.07","17,841,869.01","44,124,796.12","12,584,514.74","-11,233,437.05","-17,980,666.91","-97,332,404.84","-135,990,918.60","-180,949,911.27","-820,711,508.06","-958,240,999.70","-891,557,086.85","-995,662,508.12","-87,165,422.99","-90,243,933.98","-226,397,241.22","-179,174,976.69","-149,142,618.03"
购买商品、接受劳务支付的现金,"360,349,806.90","504,447,131.53","685,581,978.16","190,982,310.66","369,442,070.02","545,658,119.46","751,217,147.21","206,257,817.15","437,330,332.02","705,417,889.58","1,004,664,201.09","254,907,903.69","607,155,003.02","964,275,425.53","1,115,448,178.47","306,858,736.17","629,892,146.17","948,435,144.84","1,507,407,267.14","417,626,146.16","792,277,170.25","1,319,349,777.56","2,161,741,137.31","396,422,644.36","1,035,504,194.67","1,553,289,664.64","2,055,460,635.81","386,096,544.87"
吸收投资收到的现金,,"4,620,000.00",,"436,170,000.00","437,070,000.00","437,070,000.00","412,899,800.00",,,,"4,000,000.00",,,,"53,230,600.00","6,000,000.00","13,422,077.00","13,422,077.00","1,184,927,455.47",,,,"2,273,884.46","5,200,000.00","7,874,197.01","7,874,197.01","7,874,197.01",
