科目,2008-12-31,2009-12-31,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"34,721,741.35","66,436,633.96","44,999,075.12","26,393,694.56","31,816,078.23","327,593,433.52","303,240,784.93","318,103,628.87","283,495,593.62","304,555,564.86","310,307,727.82","311,996,303.70","258,763,380.94","262,468,969.79","231,802,019.73","202,445,831.41","259,231,858.94","187,316,266.54","177,359,350.82","97,789,417.44","37,345,437.91","34,053,865.09","49,794,167.19","38,809,434.77","38,082,658.56","37,855,700.28","27,911,857.25","38,679,420.40","44,479,618.62","50,553,228.65"
短期借款,"59,000,000.00","20,000,000.00","30,000,000.00","75,000,000.00","78,000,000.00","10,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"619,277.53","6,654,041.11","14,027,742.21","10,730,756.56","15,459,834.06","22,899,656.81","27,665,946.20","40,301,022.99","29,630,115.11","29,234,161.79","18,624,293.64","10,865,975.81","6,145,543.00","7,067,765.20","10,570,680.51","21,079,735.00","29,404,438.95","6,650,871.06","17,976,979.66","10,732,382.12","17,038,396.91","16,982,123.90","10,990,574.05","26,719,396.86","25,251,128.36","25,066,909.27","31,864,592.74","21,318,004.95","39,137,027.15","47,177,336.86"
应付票据,,,,,,,,,,,,,,,,,,"2,000,000.00","2,000,000.00",,,,,,,,,,,
应收账款,"57,522,970.99","68,772,781.78","84,127,648.57","95,256,063.29","93,842,593.70","100,129,715.70","100,896,343.84","106,309,037.83","115,268,781.75","120,961,346.31","121,389,937.22","130,848,029.90","136,195,881.01","140,060,950.67","149,428,446.47","147,506,573.32","157,904,444.94","161,034,202.21","169,426,234.10","178,835,570.85","194,623,159.38","191,867,322.68","195,760,978.31","205,680,758.49","203,946,864.13","212,260,984.82","196,229,287.61","212,262,391.53","225,996,658.21","207,677,954.87"
应付账款,"79,628,403.50","81,300,699.73","106,389,809.91","108,505,560.63","112,051,134.65","120,618,377.89","118,767,810.76","131,233,172.81","123,563,219.62","134,176,391.55","152,201,359.99","152,319,773.91","159,901,091.43","161,260,221.33","160,457,675.34","159,912,547.28","169,981,450.55","164,664,787.79","175,507,711.88","160,136,614.22","154,316,109.30","159,934,352.94","136,384,575.91","140,555,810.90","141,320,662.40","156,868,398.04","165,640,238.88","170,212,050.55","176,399,485.28","179,942,286.83"
预付款项,"16,958,859.76","8,244,656.70","20,902,119.88","29,152,927.36","28,895,626.90","33,185,962.23","29,921,177.06","29,718,650.52","26,296,839.31","31,346,512.82","17,278,374.66","27,042,294.29","27,211,123.76","44,651,167.75","25,739,664.36","27,016,384.24","30,235,888.09","36,453,637.37","21,231,356.57","34,115,125.88","29,058,748.97","28,980,413.02","24,155,761.05","37,889,113.84","43,052,811.44","51,936,705.08","42,654,536.08","46,697,688.42","49,513,275.76","76,782,510.27"
预收款项,"64,779,233.31","49,890,620.53","74,006,680.39","81,399,533.32","91,315,774.68","92,194,997.92","83,303,408.96","78,428,469.99","64,137,819.73","50,516,320.17","38,890,414.89","34,829,942.92","37,144,738.50","38,851,569.83","52,769,516.46","43,553,807.02","52,921,017.88","48,712,003.70","41,313,398.55","30,555,665.59","43,124,181.12","44,866,172.53","43,459,219.17","44,449,130.47","52,725,924.74","57,622,492.00","74,697,644.77","67,454,114.49","86,440,452.41","108,498,556.29"
