科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"1,441,695,304.24","713,782,313.06","1,398,969,356.26","1,572,160,301.58","2,100,397,210.86","3,573,438,284.26","2,405,296,232.63","1,852,039,287.77","2,068,871,604.13","3,882,508,343.13","4,433,716,665.93","2,907,535,725.27","4,206,832,989.61","3,908,965,151.10","3,826,663,525.37","4,300,932,877.10","4,570,656,429.04","3,839,988,391.61","3,941,369,986.12","2,654,628,844.92","2,672,938,425.68","3,332,333,189.98","2,548,035,440.17","3,687,053,222.67","5,168,982,068.83","7,779,481,466.16","7,171,780,320.77","6,417,535,971.52","5,158,553,999.43","5,623,631,304.46","6,331,898,085.47","6,644,985,860.37","9,973,474,801.50","7,522,203,086.77","10,067,685,312.61","8,963,667,089.75","12,851,427,401.02","17,122,582,781.42","21,297,667,920.29","15,846,964,167.40","17,437,716,094.27","14,568,995,945.04","21,630,168,534.95","11,193,432,982.81"
短期借款,"40,000,000.00","230,000,000.00","310,000,000.00","310,000,000.00","310,000,000.00","30,000,000.00","377,000,000.00","429,500,000.00","394,500,000.00","867,500,000.00","672,000,000.00","560,000,000.00","310,000,000.00","210,000,000.00","200,000,000.00","324,000,000.00",,,"100,000,000.00","220,000,000.00","834,000,000.00","2,192,500,000.00","1,900,500,000.00","946,500,000.00","1,076,500,000.00","650,000,000.00","896,900,000.00","946,900,000.00","2,661,900,000.00","3,653,200,000.00","6,000,310,000.00","5,769,810,000.00","8,222,440,000.00","5,438,290,000.00","11,053,900,000.00","9,185,880,000.00","7,579,180,000.00","6,148,000,000.00","3,786,000,000.00","2,928,000,000.00","2,638,369,401.23","4,399,275,823.85","5,784,372,859.06","9,036,187,245.29"
交易性金融资产,,,,,,,,,,,,,,,,"39,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,"48,299,548.36","57,912,024.74","9,612,476.38",,,"165,000,000.00","165,000,000.00","165,000,000.00","165,000,000.00","165,000,000.00",,,,"20,000.00",,,,,
应收账款,"448,268.69","18,000.00","183,614.00","18,000.00","140,416.59","311,716.59","165,575.79","380,406.15","757,701.90","565,090.55","1,109,973.50","65,046.00","523,527.95","1,432,785.15","1,893,608.20","475,719.20","1,407,666.22","1,289,263.12","688,299.75","1,150,619.95","1,177,941.40","1,770,536.80","1,577,060.60","5,090,641.20","2,827,280.70","1,632,274.70","5,624,803.89","5,856,104.10","3,453,725.34","6,678,468.10","5,498,731.09","1,778,631.60","2,414,797.56","5,372,945.82","3,016,314.97","1,883,425.84","1,556,037.25","4,251,761.64","12,854,340.91","5,683,191.31","8,485,449.93","6,623,240.64","13,529,644.04","12,057,062.08"
应付账款,"132,837,129.02","87,573,938.72","87,573,938.72","319,438,497.23","319,380,408.68","221,186,348.86","294,322,837.63","595,474,734.82","595,490,739.67","548,314,195.50","548,323,163.41","532,761,381.69","521,813,631.90","552,106,828.45","546,809,550.20","1,005,366,055.42","938,705,605.56","1,034,999,884.87","979,908,284.86","1,839,374,327.41","1,756,380,521.02","1,714,107,812.72","1,833,443,609.45","1,791,372,915.32","1,512,937,902.49","1,741,977,503.22","2,007,558,158.02","2,586,226,122.26","2,084,411,402.04","2,866,996,365.59","2,958,347,382.52","2,743,458,536.75","2,139,983,517.65","2,114,113,731.80","1,957,817,035.65","2,570,350,377.50","2,114,383,310.02","2,277,585,017.92","2,450,157,929.13","3,018,256,161.80","2,725,947,030.12","2,842,220,983.47","3,919,947,258.53","3,699,984,843.51"
预付款项,"393,184,166.39","45,358,820.28","45,540,344.36","526,416,426.61","770,410,413.28","1,678,080,162.01","856,116,752.05","7,232,058.59","9,529,174.69","12,554,149.42","24,251,289.86","2,680,848,677.21","3,640,710,376.53","979,609,382.98","1,054,278,327.06","1,277,080,004.92","1,492,105,123.45","1,807,396,667.49","1,487,568,686.61","2,368,660,697.05","2,457,989,064.35","1,368,088,821.46","2,102,573,508.90","1,584,379,781.19","2,535,581,674.70","1,638,316,544.46","2,825,914,092.43","6,136,019,715.04","10,377,296,428.56","12,837,066,119.44","5,216,149,356.45","8,618,161,793.72","9,443,182,889.57","3,166,673,701.25","4,107,620,468.63","3,700,464,933.39","3,674,931,430.68","5,393,091,685.31","5,596,896,784.07","4,033,457,607.01","1,115,368,914.24","3,830,234,950.36","6,190,285,276.58","5,520,055,799.54"
预收款项,"1,417,375,319.02","1,677,133,355.51","2,934,368,443.34","3,369,326,266.87","3,954,862,823.43","4,248,173,007.19","4,065,219,603.61","3,129,091,165.32","3,266,422,970.38","4,423,909,344.25","5,266,474,018.99","4,094,631,820.64","5,567,608,337.27","6,702,046,116.42","6,365,540,271.04","5,439,775,315.85","5,140,870,664.38","5,093,719,275.49","5,986,075,590.31","4,578,129,164.10","4,222,642,058.64","4,421,321,483.79","5,408,460,070.87","4,645,030,472.16","4,612,320,250.40","6,469,371,825.72","6,535,840,738.17","5,656,436,931.00","6,173,324,951.21","6,173,239,184.17","5,183,880,104.87","5,136,733,478.53","5,952,828,873.14","6,510,410,358.39","8,006,148,389.91","7,786,611,363.02","11,912,691,270.28","16,148,581,021.37","24,057,107,333.42","24,028,480,460.93","23,845,585,940.36","25,520,641,989.52","26,659,299,178.03","28,120,210,322.64"
