科目,2011-12-31,2012-12-31,2013-12-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"1,574,547,419.48","760,592,111.77","586,810,740.62","264,973,571.89","103,601,075.12","1,574,339,750.35","1,367,543,252.45","954,513,709.01","773,002,476.69","808,183,570.25","610,373,291.99","588,344,825.57","1,507,367,356.83","1,107,947,089.27","2,223,121,100.13","2,313,579,715.81","2,887,507,002.29","2,406,310,970.90","2,687,324,085.11","2,650,335,630.00","2,139,339,230.91","2,057,166,523.80","2,007,880,363.25"
短期借款,"162,000,000.00",,"28,000,000.00","247,000,000.00","434,000,000.00","397,000,000.00","418,000,000.00","350,000,000.00","664,000,000.00","663,800,000.00","720,800,000.00","685,800,000.00","1,113,908,782.00","858,863,000.00","975,663,000.00","1,267,310,600.00","1,372,310,600.00","1,242,475,740.00","1,526,292,500.00","1,806,433,400.00","1,447,700,000.00","1,350,033,729.93","907,333,729.93"
交易性金融资产,"65,315.00",,,,,,,"185,729,194.19","244,289,064.00",,,,,,,"290,553,969.86",,"391,885,625.10","316,769,476.10","330,766,760.57","295,941,756.15","219,362,583.74","297,345,513.95"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"815,929,205.91","690,165,280.00","782,361,061.76","165,990,954.71","247,574,483.91","248,798,106.24","503,419,321.91","71,392,184.00","201,399,820.49","251,624,884.97","197,754,232.61","226,434,014.50","256,705,001.45","320,971,300.85","339,082,035.05","242,835,824.13","288,127,382.68","405,409,888.06","482,562,594.58","486,598,469.30","498,560,338.36","402,509,132.07","69,293,687.82"
应付票据,,"429,834,200.00",,"216,142,085.14","41,554,422.00","103,958,000.00","78,500,000.00",,,,,,,,,"5,925,000.00","5,925,000.00",,,"33,330,051.80",,"97,003,521.61",
应收账款,"180,068,047.79","186,227,750.22","308,190,687.97","435,155,798.87","459,936,460.79","567,729,608.40","556,837,582.34","456,093,975.69","403,395,434.53","562,350,016.05","549,023,818.60","421,256,788.49","322,712,502.90","169,254,398.63","214,091,946.09","229,488,389.01","120,315,252.17","275,682,883.85","198,154,554.71","162,475,770.36","139,981,523.23","76,566,929.33","147,030,591.26"
应付账款,"14,648,173.83","69,463,303.57","11,326,921.79","30,168,871.75","23,217,688.22","35,707,171.83","44,685,479.02","30,362,483.13","41,086,733.21","198,632,490.76","214,482,555.82","204,299,389.91","236,700,095.55","206,513,985.87","196,618,985.30","238,809,582.47","255,724,799.74","207,348,298.95","255,259,740.64","203,402,529.39",,"123,730,680.41",
预付款项,"38,485,412.70","14,464,412.59","21,594,196.29","32,015,106.01","17,578,324.89","22,736,979.11","13,674,210.11","8,816,695.34","24,187,907.30","10,224,456.44","19,934,403.66","11,838,661.94","15,418,284.53","99,117,455.63","70,341,771.43","95,409,402.29","109,703,160.94","105,972,505.88","67,785,827.11","73,159,646.56","87,115,276.39","47,754,715.99","96,461,271.18"
预收款项,"7,819,207.54","16,384,556.58","58,363,336.60","19,210,810.32","15,542,650.05","22,100,455.39","5,796,917.08","4,322,507.73","6,111,726.40","8,368,378.01","6,494,557.80","36,055,077.87","35,008,585.44","45,171,825.74","56,120,398.79","62,399,180.41","146,729,834.32","51,219,841.17","558,161.76","28,261,592.45","53,761,189.64","20,873,399.39","21,793,286.99"
其他应收款,"26,281,684.71","63,978,033.98","34,850,718.86","82,848,919.16","78,576,936.02","69,341,760.13","35,551,865.34","58,684,034.33","56,653,461.68","51,603,859.83","38,393,729.58","132,232,363.82","41,956,997.49","163,181,651.47","184,227,636.34","168,369,444.82","197,916,379.06","98,944,385.17","68,236,702.90","69,944,296.55","75,662,120.66","83,292,680.61","84,626,922.26"
应付职工薪酬,"112,121,698.08","78,395,184.37","89,418,309.97","57,120,942.57","58,649,645.51","73,661,198.25","30,862,486.20","33,307,576.27","36,341,973.76","18,536,842.29","524,299.93","7,086,137.55","11,379,432.31","95,749,102.91","87,157,149.61","94,488,029.84","101,326,702.66","131,853,141.32","104,331,811.26","102,486,290.51","109,044,886.10","173,025,051.02","142,439,307.22"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"108,762,325.26","46,605,760.64","117,590,567.25","20,597,187.48","24,098,967.23","47,082,189.38","30,922,499.49","15,825,277.21","9,446,423.66","70,783,659.16","7,992,171.60","19,551,117.22","15,126,544.62","6,691,393.18","27,102,805.63","45,376,685.93","43,827,583.67","49,724,666.42","29,816,468.94","13,105,223.57","4,939,676.39","10,857,761.10","22,131,194.70"
应收利息,,,,,,,,"5,089,561.64",,,,,,,,,,,,,"1,356,666.66","2,145,205.47",
应付利息,,,,,,,,,,,,,"4,046,976.98","2,392,301.60","4,081,861.10","8,781,246.01","8,537,662.69","13,304,299.54","5,050,899.52","9,798,149.50","9,397,196.22","14,850,763.61","6,328,299.17"
应收股利,,,,,,,,,,"964,517.99",,"2,099,712.01",,"1,441,543.29",,,,,,"1,428,977.50",,,
应付股利,,,,,,,,,,,,"21,629,990.00",,,,,,,,"100,000.00","100,000.00","100,000.00","100,000.00"
存货,"212,650,914.69","538,646,175.54","485,022,089.54","604,445,537.02","626,403,783.00","642,837,076.36","659,548,630.00","696,307,704.05","732,419,676.46","366,306,249.43","422,816,110.46","353,643,310.33","351,451,333.06","354,720,272.37","347,734,388.33","467,056,480.53","470,232,169.27","309,657,289.67","226,043,119.80","308,158,230.59","213,564,004.65","321,208,839.33","393,430,883.72"
其他应付款,"234,755,116.61","267,971,380.31","368,359,950.44","353,960,797.73","390,121,424.99","431,308,545.18","427,951,381.29","336,260,025.60","460,794,614.26","272,991,920.07","199,697,822.13","276,754,918.75","269,057,333.64","386,451,188.42","290,642,167.34","387,931,562.08","373,627,807.81","454,613,093.03","420,890,090.81","356,198,842.49","334,066,296.39","429,258,683.84","403,635,184.94"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,"31,274,463.00","31,639,409.49","32,008,614.59","32,382,128.00","31,274,463.00","31,639,409.49","71,208,614.59","32,382,128.00",,,,,,
一年内到期的非流动负债,"46,520,501.22","29,019,936.71","392,472,971.97","217,931,524.30","385,446,887.81","192,696,141.79","195,116,843.13","200,529,124.47","23,993,635.94","21,800,740.29","21,800,740.29","22,400,629.53","130,024,388.47","328,913,576.78","268,340,014.96","167,078,643.89","190,722,630.40","204,751,900.77","146,001,900.77","76,068,593.20","17,632,449.43","16,419,761.59","16,617,463.49"
其他流动资产,"24,000,000.00",,,,"92,237,063.59","272,796,836.00","214,972,408.36","303,139,138.20","496,823,351.83","289,421,523.97","283,211,362.65","254,376,651.84","260,543,910.34","230,049,919.32","279,207,648.09","380,514,159.04","237,142,798.70","471,042,464.56","447,518,109.00","442,729,901.69","519,348,913.48","423,643,415.80","132,095,500.77"
其他流动负债,,,,,,,,,,,,,,,,,,"8,117,908.30",,,,,
流动资产合计,"2,872,028,000.28","2,254,073,764.10","2,218,829,495.04","1,585,429,887.66","1,625,908,127.32","3,398,580,116.59","3,351,547,270.51","2,739,766,196.45","2,932,171,192.98","2,371,953,541.93","2,153,146,359.04","2,022,234,943.09","2,788,537,514.60","2,477,958,093.83","3,689,445,934.95","4,259,016,000.08","4,343,326,273.11","4,464,906,013.19","4,494,394,469.31","4,525,597,683.12","3,969,513,163.83","3,631,504,820.67","3,228,164,734.21"
流动负债合计,"686,627,022.54","937,674,322.18","1,065,532,058.02","1,162,132,219.29","1,372,631,685.81","1,303,513,701.82","1,231,835,606.21","970,606,994.41","1,241,775,107.23","1,254,914,030.58","1,171,792,147.57","1,273,577,260.83","1,815,252,139.01","1,930,746,374.50","1,905,726,382.73","2,278,100,530.63","2,498,732,621.29","2,363,408,889.50","2,488,201,573.70","2,629,184,672.91","2,234,379,383.07","2,221,202,588.89","1,753,061,642.13"
可供出售金融资产,,,,,"2,953,031.80","2,953,031.80","2,953,031.80","22,953,031.80","22,953,031.80","286,625,654.76","270,402,760.31","316,192,618.86","297,145,216.57","299,391,462.53","323,687,060.42","89,308,965.06","89,039,507.09","17,816,769.80","16,816,918.00","17,847,979.26","13,325,377.26","14,140,035.26",
长期借款,"380,000,000.00","200,000,000.00",,,,,,,,,,,"200,000,000.00","200,000,000.00","200,000,000.00","150,000,000.00",,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,"106,000,000.00","106,000,000.00","306,000,000.00","306,000,000.00","306,000,000.00","306,000,000.00","306,000,000.00","306,000,000.00","306,000,000.00","306,000,000.00","306,000,000.00"
长期应收款,,,,,,,,,,"29,856,289.27","30,204,686.86","30,557,149.97","30,913,726.02",,,,,,,,,,
长期应付款,"205,240,787.65","475,839,290.98","305,178,767.74","305,835,364.19","138,719,200.88","132,842,671.91","138,098,013.61","125,536,555.96","124,785,277.22","125,371,341.54","123,502,301.87","121,763,913.14","13,117,131.70","12,239,712.78","10,766,118.52","10,711,151.57","10,693,955.96","72,633,348.44","90,838,164.79","74,547,152.32","72,067,128.71","71,734,253.94","72,192,596.64"
长期股权投资,"2,953,031.80","2,953,031.80","2,953,031.80","2,953,031.80",,,,,,"3,946,791.62","3,946,791.62","3,946,791.62","3,946,791.62","304,422,027.12","304,422,027.12","300,475,235.50","289,530,744.95",,,"7,993,524.14","8,849,258.80","8,702,791.98","8,912,831.92"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,
预计负债,"2,201,611.33",,,,,,,,,,,,,,,,,,,,,,
固定资产,"556,718,922.52","431,382,268.41","871,476,913.29","853,337,044.53","817,265,909.46","807,035,623.99","803,161,317.71","935,970,841.93","937,236,495.38","923,647,497.23","902,943,561.40","891,487,525.15","865,455,804.48","1,622,162,360.95","1,606,517,510.67","1,592,331,116.53","1,582,088,697.31","2,051,706,034.95","2,046,587,789.56","2,028,864,540.77","2,011,024,202.87","2,036,253,286.84","2,023,954,796.83"
