科目,2011-12-31,2012-12-31,2013-12-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"117,364,404.75","119,249,390.77","159,303,555.57","113,342,690.06","137,118,792.16","413,696,744.74","356,231,545.09","242,569,773.20","220,546,686.06","209,590,770.72","223,560,074.75","152,314,532.62","413,573,438.11","536,369,733.38","563,231,328.62","557,107,696.85","528,066,037.23","571,024,954.23","442,646,801.63"
短期借款,"15,400,000.00","28,000,000.00","44,823,293.07","45,823,293.07","38,925,516.67","16,998,900.00",,,,,,,"75,610,000.00","74,640,633.71","223,940,633.71","84,000,000.00","76,000,000.00","84,223,200.00","43,223,200.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,
应收票据,"1,529,730.00","1,500,000.00","16,682,798.40","7,392,755.50","11,334,906.10","16,225,537.00","21,742,927.00","8,111,768.00","4,850,044.00","18,265,538.77","25,557,925.10","11,990,427.50","18,529,244.50","19,755,480.04","21,941,330.38","10,329,985.92","20,605,329.15","35,647,244.59","21,944,019.45"
应付票据,,,,"3,141,420.00","3,141,420.00","3,632,750.00","3,632,750.00",,"9,029,224.00","9,029,224.00",,,"16,107,180.00","16,107,180.00",,,"10,038,982.00","10,038,982.00","10,038,982.00"
应收账款,"70,866,412.51","106,795,904.08","180,875,087.23","199,290,178.86","186,438,953.13","230,390,065.56","227,246,469.59","246,967,003.88","278,094,078.24","271,707,747.75","235,010,118.73","278,945,642.78","576,912,385.42","370,250,504.51","374,519,791.33","378,706,948.14","454,632,817.22","476,733,739.16","445,923,096.91"
应付账款,"54,528,353.01","88,367,652.42","137,690,389.67","135,430,816.08","131,368,860.25","145,742,593.27","128,499,516.85","119,763,699.78","106,521,720.43","106,756,098.38","99,691,237.82","108,495,310.42","120,217,295.50","186,325,794.38","202,716,508.80","181,487,485.40","184,962,426.20","178,495,608.55","179,988,994.12"
预付款项,"11,428,922.41","9,518,272.44","8,088,439.57","8,041,554.35","14,706,836.89","13,020,501.97","28,078,891.74","19,164,205.93","35,994,977.58","33,154,197.50","24,909,075.69","23,247,808.73","29,703,314.37","20,067,978.21","30,651,221.18","39,312,005.83","39,091,123.21","30,033,746.92","59,910,105.70"
预收款项,"117,201,086.94","46,122,342.62","113,555,244.46","74,905,852.34","169,919,750.04","168,052,663.41","215,408,385.70","128,437,987.31","169,334,750.74","194,918,535.51","206,663,654.99","166,190,093.45","193,342,577.95","204,704,443.98","232,126,493.82","208,680,230.18","202,407,287.31","223,152,316.04","240,002,405.71"
其他应收款,"6,491,285.18","4,706,439.48","8,446,458.20","14,020,715.67","17,209,945.80","13,806,718.66","21,881,678.69","26,593,886.06","32,254,625.50","18,917,321.49","25,452,296.18","19,199,695.25","29,690,583.53","19,715,482.12","30,065,170.69","25,985,563.21","27,337,651.35","26,252,155.47","32,811,480.20"
应付职工薪酬,"3,064,295.37","3,612,325.12","6,096,524.50","299,842.64","356,916.53","11,127,580.89","409,874.22","377,561.49","485,235.23","8,952,009.05","470,191.80","485,652.21","38,422,599.21","46,444,112.27","32,694,189.80","33,299,592.59","37,378,774.31","45,580,024.24","42,754,376.65"
应收关联公司款,,,,,,,,,,,,,,,,,,,
应交税费,"-17,204,254.74","-2,196,182.15","-9,880,907.36","-615,428.10","-21,018,852.17","-24,597,300.67","-34,507,168.96","-19,249,632.35","-21,694,194.00","5,227,171.86","2,477,728.87","3,237,701.18","2,721,053.40","16,062,392.40","5,978,965.51","7,458,443.78","12,921,165.39","11,966,661.69","7,030,757.15"
应收利息,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,"5,712,000.00",,,
存货,"122,058,655.55","78,785,418.94","121,937,764.53","132,721,105.21","167,151,733.17","142,620,790.70","165,676,384.65","143,236,488.83","166,333,922.90","186,248,995.89","206,258,695.08","208,264,390.09","374,235,709.85","510,815,326.55","564,456,205.91","601,600,773.83","597,473,325.98","527,584,841.40","598,991,640.60"
其他应付款,"1,426,752.04","2,091,005.44","2,868,512.12","3,466,098.14","3,510,375.57","4,142,959.65","3,895,661.37","5,052,368.16","4,299,772.18","5,134,504.77","4,963,301.27","4,493,106.32","4,817,881.44","72,446,220.27","69,530,935.43","101,364,013.44","77,580,374.56","99,910,861.47","112,781,610.76"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,"100,000.00","139,800,000.00"
其他流动资产,,,,,,,,"79,950,000.00","80,000,000.00","154,847,368.57","133,336,044.28","148,364,570.34","27,696,914.29","35,257,073.63","46,335,363.55","41,951,087.29","22,874,788.66","55,031,565.24","55,056,601.78"
其他流动负债,,,,,,,,,,,,,"92,846,021.15",,,,,,
