科目,2011年度,2012年度,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"343,948,283.25","719,570,392.69","681,710,660.42","1,171,524,618.87","1,807,197,039.95","1,284,042,666.48",,"2,664,181,561.34","328,828,982.94","118,943,156.80","398,779,545.47","580,629,778.25","104,400,973.91"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,
收到的税费返还,"3,760,366.74","45,055,339.37","34,058,616.94","95,381,451.30","151,419,862.49","59,220,372.96",,"205,869,125.92","27,273,393.92","34,614,019.44","35,545,079.79","35,546,177.94","167,538.45"
支付其他与投资活动有关的现金,,,"13,610,000.00","387,008.00","40,000,000.00",,,"180,000,000.00","426,788,679.62","301,825,561.55","362,646,807.00","680,000,000.00",
收到其他与经营活动有关的现金,"4,263,433.41","4,909,248.97","3,919,495.00","3,086,399.10","35,025,197.08","17,506,663.99",,"19,643,380.60","104,080,126.14","103,832,546.86","106,069,432.58","82,110,462.41","13,378,860.03"
投资活动现金流出小计,"172,389,490.99","277,382,342.54","252,427,438.98","231,668,642.71","154,879,499.73","76,611,749.06",,"300,377,776.98","438,019,106.53","318,884,912.88","386,145,769.02","705,873,349.73","8,515,954.07"
经营活动现金流入小计,"351,972,083.40","769,534,981.03","719,688,772.36","1,269,992,469.27","1,993,642,099.52","1,360,769,703.43",,"2,889,694,067.86","460,182,503.00","257,389,723.10","540,394,057.84","698,286,418.60","117,947,372.39"
投资活动产生的现金流量净额,"-99,316,259.21","-175,043,247.02","-251,684,904.90","-214,315,831.39","-136,552,221.15","-35,870,642.41","-140,308,400.00","-297,977,419.83","-434,813,837.83","-303,249,315.63","-361,214,676.78","-667,100,475.67","71,028,480.63"
购买商品、接受劳务支付的现金,"242,742,336.14","560,056,371.19","371,287,318.64","794,945,468.49","1,462,867,971.62","1,015,341,242.15",,"1,676,533,853.55","263,640,486.73","250,733,573.39","361,013,785.25","598,705,717.14","116,114,674.70"
吸收投资收到的现金,,"199,142,500.00",,,,,,"1,221,547,000.00",,,,,
支付给职工以及为职工支付的现金,"31,361,535.92","56,662,190.03","73,549,504.16","112,745,513.79","160,073,954.18","105,693,740.98",,"186,568,193.92","54,392,389.71","84,217,767.46","106,983,977.40","133,129,152.69","34,212,110.91"
取得借款收到的现金,"106,734,565.50","350,087,154.96","241,435,700.00","337,374,650.00","372,304,035.54","132,207,072.87",,"136,244,395.66",,,,,
支付的各项税费,"35,244,352.50","24,157,645.34","23,808,974.87","34,256,844.52","46,772,385.28","10,356,314.51",,"52,798,415.06","17,774,109.06","61,811,961.03","65,495,472.50","71,188,685.51","6,160,585.67"
收到其他与筹资活动有关的现金,,,,,,,,,"6,700,399.85",,"19,150,226.28","19,213,426.66","943,249.52"
