科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"295,747,892.25","643,585,647.66","1,249,290,596.00","418,383,831.11","752,900,878.96","1,009,265,496.06","1,382,764,377.63","491,388,413.56","798,735,824.65","1,064,909,153.13","1,444,540,455.56","598,496,220.59","998,597,897.57","1,335,609,385.61","1,923,389,425.05","824,442,850.56","1,411,968,917.67","1,880,698,732.06","2,626,480,863.71","890,144,696.57","1,460,285,359.28","1,934,852,043.61","2,680,571,887.95","1,110,707,439.09","1,847,687,781.78","2,448,287,980.63","3,603,329,339.62","1,379,675,554.48","2,219,265,962.13","2,970,223,499.89","4,094,370,562.23","1,412,647,006.57","2,297,538,551.15","3,107,131,868.74","4,237,398,972.24","1,485,911,118.96","2,529,705,802.29","3,486,307,045.23","4,781,012,224.26","1,687,966,407.75","2,840,423,106.99","3,885,292,636.72","5,255,871,627.52","1,817,124,671.90","3,077,510,999.88","4,192,099,258.88","5,539,316,059.52","1,908,623,029.08"
二、营业利润,"3,257,200.24","27,987,213.85","45,811,260.41","27,022,404.38","45,278,692.08","42,936,256.53","61,546,859.57","31,926,760.19","46,926,568.86","50,512,933.28","82,205,053.86","37,190,836.06","50,326,386.71","55,203,591.07","104,539,762.93","60,198,237.68","83,420,643.65","86,001,069.30","121,322,558.70","48,762,016.68","98,437,517.54","90,904,556.98","122,254,385.04","72,832,643.79","129,821,252.62","115,463,082.78","122,676,658.50","28,908,169.98","64,559,904.83","66,779,512.02","-9,792,177.45","32,225,827.06","60,184,813.56","54,817,527.72","-54,637,532.28","16,040,267.60","52,670,235.26","55,567,415.45","6,758,934.85","38,079,080.72","101,695,316.23","104,668,031.67","98,177,915.75","41,459,224.64","116,995,209.48","122,059,142.79","129,185,556.13","40,279,288.32"
减:营业成本,"185,606,240.36","414,165,487.80","800,324,144.21","264,008,439.82","481,510,896.35","639,823,391.68","856,218,775.52","309,870,894.93","503,577,312.09","678,298,614.34","928,611,769.07","387,906,087.28","634,509,023.05","857,956,173.71","1,280,261,970.36","547,168,506.45","915,213,636.21","1,235,727,426.87","1,787,990,658.18","605,917,652.52","931,424,727.09","1,243,547,235.37","1,779,938,161.80","734,510,829.47","1,162,911,659.86","1,567,159,548.25","2,345,159,426.49","936,908,029.29","1,437,055,629.57","1,946,668,327.51","2,678,518,702.82","940,540,376.97","1,500,082,093.25","2,056,062,618.60","2,841,960,898.29","983,216,616.63","1,640,924,147.75","2,286,006,584.68","3,101,121,837.27","1,106,083,145.46","1,836,797,473.61","2,543,784,548.05","3,472,840,611.41","1,201,164,906.71","2,005,502,484.53","2,758,375,034.47","3,571,721,018.56","1,256,318,292.35"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"964,416.03","1,877,240.45","4,347,404.49","1,352,446.61","2,261,059.28","3,646,842.16","6,398,222.72","2,222,449.89","3,820,647.28","5,700,611.12","8,509,726.35","2,235,618.51","4,067,283.82","6,181,035.36","9,545,099.53","4,889,672.43","12,408,576.03","16,445,837.99","22,448,352.86","6,937,499.31","13,466,145.22","18,622,444.83","25,846,181.53","6,775,775.75","14,177,126.01","19,338,317.84","28,616,314.57","10,369,231.79","17,863,123.18","24,505,916.50","33,420,197.04","11,455,934.05","21,474,022.39","28,690,128.37","34,989,617.66","12,561,316.45","24,462,543.38","32,399,275.19","46,921,422.52","20,068,858.55","34,811,685.24","46,444,888.85","54,463,845.03","19,418,399.17","35,376,724.44","49,085,960.02","59,610,155.29","17,585,415.81"
营业外收入,"15,438,741.35","22,417,076.91","28,622,805.15","3,502,162.95","10,368,274.69","16,132,107.36","25,245,278.88","5,714,374.55","10,199,198.51","14,238,465.95","17,290,236.90","7,396,757.36","21,638,713.44","28,667,350.46","41,096,465.16","1,337,294.96","12,818,598.51","16,685,776.83","37,456,249.20","3,065,963.03","5,664,892.08","21,553,549.43","41,383,574.03","3,712,962.56","13,756,484.39","23,732,117.74","45,469,195.02","2,802,918.72","16,930,530.66","21,230,796.67","50,441,353.76","884,153.85","10,624,337.85","22,421,407.68","58,151,493.98","14,837,241.81","30,245,699.93","33,799,085.92","59,965,130.18","7,608,480.32","12,056,570.49","16,187,030.91","10,375,444.05","2,308,599.65","1,978,449.79","2,597,478.48","5,637,210.88","812,938.85"
销售费用,"86,196,902.05","165,797,598.39","325,697,196.43","105,053,577.53","186,996,407.12","265,340,510.25","370,242,925.22","129,394,487.87","209,553,044.24","278,230,250.09","360,582,549.95","156,928,543.56","270,243,373.97","364,637,530.45","460,732,377.83","196,040,868.18","356,374,285.31","475,682,670.07","604,896,005.42","212,023,141.21","371,794,853.90","515,234,011.83","666,328,056.20","275,239,649.81","488,006,208.10","665,868,146.41","991,012,226.06","371,352,917.77","615,838,441.54","812,992,024.30","1,199,998,628.76","394,792,292.99","633,848,990.18","882,325,642.19","1,258,376,713.50","435,899,783.86","723,390,235.91","981,360,996.73","1,417,321,307.98","473,923,321.41","774,986,442.47","1,060,316,252.16","1,455,289,255.78","513,080,453.75","819,822,790.37","1,127,099,671.10","1,582,516,799.15","543,861,354.32"
减:营业外支出,"60,859.90","4,617,993.18","6,492,504.57","601,448.69","1,752,696.43","2,203,360.02","4,382,280.50","773,584.21","1,944,698.16","3,105,597.75","5,779,945.66","347,136.29","1,744,790.50","4,128,879.88","6,540,675.50","1,162,754.97","1,432,154.70","1,883,741.94","3,011,838.46","1,253,015.18","2,739,452.97","4,129,600.95","7,228,217.34","109,561.13","1,294,722.61","2,408,916.52","7,647,650.37","818,920.87","1,420,421.03","2,290,153.77","6,437,146.29","530,019.93","1,692,253.74","2,952,456.70","3,208,175.02","186,634.26","976,550.07","2,346,033.86","2,540,412.51","63,366.19","1,235,105.61","1,987,095.89","2,139,107.02","244,411.24","886,552.33","1,190,055.74","1,823,427.95","323,100.76"
管理费用,"14,347,350.52","23,639,311.35","54,313,998.30","15,834,667.11","30,825,975.97","50,936,984.55","78,753,499.33","17,327,626.03","34,494,267.11","51,819,043.38","63,379,380.87","14,759,945.37","41,839,415.42","54,783,463.10","74,770,707.51","16,480,489.10","46,863,326.63","69,801,803.99","95,371,563.71","17,444,911.42","47,832,841.38","72,523,422.77","93,917,722.06","22,461,704.95","56,092,757.81","88,186,138.60","120,261,634.10","28,927,161.83","70,664,353.52","104,345,347.45","180,211,722.54","30,396,360.20","77,610,980.90","114,004,508.13","176,484,702.58","32,287,153.10","81,024,067.81","120,871,042.29","197,327,708.25","43,342,957.68","103,290,858.39","154,127,833.87","223,147,382.76","46,051,905.56","112,513,985.38","144,392,308.00","193,639,472.04","41,779,823.47"
其中:非流动资产处置净损失,,,,,,,"2,646,413.13",,,,"2,250,775.77",,"1,256,956.93",,"5,664,183.86","255,325.81","254,405.22","350,158.67","770,498.15","643,146.51","1,373,831.74","2,542,307.36","4,937,422.27","51,297.03","586,579.70","1,318,424.21","5,478,562.05","238,269.09","348,281.60","904,105.01","1,339,448.88","439,937.12","1,436,236.34","1,487,648.77","1,647,896.81","15,052.87","468,228.62","649,566.42","747,045.98","11,431.32","44,608.47","89,469.54",,,,,,
