科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"2,358,140,231.89","3,722,335,730.95","5,160,282,594.12","3,155,762,015.33","4,639,702,118.91","6,752,100,518.90","1,791,248,411.25","3,750,673,579.73","6,089,649,385.51","8,060,082,432.91","2,186,777,889.66","4,723,607,166.02","7,306,590,417.47","10,212,853,801.93","1,989,739,078.91","3,777,635,504.72","5,811,729,966.55","8,055,310,629.98","1,697,044,619.90","3,182,574,533.38","4,618,130,373.50","6,124,456,871.53","1,222,459,210.19","2,313,714,808.55","3,548,845,274.02","4,510,857,762.07","981,009,195.18","1,768,018,359.44","2,754,336,250.34","3,628,529,680.71","857,636,198.77","3,261,292,305.69","5,348,288,626.82"
二、营业利润,"348,158,692.95","430,933,529.40","759,854,256.44","525,144,131.11","719,744,523.22","1,041,846,247.21","381,674,204.60","728,843,853.29","1,126,045,935.26","1,387,127,746.82","498,915,639.43","968,274,328.88","1,444,125,854.06","1,881,865,833.84","455,232,214.63","629,664,011.55","815,074,244.58","983,790,684.53","182,225,302.39","284,345,826.15","295,791,992.84","215,929,728.92","38,070,915.45","50,380,382.40","25,485,871.17","13,969,236.73","8,859,440.04","30,294,865.67","129,713,825.63","27,252,326.38","82,774,586.05","222,365,535.15","437,088,228.71"
减:营业成本,"1,774,041,192.43","2,972,273,448.40","3,885,633,493.66","2,400,107,739.36","3,549,471,387.62","5,084,869,084.65","1,267,948,765.61","2,671,719,862.95","4,580,276,995.36","6,069,407,759.84","1,523,261,789.50","3,365,581,478.50","5,308,531,159.22","7,468,212,380.12","1,430,414,708.78","2,801,201,622.55","4,421,314,072.51","6,190,122,441.60","1,352,611,964.57","2,556,973,114.19","3,769,102,115.55","5,047,676,150.30","1,024,092,185.13","1,937,762,225.59","2,966,786,112.22","3,621,734,505.03","761,940,865.06","1,415,110,464.70","2,223,172,897.08","2,891,600,522.73","683,914,553.18","2,556,113,336.05","4,198,085,802.13"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"7,017,785.53","11,117,853.80","25,899,583.61","15,275,211.75","23,187,408.04","32,684,056.12","12,147,683.89","20,243,977.92","29,219,011.30","38,624,031.96","9,525,770.13","23,091,296.73","40,033,794.44","61,024,417.48","18,917,571.03","22,731,294.85","29,669,996.95","42,992,199.64","10,045,578.02","12,477,950.39","16,266,873.31","22,790,288.45","13,849,253.97","22,528,851.78","25,387,319.95","32,098,123.73","11,521,276.62","13,960,578.75","18,912,219.53","41,410,761.31","8,865,736.05","30,820,545.74","45,873,641.55"
营业外收入,"7,773,347.48","149,304,586.09","16,102,399.29","13,796,652.45","23,071,407.97","29,557,071.51","632,129.18","1,340,542.74","12,485,090.47","42,086,969.74","973,498.28","19,209,444.06","21,544,826.24","34,218,454.80","1,957,620.72","6,334,211.08","12,610,277.05","24,393,115.75","830,959.17","6,339,191.50","10,007,523.19","19,607,673.69","1,829,083.87","6,642,553.50","8,639,580.64","18,234,891.60","1,976,309.72","5,386,185.78","10,569,445.15","15,548,032.26","1,130,808.71","4,042,631.60","6,605,746.60"
销售费用,"69,197,318.84","93,778,701.42","138,746,289.29","57,286,659.71","96,156,596.43","131,594,488.96","42,002,832.05","90,461,430.23","148,429,916.26","223,725,411.55","66,322,360.13","176,411,262.84","225,374,945.12","332,255,847.78","55,383,567.70","123,293,138.59","182,554,436.79","257,851,051.07","37,197,131.49","96,689,305.64","152,832,918.52","216,272,824.35","38,354,786.71","79,897,348.61","136,733,227.65","214,899,539.15","36,260,783.92","73,854,975.83","110,353,653.58","187,963,822.14","32,804,316.63","159,102,672.69","256,031,143.28"
减:营业外支出,"1,862,949.98","551,832.64","2,736,580.20","1,047,730.62","1,560,861.51","7,044,491.04","32,950.66","254,827.88","376,197.16","8,187,383.46","409,445.91","2,143,509.78","10,597,473.95","5,156,092.98","1,704,674.26","2,058,348.54","3,702,896.87","4,514,219.21","713,313.47","1,491,765.84","2,457,204.96","2,954,163.18","280,883.73","880,134.20","1,042,882.19","1,839,104.46","1,496,872.97","2,439,027.17","4,817,142.54","5,416,476.07","1,543,030.73","9,310,845.94","13,176,004.83"
管理费用,"136,609,942.63","200,678,503.84","307,655,888.09","139,141,670.38","209,320,086.31","405,811,598.89","92,099,626.78","237,808,632.37","230,199,913.23","360,442,637.28","94,373,609.53","201,952,436.07","331,139,682.30","472,189,793.46","95,483,875.67","223,481,094.52","330,676,557.37","478,368,421.50","97,973,177.22","189,440,683.60","268,768,745.75","379,633,468.57","108,795,288.92","186,530,870.16","283,474,079.97","398,853,916.78","84,194,423.69","174,392,612.75","261,360,585.92","384,119,603.23","78,646,378.64","282,490,223.31","459,800,052.13"
其中:非流动资产处置净损失,"344,857.14","321,381.84","351,622.55","43,015.90","43,136.15","55,198.59",,,"101,260.27","3,714.42","37,166.78","149,361.79","188,003.74","456,303.25","88,176.84","261,561.12","396,320.36","505,192.98","597,103.47","651,393.33","1,114,833.01","1,196,919.16","194,533.58","732,816.85","783,140.79","1,228,691.59","13,954.35","648,007.36","887,473.86","1,648,103.62","706,377.65","4,158,796.25","3,397,079.94"
