科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"111,518,699.68","105,058,145.74","144,798,374.45","226,544,771.97","306,689,303.58","160,221,523.26","135,941,902.78","150,087,156.53","162,341,688.11","133,703,787.94","115,424,402.86","71,386,764.16","140,525,801.85","115,438,420.65","160,781,178.87","143,808,221.56","192,343,957.17","150,788,000.58","159,116,674.41","120,585,966.45","153,017,968.08","66,855,565.90","35,521,140.62","75,524,200.60","57,166,960.07","52,470,014.73","152,517,804.42","90,108,143.39","68,413,029.55","13,498,423.39","28,947,631.47","64,623,405.70","89,844,136.20","9,861,713.75","7,734,578.73","18,936,868.69","10,268,582.07","24,679,533.06","10,441,063.60","16,850,182.52","24,696,225.14","51,809,729.43","49,321,856.09"
短期借款,"5,000,000.00",,"4,500,000.00","4,500,000.00","4,500,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,"50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","40,000,000.00","40,000,000.00","50,000,000.00","40,000,000.00","40,000,000.00","40,000,000.00",,"40,000,000.00","40,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"600,000.00","100,000.00","898,135.00","850,000.00","2,450,000.00","1,941,658.86","5,870,000.00","10,330,000.00","4,710,000.00","8,020,000.00","9,676,920.00","8,980,000.00","6,380,000.00","11,560,000.00","15,370,000.00","12,700,000.00","13,200,000.00","17,920,000.00","19,150,000.00","15,500,000.00","6,520,000.00","18,000,000.00","4,400,000.00",,"2,950,000.00","4,650,000.00","800,000.00","300,000.00",,"1,200,000.00",,,"1,400,000.00",,,"777,150.00",,,,,"500,000.00",,"500,000.00"
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50,000,000.00","50,000,000.00",,,,,,,,,,"46,600,000.00",
应收账款,"2,106,819.98","2,186,690.60","1,972,686.08","2,903,257.70","3,214,616.31","507,133.96","2,301,921.13","110,622.38","88,330.38","75,288.02","830,906.26","22,124.65","67,565.30","327,438.45","540,900.85","12,580.02","4,567,744.50","5,772,743.79","9,227,413.88","2,253,172.57","9,017,824.18","7,828,897.98","10,297,581.91","5,811,525.77","6,975,308.22","5,773,111.00","3,614,275.00","3,000,000.00","41,403,362.52","12,736,861.45","12,698,514.34","29,145,068.67","15,393,429.71","14,998,983.28","31,053,037.53","19,040,501.66","7,509,545.85","10,978,085.52","3,000,000.00",,"3,962,300.06","3,000,000.00","3,073,105.00"
应付账款,"4,980,776.49","4,433,031.84","4,755,552.14","39,703,393.18","14,837,473.15","10,274,462.10","957,356.22","4,130,749.41","287,033.95","845,524.56","2,057,454.38","1,643,632.70","1,252,047.34","1,563,413.23","2,076,346.28","1,846,216.24","2,451,704.77","2,731,545.15","24,052,940.46","3,620,886.03","3,720,201.08","4,853,178.94","9,601,010.82","3,679,468.30","24,820,014.34","83,033,184.20","159,384,656.75","127,950,199.77","137,863,004.99","65,732,799.60","8,390,834.15","6,594,056.09","108,109,952.58","29,285,008.79","54,784,998.59","22,422,719.05","14,703,184.25","44,429,774.18","24,481,391.33","47,894,600.82","115,004,409.30","54,329,436.84","59,042,989.20"
预付款项,"19,061,490.54","17,737,884.41","17,976,441.74","3,552,700.60","10,280,653.60","10,299,965.00","10,362,801.49","10,359,790.00","1,142,412.81","2,042,045.21","2,475,747.04","79,058,292.12","14,151,045.76","3,012,759.81","8,882.11","69,775.50","2,888.50","15,740.82","130,285.01","100,250.58","743,902.98",65.22,"543,295.00","1,857,559.79","486,672.16","299,317.10","169,654.62","618,598.30","233,416.23","141,087.25","3,966,685.91","2,541,825.64","4,149,986.60","2,565,770.98","4,397,080.85","2,738,740.70","4,714,355.83","3,404,883.94","1,581,028.10","2,013,912.52","11,614,811.08","5,012,301.75","4,188,019.18"
预收款项,"8,504,200.50","5,312,184.98","5,275,255.00","3,984,533.34","4,037,526.97","5,584,530.78","8,806,618.58","10,629,695.18","8,524,815.55","5,112,184.02","11,309,584.16","9,000,388.36","18,443,739.35","7,758,163.79","21,217,308.26","57,475,214.28","30,064,019.52","6,123,850.13","7,745,434.83","27,941,844.10","23,268,147.29","7,335,660.94","5,183,198.04","30,528,760.56","5,063,430.51","5,080,116.22","10,080,907.46","54,453,058.97","42,593,010.38","5,338,374.73","10,901,722.05","26,463,936.03","8,894,742.16","8,846,575.74","9,970,573.76","14,600,590.57","9,931,468.34","9,894,370.60","14,070,050.77","11,927,184.73","11,095,792.48","17,778,879.18","28,990,920.00"
其他应收款,"46,496,857.05","37,025,517.11","37,068,269.97","66,930,246.54","11,334,376.48","29,378,464.88","18,118,877.42","20,162,197.04","20,775,270.66","18,064,760.61","18,081,505.75","17,079,923.33","14,677,654.96","9,720,886.60","10,210,743.26","3,588,405.91","4,268,645.13","7,292,008.66","7,987,533.44","6,458,470.47","6,970,267.56","6,844,557.93","15,776,225.93","5,554,607.55","7,582,115.40","14,363,533.63","15,297,337.89","23,969,213.41","39,960,625.83","15,978,312.14","28,875,775.84","7,800,430.22","8,946,833.48","9,114,181.98","10,101,324.70","1,678,070.22","6,920,679.39","3,754,228.70","2,835,551.15","2,159,388.12","2,570,751.94","4,012,800.91","3,149,796.85"
应付职工薪酬,"3,249,632.81","3,093,137.03","2,736,406.53","2,243,968.46","2,312,588.34","2,489,266.29","2,720,566.51","2,057,676.62","2,462,123.04","2,281,149.81","2,380,164.11",630.00,"93,539.79","186,485.22","90,911.53",,"1,696,651.87","224,534.29","190,991.97",465.50,"167,745.06","181,319.55",,,,,,,,,,,,,,,,,,"4,278,445.17",,,
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
