科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"161,701,511.68","208,909,182.12","265,090,237.85","191,456,347.12","301,555,704.46","18,332,178.92","100,461,847.68","223,321,504.89","349,518,030.55","24,011,058.87","117,189,816.49","246,756,118.16","339,688,681.23","20,727,853.12","150,794,105.43","276,024,545.37","366,792,642.54","16,172,724.91","89,245,475.43","246,865,221.39","394,149,391.95","135,030,106.29","264,005,909.32","417,759,713.88","635,590,121.68","65,326,874.85","118,799,994.79","253,392,318.63","399,863,958.63","115,437,119.64","304,688,287.12","485,424,732.15","816,600,130.36","305,646,642.15","764,017,739.27"
二、营业利润,"33,862,530.81","40,903,615.63","54,885,524.03","34,210,725.70","66,709,511.31","-11,846,728.17","7,715,207.81","48,576,518.51","86,183,732.74","-8,623,297.27","11,497,508.73","58,112,536.45","66,467,401.41","-19,586,326.66","16,701,849.47","38,092,879.04","34,312,566.95","-16,125,478.70","-18,928,167.72","12,467,424.55","34,300,211.21","-8,886,214.89","-30,981,998.76","-20,990,005.20","-51,056,866.29","-28,903,831.81","-32,310,729.72","-16,299,410.57","-5,818,234.87","-24,495,786.13","-14,833,651.26","-8,913,563.27","28,085,851.26","17,802,907.21","81,037,075.92"
减:营业成本,"84,150,317.47","110,410,371.33","135,774,137.57","95,329,944.21","143,247,001.12","7,948,012.64","47,755,581.62","102,956,232.04","160,973,381.57","11,489,082.12","52,331,926.95","104,846,176.00","152,803,985.62","10,200,344.04","68,916,606.58","124,350,186.92","183,435,262.80","9,599,274.02","50,505,373.15","143,674,631.82","230,907,650.92","48,511,261.89","120,327,392.08","193,920,965.70","325,488,961.79","38,633,025.43","64,695,800.59","136,706,740.70","217,210,247.92","71,553,164.97","176,961,590.08","270,315,802.57","503,004,960.77","184,357,849.56","328,793,633.65"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,804,151.21","2,535,539.08","2,991,799.53","2,139,545.03","3,841,961.80","118,704.69","1,000,653.95","3,837,537.93","4,915,162.57","713,651.45","2,702,137.41","5,706,806.31","7,862,888.19","374,357.92","3,395,548.08","8,569,797.69","7,079,391.25","248,574.98","1,608,402.78","3,850,703.41","5,354,952.82","7,705.78","1,695,328.52","3,421,556.56","5,955,717.58","631,980.44","692,365.60","690,561.56","877,254.75","145,713.17","521,681.20","693,357.75","3,961,478.59","23,649.69","213,763.12"
营业外收入,"1,482,906.57","2,180,990.59","2,990,922.10","2,377,748.61","5,131,885.41",,"2,916,000.00","3,335,591.19","4,516,226.16","1,440,000.00","5,929,500.00","5,984,500.00","5,689,898.88","1,440,000.00","4,167,809.73","5,542,440.96","3,986,034.22",,"406,568.28","3,043,791.44","5,174,598.67","566,435.73","922,871.46","2,694,652.44","5,632,541.25","519,002.29","6,818,316.75","9,240,856.45","9,987,793.19","1,225,129.84","13,603,280.59","15,436,512.35","13,207,254.30","84,608.44","28,453,302.41"
销售费用,"22,493,082.39","30,703,381.66","44,397,386.36","38,104,030.08","55,153,182.00","17,292,172.65","34,494,656.00","55,202,581.01","76,157,316.03","18,666,700.94","44,525,432.12","67,573,036.69","92,976,107.71","25,087,157.40","58,651,233.02","90,283,130.94","110,921,810.95","23,619,466.94","53,794,444.94","79,006,958.95","106,643,120.84","78,210,646.31","135,951,599.25","192,383,865.60","259,106,489.97","39,208,123.18","69,594,033.52","101,640,214.76","155,186,174.97","53,461,650.05","109,525,637.73","167,434,651.50","191,650,422.88","65,110,704.06","277,315,456.13"
减:营业外支出,"2,773,138.03","41,035.44","69,107.67","3,327.75","3,327.75",,,,,,"40,676.31","336,226.59","399,248.69",,"56,395.98","79,123.65","2,671,148.09","38,544.23","40,247.23","43,678.85","1,902,662.22","308,221.33","732,470.28","876,972.36","6,113,640.00","150,907.93","6,136.88","6,179.39","253,571.56","3,291.21","1,695,001.13","1,604,446.73","63,472.73","6,363.26","10,487.40"
管理费用,"17,605,880.20","21,681,264.13","23,745,661.84","19,342,375.67","29,738,850.10","7,663,524.21","15,786,279.35","24,400,058.97","36,457,020.33","7,239,699.22","17,659,207.99","26,248,905.09","39,526,354.48","10,057,569.27","20,333,390.76","29,907,599.03","50,107,386.08","9,767,609.38","22,804,060.81","36,238,326.85","50,574,909.47","16,458,942.20","33,617,601.43","48,338,091.47","67,303,656.59","15,332,882.32","27,017,807.86","42,272,355.78","47,226,551.49","13,923,849.39","28,589,139.27","44,006,200.09","73,534,679.39","33,735,086.70","71,032,969.89"
其中:非流动资产处置净损失,,,,,,,,,,,,,"399,248.69",,,,"2,596,178.10","38,544.23",,,"1,892,580.49","172,756.95","585,439.77","681,365.50","5,662,912.49","150,907.93","5,931.67","5,974.18","55,688.51",,"1,691,717.76","1,604,446.73",,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"2,191,408.10","2,520,509.92","2,657,824.41","1,040,189.12","1,963,203.00","-2,843,507.10","-6,237,770.27","-12,746,118.73","-17,618,803.70","-5,595,749.55","-11,518,932.05","-16,614,856.22","-21,077,358.21","-4,340,885.74","-6,765,378.53","-9,020,908.76","-11,271,515.99","-2,845,290.22","-4,811,518.08","-5,639,028.89","-5,992,812.73","917,385.42","3,227,411.22","-889,738.81","-2,860,817.26","2,529,509.23","-3,364,305.21","-5,422,349.54","-15,433,167.95","2,052,694.80","10,160,840.12","19,628,241.88","30,531,288.95","6,661,538.90","10,142,595.52"
三、利润总额,"32,572,299.35","43,043,570.78","57,807,338.46","36,585,146.56","71,838,068.97","-11,846,728.17","10,631,207.81","51,912,109.70","90,699,958.90","-7,183,297.27","17,386,332.42","63,760,809.86","71,758,051.60","-18,146,326.66","20,813,263.22","43,556,196.35","35,627,453.08","-16,164,022.93","-18,561,846.67","15,467,537.14","37,572,147.66","-8,628,000.49","-30,791,597.58","-19,172,325.12","-51,537,965.04","-28,535,737.45","-25,498,549.85","-7,064,733.51","3,915,986.76","-23,273,947.50","-2,925,371.80","4,918,502.35","41,229,632.83","17,881,152.39","109,479,890.93"
资产减值损失,"-405,858.50","154,500.37","637,904.11","1,289,537.31","1,382,162.67",,"-52,760.78","1,094,695.16","2,450,221.01","120,971.96","-7,464.66","883,513.84","1,129,302.03","-1,064,363.11","-324,927.57","433,594.75","1,302,456.63","61,325.62","236,946.16","1,490,124.48","5,630,122.79","-189,620.42","168,575.58","1,574,978.56","31,652,979.30","-2,104,813.94","-3,753,384.82","-1,926,964.74","8,677,437.47","-956,653.11","-2,277,697.26","-1,234,880.69","-2,858,630.73","-2,028,433.23","-643,001.57"
