科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"158,889,358.59","182,178,817.23","219,909,451.22","114,689,379.60","184,673,565.47","276,332,608.09","77,424,897.72","179,007,017.24","295,271,583.82","445,831,469.05","179,348,277.72","373,311,016.25","582,946,278.13","793,338,297.76","216,263,955.01"
取得子公司及其他营业单位支付的现金净额,,"14,124,439.49","1,475,595.56",,,,,,,,,,,,
收到的税费返还,,"9,228.01",,,,,,,,,,,"1,044,634.00","1,044,634.00",
支付其他与投资活动有关的现金,"200,000.00","1,800,000.00",,,,,,,,,,,,,
收到其他与经营活动有关的现金,"4,806,248.13","4,801,290.51","2,572,847.28","1,672,543.85","1,403,455.68","1,374,692.44","893,101.62","1,602,711.55","1,741,255.04","2,484,661.45","1,092,554.72","1,241,200.31","1,921,590.57","2,666,271.83","559,113.79"
投资活动现金流出小计,"41,807,652.05","44,992,757.50","30,107,079.29","22,269,757.73","35,349,193.32","45,628,755.55","160,858,882.97","202,135,362.18","373,420,984.50","447,318,479.98","242,356,957.26","332,551,304.65","457,942,809.94","576,150,705.89","23,081,040.74"
经营活动现金流入小计,"163,695,606.72","186,989,335.75","222,482,298.50","116,361,923.45","186,077,021.15","277,707,300.53","78,317,999.34","180,609,728.79","297,012,838.86","448,316,130.50","180,440,832.44","374,552,216.56","585,912,502.70","797,049,203.59","216,823,068.80"
投资活动产生的现金流量净额,"-41,805,652.05","-42,583,996.18","-29,849,822.63","-22,269,403.88","-35,348,625.88","-45,628,188.11","-160,858,882.97","-50,739,768.58","-175,621,301.25","-182,114,011.67","-45,930,087.50","-25,807,966.07","-50,831,009.95","-103,756,583.94","9,470,861.08"
购买商品、接受劳务支付的现金,"45,508,634.71","49,883,092.52","51,522,589.99","35,285,018.83","49,838,608.69","65,405,148.82","18,890,794.80","31,052,155.33","44,350,005.41","52,644,517.90","14,057,110.96","38,210,141.86","62,308,373.57","84,406,528.74","26,159,334.99"
吸收投资收到的现金,,,,,,,"207,757,000.00","207,757,000.00","207,757,000.00","207,757,000.00",,,,,
支付给职工以及为职工支付的现金,"17,678,404.00","27,647,055.95","32,279,622.46","18,930,881.49","29,270,590.14","37,601,901.65","12,861,287.14","22,713,545.84","31,194,600.91","42,506,978.31","13,803,890.35","26,104,702.00","37,749,628.60","49,808,635.92","19,993,434.24"
取得借款收到的现金,"22,000,000.00","46,400,000.00","37,700,000.00","37,000,000.00","42,400,000.00","42,400,000.00","12,600,000.00","12,600,000.00","12,600,000.00","42,600,000.00","40,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00","40,000,000.00"
支付的各项税费,"18,894,695.32","26,277,667.16","32,227,967.12","20,135,670.83","30,731,812.27","42,452,083.71","13,330,443.22","27,309,704.39","46,268,293.27","71,505,273.09","30,376,311.98","55,431,975.56","85,767,780.43","115,775,046.35","36,734,271.51"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"36,449,207.27","58,888,292.58","52,549,643.56","37,353,593.55","66,170,443.09","94,510,375.38","34,187,082.48","73,341,713.40","134,005,813.43","235,101,879.38","112,285,764.60","228,241,664.62","354,061,235.47","469,848,238.21","133,356,944.15"
筹资活动现金流入小计,"22,000,000.00","46,400,000.00","37,700,000.00","37,000,000.00","42,400,000.00","42,400,000.00","220,357,000.00","220,357,000.00","220,357,000.00","250,357,000.00","40,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00","40,000,000.00"
