科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"1,529,873,451.10","1,715,488,952.92","1,916,333,390.12",,"919,734,866.76","1,529,072,471.32","2,396,390,883.07","477,720,471.37","1,219,304,158.29","1,922,405,311.94","2,907,026,135.53","581,210,665.77","1,408,070,472.11","2,160,492,462.25","3,136,669,605.60","593,547,818.55","1,359,740,238.97","2,134,775,115.06","3,037,925,838.42","713,803,093.28"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,"115,039,899.73",
收到的税费返还,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,"1,739,893.30","3,000.00","3,808,236.00",,"959,190.00","1,659,190.00","23,899,564.79",,"3,100,000.00","3,100,000.00","6,842,000.00",,"1,934,700.00","2,834,700.00","2,834,700.00",,"5,000,000.00","8,410,000.00","14,741,071.80","3,337,537.67"
收到其他与经营活动有关的现金,"70,936,758.03","57,578,509.89","47,757,297.78",,"19,313,589.19","26,270,438.70","40,018,137.42","8,820,668.86","25,747,987.91","223,816,272.01","240,836,535.37","148,951,460.90","206,650,425.31","228,736,591.91","255,072,267.50","9,199,625.47","60,458,135.17","79,156,229.04","112,775,006.92","12,219,276.65"
投资活动现金流出小计,"380,646,627.19","815,460,425.15","2,348,182,734.38",,"2,227,175,718.17","2,575,925,447.82","3,261,977,691.16","576,238,024.36","1,567,481,971.98","2,318,532,104.08","3,104,757,631.71","727,848,051.61","1,594,161,348.90","2,419,325,312.59","3,478,466,511.81","1,240,307,379.99","2,010,632,557.04","3,105,158,537.57","3,438,230,908.69","962,834,955.59"
经营活动现金流入小计,"1,600,810,209.13","1,773,067,462.81","1,964,090,687.90",,"939,048,455.95","1,555,342,910.02","2,436,409,020.49","486,541,140.23","1,245,052,146.20","2,146,221,583.95","3,147,862,670.90","730,162,126.67","1,614,720,897.42","2,389,229,054.16","3,391,741,873.10","602,747,444.02","1,420,198,374.14","2,213,931,344.10","3,150,700,845.34","726,022,369.93"
投资活动产生的现金流量净额,"-82,789,823.12","3,247,831.74","-34,422,635.21","-275,929,600.00","-45,582,310.50","-331,487,224.32","-261,766,096.67","92,307,394.67","-148,534,520.66","-394,728,114.42","-250,161,772.26","-259,807,983.47","-13,971,713.68","-348,765,336.59","75,817,967.14","-923,484,508.58","-965,657,269.19","-1,163,528,865.95","-755,638,616.72","-723,810,507.24"
购买商品、接受劳务支付的现金,"138,659,159.93","115,471,015.88","130,946,604.15",,"67,817,416.79","111,039,375.71","134,465,725.13","38,177,682.97","80,676,959.29","128,106,889.70","173,197,358.62","60,784,159.57","121,775,030.31","176,338,588.20","285,613,237.85","49,346,175.99","103,785,749.62","171,661,146.63","248,558,206.10","39,746,999.55"
吸收投资收到的现金,,,,,"586,913,040.00","586,913,040.00","591,834,895.20","182,173,663.20","182,173,663.20","182,173,663.20","187,069,663.20",,,,,,,,,
