科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"214,077,546.01","295,113,511.69","318,066,695.62","176,153,007.60","268,018,605.96","361,500,588.40","109,179,934.10","232,421,861.72","331,921,009.68","446,582,232.81","92,265,617.22","200,550,587.03","305,776,990.50","409,174,526.14","112,710,934.93","278,240,887.08","401,574,892.10","533,773,271.43","152,923,463.15","302,405,469.65","456,434,336.74","654,480,344.96","188,133,824.75","377,858,995.73","573,749,037.03","772,973,746.08"
二、营业利润,"52,224,871.13","68,869,062.04","74,117,516.14","45,497,769.63","66,284,120.02","92,495,950.80","29,332,416.35","62,940,313.65","89,983,527.91","114,904,570.90","22,665,868.42","50,869,022.44","78,567,812.39","104,874,536.87","28,979,046.26","76,190,056.55","108,145,121.27","144,678,667.56","39,788,188.64","83,596,276.33","124,440,625.73","190,950,754.71","59,606,170.84","108,118,921.74","162,076,704.48","218,744,945.06"
减:营业成本,"136,563,188.87","193,028,237.04","206,916,494.74","111,726,721.94","172,282,410.69","231,166,275.98","70,971,135.61","150,440,092.58","215,080,120.76","297,202,187.22","60,936,999.46","130,396,998.97","198,920,513.76","265,619,171.58","73,495,601.50","174,409,849.20","252,163,904.18","328,320,064.10","96,198,093.61","189,259,327.39","283,691,989.20","394,702,051.52","110,435,813.94","230,047,320.54","354,207,481.82","460,858,548.65"
加:补贴收入,"435,350.00","1,611,823.55","3,433,493.15",,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,492,253.77","1,678,842.60","2,136,043.53","1,288,049.31","1,656,896.39","2,239,507.47","697,719.26","1,514,504.76","2,196,904.39","2,863,596.57","905,279.97","1,630,421.85","2,392,978.83","3,043,764.87","886,116.45","1,790,782.32","2,297,281.92","2,993,647.85","1,215,874.60","1,780,391.70","2,859,844.24","5,657,551.55","1,413,420.25","3,041,914.39","3,818,891.11","5,684,147.53"
营业外收入,,,,"1,796,747.88","1,970,817.82","2,120,291.76","1,588,074.90","2,827,590.80","3,140,206.70","3,841,122.60","90,915.90","1,919,889.16","2,031,205.06","2,662,027.19","60,915.90","1,917,891.87","2,103,085.89","3,954,672.27","114,807.25","2,704,737.99","4,141,503.89","4,210,329.94","234,915.90","150,118.96","150,118.96","143,037.30"
销售费用,"5,829,025.01","6,879,686.52","7,398,879.92","3,792,192.29","5,945,305.51","8,134,207.54","2,392,646.91","5,015,950.28","7,401,272.27","9,805,612.53","2,351,511.87","4,097,173.41","6,899,616.61","9,969,272.70","2,382,248.55","5,070,728.99","8,139,885.76","11,724,228.63","3,958,722.90","6,368,563.70","10,117,341.69","13,686,833.01","3,091,985.91","6,421,041.15","9,086,570.93","15,106,637.49"
减:营业外支出,"320,497.91","585,564.88",,,,,,,"32,400.00","32,400.00",,"5,000.00","5,000.00","46,699.02",,"139,030.47","139,030.47","139,030.47",0.01,"13,470.26","13,536.01","404,952.33",5.98,"10,005.98","34,141.84","110,622.40"
管理费用,"13,620,768.87","19,244,148.98","19,661,131.78","9,204,975.02","17,858,203.26","26,142,337.04","6,027,096.39","14,759,280.55","21,401,913.05","29,930,003.27","7,089,699.01","15,490,173.33","22,518,370.16","31,393,737.30","7,486,462.32","19,296,748.39","30,153,239.66","44,668,801.95","10,727,548.24","21,460,383.60","35,012,706.70","52,775,070.05","12,879,010.44","25,316,302.23","44,385,992.24","70,376,827.91"
其中:非流动资产处置净损失,"23,791.98","-354,798.55","-271,502.65",,,,,,,,,,,"41,699.02",,"6,528.89","6,528.89","6,528.89",,"12,638.10","12,638.10","9,725.48",,,,
