科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"172,248,143.91","216,606,423.57","254,616,261.93","46,836,747.58","132,926,994.31","203,094,123.36","302,302,249.94","72,325,012.49","154,916,305.13","224,493,122.12","230,602,108.78","73,318,880.07","80,706,140.02","141,079,935.39","240,464,923.31","42,517,085.88"
取得子公司及其他营业单位支付的现金净额,,,,,,,,"20,000,000.00",,,,,,,"417,315.38",
收到的税费返还,,,"4,670.97",,,,,,"316,901.33","316,901.33",,,"430,727.10","430,727.10","430,727.10",
支付其他与投资活动有关的现金,"673,553.96","1,000,000.00",,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"4,366,475.18","749,673.33","1,866,777.35","2,261,947.77","2,496,700.87","3,791,439.35","5,318,467.91","187,219.37","1,476,820.85","1,998,151.43","4,658,628.17","70,567.63","850,796.00","2,010,270.76","3,155,964.13","570,633.67"
投资活动现金流出小计,"32,159,886.44","52,542,250.83","42,924,214.80","16,807,066.38","19,611,486.58","27,874,699.94","248,939,915.99","46,881,776.87","150,533,695.92","308,332,348.30","328,200,844.17","128,733,877.30","138,310,341.22","399,795,683.77","500,811,773.58","143,201,081.34"
经营活动现金流入小计,"176,614,619.09","217,356,096.90","256,487,710.25","49,098,695.35","135,423,695.18","206,885,562.71","307,620,717.85","72,512,231.86","156,710,027.31","226,808,174.88","235,260,736.95","73,389,447.70","81,987,663.12","143,520,933.25","244,051,614.54","43,087,719.55"
投资活动产生的现金流量净额,"-28,087,311.49","-31,514,828.17","-41,366,613.05","-16,807,066.38","-19,611,486.58","-27,841,884.41","-135,578,573.45","-33,799,142.78","-27,767,320.84","-81,270,393.63","-80,520,230.87","24,436,269.99","16,650,702.73","12,552,593.40","11,926,932.86","-1,966,901.45"
购买商品、接受劳务支付的现金,"107,129,053.65","135,114,233.99","133,446,269.90","27,281,039.68","85,261,114.43","137,146,955.71","183,431,837.35","56,613,476.88","108,523,448.96","158,462,704.32","113,090,973.99","55,901,163.62","28,564,468.06","51,148,392.64","103,478,112.90","30,038,709.81"
吸收投资收到的现金,,,,,"290,228,500.00","290,228,500.00","290,228,500.00",,,,,,"9,781,050.00","9,781,050.00","9,781,050.00",
支付给职工以及为职工支付的现金,"19,234,126.94","22,615,730.80","26,436,279.05","8,575,977.18","17,334,661.33","24,162,816.74","31,889,826.18","14,898,737.28","22,551,985.67","30,860,988.30","38,625,804.58","15,634,750.26","23,861,885.98","32,777,636.59","42,496,127.37","15,333,515.30"
取得借款收到的现金,"10,000,000.00","43,477,764.18","77,400,000.00","19,600,000.00","29,400,000.00","29,400,000.00","29,400,000.00","5,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","5,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00",
支付的各项税费,"20,872,845.78","24,489,879.81","29,184,550.95","5,493,458.42","15,487,081.45","25,466,890.15","34,060,172.24","2,685,130.95","11,506,789.68","20,439,086.93","28,019,387.75","1,871,838.21","13,222,211.60","22,812,673.99","34,012,353.35","3,817,606.79"
收到其他与筹资活动有关的现金,"3,000,000.00","1,000,000.00","71,985.96",,,,,,,,,,,,,
支付其他与经营活动有关的现金,"9,174,903.40","9,533,516.99","8,623,606.33","1,851,929.19","1,042,062.55","8,221,021.84","12,034,752.65","3,863,511.23","5,424,189.70","8,970,527.33","14,593,571.56","4,367,924.85","3,972,894.08","9,756,250.32","10,941,772.10","6,187,605.12"
筹资活动现金流入小计,"13,000,000.00","44,477,764.18","77,471,985.96","19,600,000.00","319,628,500.00","319,628,500.00","319,628,500.00","5,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","5,000,000.00","19,781,050.00","19,781,050.00","19,781,050.00",
