科目,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"24,959,493.17","13,938,716.25","275,826,910.34","266,983,017.52","265,441,407.32","234,985,822.05","245,492,844.02","256,414,955.76","262,018,555.73","207,808,213.60","201,596,878.14","184,555,849.38","187,179,941.33","149,757,445.22","120,866,746.69","95,748,445.72","92,437,398.56","56,059,805.72","65,874,830.01","71,903,985.23","90,203,492.28","366,120,284.76","370,048,439.42","368,880,410.63","151,901,265.60","178,857,451.15","72,053,744.21","99,951,106.14","54,521,750.11","38,720,024.18","136,087,538.36","49,163,644.46","87,897,786.09","209,730,337.68","738,592,810.32","200,665,441.89","296,284,318.91","226,250,128.31","228,842,045.55","145,090,559.77"
短期借款,,"5,500,000.00",,,,,,,,,,,,,"26,000,000.00",,"5,000,000.00","5,000,000.00","13,700,000.00","9,000,000.00",,,,,,"2,839,510.00",,,,,,,,,,,,,,"40,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"3,121,528.08","803,100.00","546,540.00","1,012,370.99","454,050.00","1,649,010.00","2,404,189.50","1,923,417.50","430,000.00","1,891,612.40","2,584,127.80","1,015,970.24","7,065,098.24","3,051,537.17","3,291,549.07","12,612,120.65","20,708,705.66","2,971,873.31","10,324,540.77","2,645,830.30","19,139,721.41","2,380,568.08","10,988,636.71","12,483,656.63","27,372,540.53","6,456,279.84","12,365,397.68","8,367,925.01","58,741,055.34","15,487,860.43","23,811,780.47","13,159,499.47","48,312,594.86","9,937,492.34","22,936,641.36","8,267,718.70","43,319,807.12","14,361,032.67","32,373,634.32","11,308,661.75"
应付票据,"34,756,246.26","34,889,290.67","52,708,344.66","60,610,849.79","45,593,674.74","27,546,867.25","27,327,849.74","35,312,774.55","46,458,455.67","70,260,373.51","66,215,484.97","21,219,211.39","22,156,019.68","31,723,248.47","37,885,181.16","39,436,791.44","20,789,360.62","25,080,543.09","50,773,173.65","54,342,438.67","34,795,464.08","41,145,967.84","58,288,366.98","71,914,258.75","56,071,194.73","37,075,979.30","76,118,426.14","90,145,169.92","35,613,598.79","9,985,135.23","22,793,314.99","49,130,218.29","48,467,497.10","31,141,370.77","56,137,956.84","97,347,364.85","83,029,458.85","62,563,854.80","95,596,963.76","114,744,385.84"
应收账款,"13,179,137.29","22,843,234.22","27,849,726.65","25,859,023.99","16,391,506.17","23,238,040.05","30,476,066.49","32,769,295.74","25,851,466.02","42,930,236.34","47,102,852.53","48,718,153.51","33,998,823.25","60,846,721.93","77,252,317.03","84,843,148.93","51,516,478.06","93,062,326.83","115,627,191.56","131,260,793.52","69,062,281.07","112,754,968.98","147,830,860.90","163,280,724.21","78,394,919.36","137,710,910.69","165,391,383.51","203,751,778.54","104,268,734.98","169,007,846.97","200,750,925.73","235,080,373.21","123,032,888.91","188,032,829.73","645,436,314.13","818,380,560.90","537,062,033.52","782,419,711.54","893,329,855.93","1,191,595,922.47"
应付账款,"16,451,002.66","17,411,178.10","20,191,564.56","17,659,065.34","17,145,907.36","20,835,591.69","38,462,955.28","38,883,482.71","29,163,984.03","34,252,940.10","42,966,397.90","43,707,945.65","33,100,651.43","38,025,370.16","40,534,074.57","55,097,613.67","67,663,062.59","67,166,863.80","80,384,352.22","85,488,556.09","81,757,340.04","88,304,978.11","116,220,242.12","105,214,958.11","96,106,920.22","105,744,673.62","107,263,920.84","107,910,090.54","96,527,238.65","93,731,645.65","137,457,503.52","132,603,908.77","110,413,891.75","114,447,403.80","323,248,724.18","368,183,887.05","209,634,922.07","285,499,967.87","323,485,533.37","432,104,234.00"
预付款项,"6,207,123.52","9,795,871.93","20,201,742.43","33,935,694.37","30,595,430.22","29,992,885.21","14,476,629.85","20,329,588.57","29,251,054.57","39,152,644.78","30,222,757.68","18,438,018.03","23,387,409.59","32,811,605.20","51,639,746.79","41,553,249.93","23,426,434.81","32,819,562.65","27,768,415.82","23,307,101.95","9,857,546.11","20,776,939.46","7,085,996.50","11,778,288.71","18,820,149.72","16,935,284.48","11,319,853.74","11,650,501.65","7,562,774.93","7,152,075.53","9,047,123.97","9,328,421.39","12,560,575.83","6,503,733.20","34,827,415.29","26,194,505.89","27,764,179.37","53,580,503.05","85,549,546.71","153,400,859.48"
预收款项,"1,422,226.38","1,698,636.16","1,747,565.01","2,189,907.78","1,731,218.76","1,838,189.62","1,750,061.41","1,596,488.35","1,884,693.30","2,349,773.18","2,406,307.58","2,703,247.81","3,550,057.70","1,972,394.72","3,581,962.25","4,189,469.54","5,562,699.51","4,899,857.08","4,594,902.50","4,898,635.72","9,260,190.78","3,351,218.91","5,128,255.47","5,544,628.76","7,258,832.00","5,763,319.92","4,671,946.16","5,303,710.45","6,968,647.84","4,567,331.90","4,340,675.15","5,544,807.55","7,584,439.51","4,597,242.99","14,135,716.83","13,471,211.15","20,311,494.53","16,241,633.40","25,066,798.65","33,464,864.07"
