科目,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"52,412,698.51","122,583,691.00","237,002,706.76","312,748,571.99","73,319,874.61","170,723,409.05","282,575,775.87","389,896,648.26","92,021,548.00","194,452,373.13","317,194,792.90","417,007,316.37","86,303,645.30","200,509,368.87","342,501,988.35","448,904,610.85","112,350,812.09","221,901,785.73","372,130,178.48","499,833,566.62","201,941,710.63","375,439,237.08","717,625,900.44","864,362,414.80","127,034,556.79","289,406,092.79","625,549,535.95","938,348,490.46","266,563,983.21","557,396,324.13","942,003,397.66","1,130,387,749.21","180,096,361.96","373,986,663.47","698,472,932.33","897,759,320.43","170,172,272.88"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,"7,550,116.01","7,550,116.01","7,550,116.01",,"51,883.60",,,,"6,973.93",,,,,,,,,,,,,,,"112,000,000.00",,,,"198,095,500.00",,,,"64,172,556.83",,,,"750,000,000.00",
收到其他与经营活动有关的现金,"573,565.87","1,222,463.12","6,435,017.92","12,041,256.38","25,762,641.51","64,738,715.21","162,092,128.48","27,384,945.54","13,221,121.08","47,929,168.95","445,022,283.57","32,982,187.20","25,340,069.03","40,433,516.12","80,212,502.23","58,850,675.25","22,811,374.02","129,610,600.19","197,722,773.37","141,510,898.87","19,497,754.87","43,730,942.55","75,738,427.13","67,031,452.60","34,831,253.31","50,803,385.14","58,410,239.72","96,924,829.37","17,641,844.97","28,758,628.42","58,352,643.55","94,593,092.61","22,213,626.68","39,397,932.18","75,616,298.88","81,619,422.46","46,553,645.99"
投资活动现金流出小计,"9,317,539.59","14,369,130.75","55,258,263.09","127,744,348.42","17,608,938.60","50,593,284.28","713,198,536.70","533,013,438.78","65,141,025.21","145,476,349.09","168,864,166.25","517,225,648.40","28,020,956.74","32,968,757.57","41,426,207.24","91,306,556.72","23,107,719.27","58,954,648.42","104,590,316.14","138,115,797.38","5,578,366.55","8,692,004.42","11,860,971.04","160,499,747.48","20,228,770.98","32,212,193.51","36,872,014.56","234,027,610.27","3,082,702.51","5,514,663.47","12,160,390.73","84,748,708.50","193,478.15","2,689,029.48","9,291,580.52","766,279,140.84","27,884,716.42"
经营活动现金流入小计,"52,986,264.38","123,806,154.12","243,437,724.68","324,789,828.37","99,082,516.12","235,462,124.26","444,667,904.35","417,281,593.80","105,242,669.08","242,381,542.08","762,217,076.47","449,989,503.57","111,643,714.33","240,942,884.99","422,714,490.58","507,755,286.10","135,162,186.11","351,512,385.92","569,852,951.85","641,344,465.49","221,439,465.50","419,170,179.63","793,364,327.57","931,393,867.40","161,865,810.10","340,209,477.93","683,959,775.67","1,035,273,319.83","284,205,828.18","586,154,952.55","1,000,356,041.21","1,224,980,841.82","202,309,988.64","413,384,595.65","774,089,231.21","979,378,742.89","216,725,918.87"
投资活动产生的现金流量净额,"-8,752,728.15","-13,446,395.89","-30,995,386.00","-103,468,957.22","-15,420,397.60","265,925,625.68","-396,679,626.74","-170,321,196.82","-55,647,057.19","-120,489,104.88","-131,775,708.71","-468,954,669.41","-22,126,756.52","-11,890,302.75","-20,249,067.10","-62,973,342.81","-22,723,639.22","-21,456,837.61","-39,295,380.11","-66,513,534.14","-5,320,415.83","-8,276,839.56","-10,391,258.96","-158,606,644.74","-19,496,962.58","-31,340,852.74","-34,409,073.43","-179,388,747.09","-2,226,735.23","-4,498,408.48","18,708,894.92","144,963,249.83","712,664.84","130,059,077.34","21,933,143.00","-607,672,914.58","-27,853,254.68"
购买商品、接受劳务支付的现金,"3,808,792.27","19,878,053.13","85,340,307.42","109,614,923.67","8,237,779.05","16,824,900.18","21,839,612.58","494,578,685.19","16,780,023.86","22,023,226.16","418,999,851.38","497,703,522.44","49,604,710.01","66,098,701.97","85,859,493.28","95,472,088.22","21,811,304.68","38,462,401.79","72,382,085.67","94,993,498.29","49,085,734.71","147,405,361.05","238,350,275.02","348,131,379.44","128,387,281.86","151,761,615.90","271,999,409.07","387,205,870.13","59,552,350.05","76,566,140.48","147,242,607.60","180,627,237.38","55,856,691.86","100,566,614.34","159,939,563.98","182,751,614.06","37,075,675.87"
吸收投资收到的现金,,,,"11,000,000.00",,,,"45,000,000.00",,,,,,,"146,600.00","224,050,000.00",,,,,,,,,,,,,,,,,,,,,
