科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"74,998,450.42","80,082,617.86","59,515,803.34","23,582,473.27","66,997,505.01","11,380,858.90","234,976,797.65","48,874,948.43","92,270,976.32","82,440,320.01","97,127,820.27","104,378,516.82","101,764,923.48","89,640,258.98","83,420,771.65","51,348,428.30","44,017,555.51"
短期借款,"118,000,000.00","160,000,000.00","140,000,000.00","180,000,000.00","170,000,000.00","142,000,000.00","130,000,000.00","90,000,000.00","100,000,000.00","100,000,000.00","70,000,000.00","70,000,000.00","80,000,000.00","110,000,000.00","80,000,000.00","110,000,000.00","110,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,
应收票据,"83,258,751.92","58,743,462.91","69,382,085.51","68,240,103.75","57,872,434.10","47,142,227.60","53,777,891.98","69,113,193.98","78,373,985.81","88,551,290.75","67,270,059.18","100,052,788.35","92,914,282.05","95,952,994.74","92,991,913.35","96,603,165.90","85,455,050.64"
应付票据,"63,930,552.40",,,,,,,,,,,,,,"1,000,000.00","1,000,000.00","1,000,000.00"
应收账款,"88,364,628.58","101,375,110.15","116,208,532.95","133,914,653.33","116,845,842.35","141,537,986.06","128,183,971.89","138,655,170.11","134,852,371.17","150,745,025.71","129,276,702.59","126,362,091.71","145,314,367.42","147,607,559.13","116,891,246.29","124,238,771.90","155,776,518.14"
应付账款,"10,440,833.94","13,671,318.71","25,293,960.54","19,073,071.86","12,021,422.33","7,764,233.92","13,835,734.74","4,712,410.19","8,744,568.23","18,029,425.92","16,256,519.14","14,680,842.26","10,666,093.63","8,648,993.99","14,864,916.12","10,866,182.75","8,963,235.96"
预付款项,"22,399,067.70","7,497,927.81","22,169,418.39","53,731,736.73","22,507,389.50","56,506,177.99","16,868,495.80","59,986,394.16","50,306,240.64","37,714,980.83","34,399,970.63","64,004,615.79","41,841,718.06","75,134,206.57","37,643,192.24","99,764,203.48","42,196,116.61"
预收款项,"10,221,763.70","10,063,052.14","7,983,325.13","11,047,909.10","3,225,453.88","6,511,772.21","4,334,411.16","13,020,891.15","8,946,085.20","15,686,593.22","7,353,020.25","13,723,289.75","3,808,286.38","8,098,579.98","8,909,557.50","10,594,849.74","6,389,601.50"
其他应收款,"2,379,919.39","1,644,114.04","3,095,883.54","7,853,348.26","5,596,301.28","6,363,768.19","2,984,755.58","5,864,107.15","3,491,476.64","14,235,629.08","2,776,818.07","3,293,900.88","3,635,973.88","5,200,228.26","4,512,911.20","6,251,819.40","5,380,725.22"
应付职工薪酬,"692,362.68","573,569.92","1,198,386.90","414,131.90","631,105.03","668,881.63","1,273,835.83","326,037.37","1,635,223.43","1,076,797.00","1,738,746.42","516,144.08","940,780.58","2,435,538.54","2,374,517.48","1,450,322.11","1,031,072.82"
应收关联公司款,,,,,,,,,,,,,,,,,
应交税费,"7,884,071.80","5,690,678.91","8,757,477.33","4,962,650.00","3,662,943.01","8,920,817.54","10,296,388.82","10,558,988.14","6,248,588.24","7,739,208.90","8,560,907.20","8,138,631.54","4,152,094.98","3,541,915.45","4,042,067.62","4,015,274.78","5,225,949.87"
应收利息,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,
存货,"122,135,082.23","132,583,042.84","129,415,326.29","152,574,459.62","154,728,858.02","152,111,388.71","142,912,821.58","142,365,451.22","142,379,114.02","143,030,808.38","135,004,504.90","144,285,972.54","130,733,888.39","132,524,335.23","149,604,097.75","132,520,775.89","156,273,990.16"
其他应付款,"1,426,609.62","1,830,465.47","2,621,498.15","1,427,639.55","156,137.52","167,549.74","5,184,529.08","4,113,519.81","929,146.95","1,545,488.51","3,204,687.84","5,702,363.46","4,469,953.23","3,383,349.87","2,014,921.39","969,671.63","1,267,777.04"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"14,000,000.00",,,,,,,,,,,,,,,,
其他流动资产,"4,407,337.04","4,407,354.29","3,660,720.65","3,294,666.46","2,968,401.20","2,961,761.48","2,954,275.46","82,131,874.68","42,281,801.98","52,184,064.81","72,345,813.70","6,402,767.23","2,181,824.96","1,822,688.14","7,214,030.50","3,470,870.59","2,670,744.47"
其他流动负债,,,,,,,,,,,,,,,,,
流动资产合计,"397,943,237.28","386,333,629.90","403,447,770.67","443,191,441.42","427,516,731.46","418,004,168.93","582,659,009.94","546,991,139.73","543,955,966.58","568,902,119.57","538,201,689.34","548,780,653.32","518,386,978.24","547,882,271.05","492,278,162.98","514,198,035.46","491,770,700.75"
流动负债合计,"226,596,194.14","191,829,085.15","185,854,648.05","216,925,402.41","189,697,061.77","166,033,255.04","164,924,899.63","122,731,846.66","126,503,612.05","144,077,513.55","107,113,880.85","112,761,271.09","104,037,208.80","136,108,377.83","113,205,980.11","138,896,301.01","133,877,637.19"
可供出售金融资产,,,,,,,,,,,,,,,,,
长期借款,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,"1,185,026.61","1,172,973.34","1,160,920.07"
预计负债,,,,,,,,,,,,,,,,,
固定资产,"90,753,923.03","87,586,056.70","94,834,156.39","91,788,966.14","88,872,105.45","86,102,159.01","95,488,097.93","92,391,309.98","90,416,903.35","87,458,122.76","89,625,276.00","86,162,402.14","85,819,141.73","83,050,859.44","79,262,529.57","76,156,488.41","74,459,472.99"
递延所得税负债,,,,,,,,,,,,,,,,,
在建工程,,"3,630,546.43","7,905,857.57","8,768,276.97","11,845,522.66","12,541,176.93","8,295,813.30","9,149,361.82","15,699,617.08","16,950,786.66","25,759,314.91","30,714,064.14","41,747,234.18","51,762,654.89","99,705,930.22","106,177,353.44","111,056,929.54"
其他非流动负债,"4,284,750.00","3,693,750.00",,,,,,,"952,381.00","952,381.00","928,571.48","928,571.48","904,761.96","904,761.96","920,634.98","801,587.36","896,825.46"
工程物资,,,,,,,,,,,,,,,,,
