科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"56,340,130.46","48,878,831.02","56,099,227.97","51,588,414.94","46,590,951.92","157,518,618.98","71,165,771.13","165,246,401.04","107,185,966.53"
短期借款,"20,000,000.00",,,,,,,,
交易性金融资产,,,,,,,,,
交易性金融负债,,,,,,,,,
应收票据,"11,511,134.07","12,485,529.96","30,569,901.70","22,151,761.90","18,720,259.87","19,363,191.67","18,596,863.61","17,152,215.57","2,367,104.77"
应付票据,,,"200,000.00",,,,,,
应收账款,"37,684,865.99","42,399,909.76","39,858,665.26","55,282,189.97","57,611,058.69","53,868,573.08","78,413,471.53","64,602,565.87","67,337,772.59"
应付账款,"28,449,327.86","21,849,259.69","37,992,331.93","27,712,890.78","34,129,746.34","25,117,824.24","26,332,413.33","22,329,562.67","30,227,212.70"
预付款项,"1,045,386.21","477,693.90","178,143.00","95,431.28","346,809.48","38,917.02","374,072.87","319,229.25","98,376.82"
预收款项,"4,593,833.98","2,254,924.26","2,030,544.32","2,986,061.94","975,819.40","1,834,749.96","1,785,370.40","758,297.31","1,629,762.77"
其他应收款,"4,359,172.68","4,995,710.64","4,924,271.09","4,702,749.08","6,375,128.65","2,502,640.41","4,350,643.83","3,527,120.28","3,699,759.01"
应付职工薪酬,"7,974,231.80","9,060,929.25","9,073,870.38","6,417,364.83","7,199,505.22","8,170,994.18","6,276,940.87","5,589,855.09","6,056,183.25"
应收关联公司款,,,,,,,,,
应交税费,"3,123,135.55","3,411,634.58","2,061,646.32","4,549,339.89","4,217,789.02","3,432,690.16","4,503,355.37","4,348,845.20","5,573,778.78"
应收利息,,,,,,"499,287.67","2,457,337.45","555,434.34","2,775,298.63"
应付利息,,"18,194.44","15,000.00","15,000.00",,,,,
应收股利,,,,,,,,,
应付股利,,,,,,,,,
存货,"48,082,126.54","33,615,253.26","37,465,945.51","42,578,517.44","49,807,334.82","51,046,679.46","50,300,991.09","57,453,381.65","61,568,594.49"
其他应付款,"9,281,976.86","8,472,162.19","9,876,013.83","12,596,069.28","11,123,966.21","13,113,961.29","11,464,423.39","10,040,955.24","11,279,165.79"
其中:消耗性生物资产,,,,,,,,,
应付关联公司款,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,
其他流动资产,,"168,331.93","1,125,807.10",,,"160,000,000.00","230,000,000.00","140,000,000.00","230,000,000.00"
其他流动负债,,,,,,,,,
流动资产合计,"159,022,815.95","143,021,260.47","170,221,961.63","176,399,064.61","179,451,543.43","444,837,908.29","455,659,151.51","448,856,348.00","475,032,872.84"
流动负债合计,"73,422,506.05","45,067,104.41","61,249,406.78","54,276,726.72","57,646,826.19","51,670,219.83","50,362,503.36","43,067,515.51","54,766,103.29"
可供出售金融资产,"1,500,000.00","1,500,000.00","1,500,000.00","1,500,000.00","1,500,000.00","1,500,000.00","1,500,000.00","1,500,000.00","1,500,000.00"
长期借款,,"10,000,000.00","10,000,000.00","10,000,000.00",,,,,
持有至到期投资,,,,,,,,,
应付债券,,,,,,,,,
长期应收款,,,,,,,,,
长期应付款,,,,,,,,,
长期股权投资,,,"1,093,937.67","768,030.08","602,075.34","534,820.49","407,095.42","246,858.75","172,735.24"
专项应付款,,,,,,,,,
投资性房地产,,,,,,,,,
预计负债,,,,,,,,,
固定资产,"66,666,566.67","61,766,878.76","104,707,528.20","191,617,956.62","190,531,715.82","203,390,366.06","200,650,539.33","199,053,825.22","201,183,598.42"
