科目,2007-12-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
应付职工薪酬,"13,404,000.00","13,367,421.41","15,174,750.83","32,002,598.88","27,004,315.58","16,416,414.42","17,524,488.74","33,007,818.50","17,513,519.21","9,721,775.73","10,541,564.38","36,749,142.37","31,719,164.72","14,912,893.49","15,220,907.42","52,701,070.98","53,254,662.98","46,944,095.62","40,318,265.77","66,062,900.22","60,005,701.00","57,699,105.01","62,736,020.78","82,858,451.73","69,584,277.26","91,497,801.17","89,832,593.95","134,760,177.60","115,541,693.07","109,008,484.75","121,515,715.12","120,264,200.66","118,560,971.46","132,246,158.20","141,860,239.75","111,612,745.85","80,907,063.92","109,849,202.66","107,262,547.36"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"27,252,700.00","11,546,734.77","14,544,456.90","30,185,595.98","33,176,615.69","13,369,790.81","10,442,258.94","28,846,277.26","47,137,293.66","21,010,331.23","16,009,748.02","23,385,970.55","48,318,024.70","6,489,951.51","-45,682,352.81","-123,091,486.41","-105,208,038.44","-151,968,143.25","-127,698,154.65","-64,130,171.61","-71,974,298.87","-77,887,995.28","-72,288,433.40","-23,541,956.78","59,503,989.84","4,355,074.68","10,295,637.01","56,539,726.41","70,460,168.28","22,490,217.75","27,907,931.17","46,549,248.90","82,081,516.33","5,297,046.61","13,694,046.49","41,043,814.76","52,617,704.91","22,581,091.48","25,547,747.47"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,"1,569,197.99","3,024,502.50","881,323.00","2,104,452.00","975,384.40","1,640,934.40","709,594.03","415,641.98","1,407,972.97","2,006,979.61","2,025,348.62","14,617,469.73","31,297,027.60","48,710,668.07","63,402,840.95","24,217,778.47","48,772,686.24","73,037,844.97","67,787,531.29","35,397,648.66","65,032,697.55","92,837,836.46","63,775,720.97","25,668,753.18","53,042,345.66","78,833,171.95","72,675,334.62","14,669,278.41","31,203,853.53","49,298,896.97","67,399,588.19","24,615,973.54","31,429,999.66","49,421,905.79","67,435,858.13","23,760,704.34"
应收股利,,,,,,,,,,,,,,,,,,"10,000,000.00",,,,,,,,,,,,,,,,"7,600,000.00",,,,,"16,000,000.00"
应付股利,,,,,,,,,,,,,,,,,,"122,020,482.00",,,,"159,420,334.00",,,,"119,565,250.50",,,,"106,059,816.60",,"4,410,000.00",,"141,413,088.80","3,087,000.00",,,"169,457,316.75","2,646,000.00"
存货,"20,046,300.00","27,479,709.59","36,670,280.54","27,910,629.65","26,475,356.56","23,729,066.48","22,969,984.29","34,826,430.95","37,550,132.82","26,308,131.86","21,573,545.63","26,734,466.92","30,778,533.06","28,539,073.42","34,767,028.50","35,336,077.66","41,305,788.66","38,161,882.52","32,752,577.99","52,387,246.19","53,069,770.42","48,927,234.78","52,260,902.85","50,564,754.38","58,771,774.79","56,966,830.82","55,700,457.01","53,855,122.65","114,182,575.30","86,552,316.33","88,127,081.49","108,304,982.53","91,734,712.03","95,831,247.98","105,756,117.38","111,942,545.93","125,956,833.45","90,861,242.31","100,609,661.13"
其他应付款,"60,640,900.00","60,008,711.90","69,051,745.65","79,899,178.61","98,211,532.27","100,887,873.05","86,363,866.03","37,116,037.96","54,231,634.85","52,929,591.01","60,288,918.55","57,695,531.76","69,704,530.79","76,869,962.03","87,354,818.10","61,498,481.04","65,576,618.81","64,034,687.31","69,234,884.62","65,853,390.59","80,285,371.35","93,396,599.88","93,862,623.51","90,400,669.90","98,631,590.64","72,607,371.26","140,171,986.07","93,717,290.89","108,670,521.53","103,539,330.99","102,741,076.18","102,771,045.34","105,639,629.82","201,602,073.38","203,361,507.28","186,713,960.75","188,450,745.25","188,034,702.16","173,238,511.33"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"282,348,700.00","112,863,671.24","22,727,671.21","22,782,004.56","22,786,337.89","102,773,004.55","102,763,337.89","102,760,671.22","102,754,337.88","22,636,337.86","22,636,337.86","22,075,671.08","21,854,671.04","21,572,004.32","21,183,004.24","121,003,004.20","120,981,004.20","157,083,004.22","131,136,670.89","250,951,670.86","230,896,337.51","276,921,663.57","206,819,330.22","171,148,996.85","75,004,004.10","117,509,337.44","128,508,337.44","1,412,604,063.47","1,405,842,550.67","796,689,274.24","798,102,105.17","354,680,631.03","391,785,604.91","568,285,604.91","530,494,712.22","295,994,712.22","298,084,601.71","107,584,601.71","109,550,282.66"
其他流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33,726,994.47",,"41,393,679.02","38,714,282.59","97,542,667.83","36,199,940.43","26,514,323.37","23,048,798.27"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,"498,573,771.15","499,086,156.14","499,512,224.22","499,933,870.85",,"298,819,245.86","299,115,938.58","299,410,084.24","299,711,456.11",,,,,,"102,163.11","25,351.46","25,351.46","25,351.46"
流动资产合计,"200,507,700.00","200,025,743.60","1,094,929,208.32","1,021,036,770.16","991,787,564.12","616,568,784.59","589,591,833.33","621,178,230.95","783,388,312.18","649,498,635.40","566,018,932.49","756,995,142.69","849,364,982.78","820,238,018.31","1,323,358,294.24","938,307,613.45","1,239,443,967.80","1,026,058,553.16","1,019,170,730.99","1,535,842,627.15","1,433,402,294.82","1,496,113,206.11","1,114,696,573.89","1,325,585,468.81","1,252,977,648.28","1,089,224,242.27","2,096,347,667.66","1,856,083,407.68","1,988,772,595.73","1,530,358,189.43","1,777,709,759.20","1,949,636,787.49","2,325,262,398.38","2,109,070,494.41","2,277,973,880.20","1,688,923,615.66","2,035,820,605.90","1,831,743,845.47","1,769,007,674.29"
流动负债合计,"826,761,300.00","718,828,226.34","542,049,374.59","635,556,854.88","561,741,772.28","526,031,934.49","561,589,969.80","665,684,924.40","705,154,889.26","841,583,128.04","708,723,086.03","1,121,066,511.14","1,048,458,158.81","1,088,542,389.47","1,103,400,000.73","1,688,870,162.36","2,139,370,205.41","1,737,747,953.78","1,914,619,259.82","2,151,295,745.86","1,985,568,529.97","2,432,648,736.88","2,343,949,485.74","2,308,806,116.69","2,093,762,512.81","1,810,090,174.72","1,731,756,951.57","2,869,531,340.63","2,919,592,463.17","2,543,400,911.63","2,436,246,147.75","2,691,423,822.79","2,809,534,393.65","2,931,375,228.68","3,217,570,861.25","3,256,514,192.80","3,451,277,791.59","3,364,125,715.09","3,306,190,403.45"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
