科目,2012-12-31,2013-12-31,2014-12-31,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"210,659,902.44","297,163,417.05","277,818,405.53","155,009,813.89","331,028,675.79","1,270,288,734.26","754,798,812.63","680,245,082.83","953,558,303.53","960,000,001.64","511,781,976.28","330,079,533.51","659,018,862.95",,"216,229,239.64","263,435,194.73","446,588,696.15","338,649,402.51"
短期借款,"25,000,000.00","40,458,324.62","89,734,734.74","163,598,432.38","106,463,308.65","86,463,308.65","10,715,932.63","3,004,257.49",,,,,,,"70,000,000.00","256,320,750.00","31,500,000.00","403,286,755.15"
交易性金融资产,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,"40,826.42",,,
应收票据,"18,709,900.70","37,618,969.67","93,687,257.39","37,007,764.80","110,248,816.35","71,078,342.75","65,807,546.87","37,300,667.35","114,945,151.70","55,990,532.35","54,470,047.79","70,823,866.70","166,354,708.15",,"101,673,295.36","159,641,019.96","394,403,205.06","355,946,194.90"
应付票据,,,,,,,,,"2,640,240.00","1,519,200.00","1,000,000.00","3,721,676.88","3,871,941.24","2,190,264.36","41,668,600.00",,"189,423,538.03",
应收账款,"128,644,619.93","243,985,619.30","363,878,776.64","783,750,235.74","475,226,139.75","611,595,010.57","805,780,616.12","923,418,815.81","550,008,107.08","707,591,109.53","1,018,358,334.04","1,205,634,369.42","786,064,900.57","127,438,069.82","1,332,140,003.75","1,558,170,417.71","996,014,319.93","1,222,915,441.15"
应付账款,"148,445,580.98","228,719,208.40","219,313,928.09","367,686,827.06","285,604,351.23","338,422,385.75","461,081,158.80","358,538,890.25","309,799,612.97","398,811,688.26","559,608,723.08","476,818,990.41","479,666,033.13","435,194,305.13","609,809,699.04",,"504,880,138.77",
预付款项,"26,204,089.43","17,335,219.83","19,634,678.36","15,823,895.82","19,861,343.66","16,493,888.51","15,182,477.40","16,054,925.50","13,079,221.83","17,313,684.17","12,915,975.14","22,380,160.30","32,094,195.41","925,876,887.74","31,054,650.28","29,778,216.59","21,799,200.82","35,081,035.92"
预收款项,"69,612,536.52","65,128,645.16","55,660,370.64","51,445,021.94","65,510,299.04","77,136,153.73","73,494,734.08","74,176,068.21","88,334,182.48","75,204,474.52","63,032,790.17","76,658,325.48","80,762,235.75","79,376,123.14","72,413,521.31","94,541,516.63","100,647,843.44","84,513,368.43"
其他应收款,"11,870,175.12","16,517,391.19","16,085,783.41","23,768,900.76","23,300,785.20","25,477,670.19","32,017,475.82","28,956,284.63","29,838,401.24","37,836,886.11","44,432,413.17","48,281,424.10","42,583,961.49","47,365,200.79","50,657,964.81","48,072,670.23","43,771,087.57","70,982,992.62"
应付职工薪酬,"48,106,232.84","57,161,396.10","84,261,602.08","54,736,415.08","85,337,496.51","48,697,471.62","61,756,909.60","78,822,418.12","126,136,546.18","72,724,475.07","72,584,426.33","82,983,730.82","146,249,218.94","77,448,741.83","87,398,677.87","108,015,095.48","184,306,465.18","112,966,979.86"
应收关联公司款,,,,,,,,,,,,,,,,,,
应交税费,"-2,849,039.29","18,225,272.23","29,256,097.18","37,025,181.99","23,169,265.62","17,690,902.20","42,962,290.53","49,064,604.42","20,697,350.44","21,421,873.28","52,024,684.61","48,058,488.58","27,721,573.27","19,436,962.03","49,527,399.82","88,364,252.00","58,919,691.54","110,249,057.99"
应收利息,,,,,,,"751,616.44","2,359,726.02","583,452.05",,"2,255,621.61","4,942,026.37","765,753.43",,"695,326.37",,"2,534,001.77","3,345,218.55"
应付利息,,,,,,,,,,,,,,,"397,981.08",,,"97,425.45"
应收股利,,,,,,,,,,,,,,"1,963,972.75",,,,
应付股利,,,,,,,,,,,,,,,,,,
存货,"286,996,176.67","346,269,008.10","418,322,566.86","461,251,697.55","465,026,092.02","490,087,641.80","539,251,178.79","496,157,375.32","519,938,161.67","625,153,246.47","641,848,666.69","705,250,881.06","699,952,711.87","754,192,226.81","865,074,740.87","920,901,345.93","903,523,634.37","971,409,498.46"
其他应付款,"6,366,726.76","6,709,725.58","9,910,235.15","8,794,563.68","7,198,392.19","191,792,356.25","7,914,610.47","9,124,696.56","13,284,708.08","11,624,962.49","12,184,085.16","10,986,700.02","26,190,314.82","31,446,380.18","28,727,421.33","30,604,575.49","35,076,048.93","34,899,462.74"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"9,500,000.00",,,,,,,,,,,,,,,,,
其他流动资产,,,,"49,052.70","56,398.43",,"220,185,949.34","220,181,202.14","220,554,819.79","577,025.52","321,234,652.39","220,802,722.79","308,899,115.35","232,073,350.94","205,756,872.41","250,271,377.99","347,251,131.84","336,990,434.87"
其他流动负债,,,,,,,,,,,,,,,,,"70,214,307.45","2,538,055.90"
流动资产合计,"683,084,864.29","958,889,625.14","1,189,427,468.19","1,476,661,361.26","1,424,748,251.20","2,485,021,288.08","2,433,775,673.41","2,404,674,079.60","2,402,505,618.89","2,404,462,485.79","2,607,297,687.11","2,608,194,984.25","2,695,734,209.22","2,484,502,641.85","2,803,282,093.49","3,230,270,243.14","3,153,351,275.74","3,331,975,000.43"
流动负债合计,"304,182,037.81","416,402,572.09","488,136,967.88","683,286,442.13","573,283,113.24","760,202,578.20","657,925,636.11","572,730,935.05","560,892,640.15","581,306,673.62","760,434,709.35","699,227,912.19","764,461,317.15","645,092,776.67","959,984,126.87","1,303,024,646.03","1,174,968,033.34","1,485,040,445.95"
可供出售金融资产,,,,,,,,,,,,,,,,,,
长期借款,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,"23,750,000.00","25,525,580.00","22,725,342.34","21,973,034.10","20,763,736.76","75,540,540.63","89,428,100.97","86,760,284.61","86,516,189.97","84,341,897.44"
专项应付款,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,
固定资产,"239,975,808.62","281,939,664.17","299,111,134.16","303,964,225.26","298,112,815.22","290,784,160.76","287,639,542.45","318,266,441.38","468,975,216.01","476,465,252.03","502,300,665.13","531,042,238.36","536,292,879.39","531,838,559.25","527,026,049.42","533,772,342.08","538,895,508.18","543,437,023.75"
递延所得税负债,,,"1,566,302.23","1,713,582.93","1,701,274.32","1,807,552.53","1,484,215.02","1,597,283.73","1,588,936.87","1,656,843.75","1,830,116.85","1,814,049.66","1,771,100.75","1,713,915.41","3,743,883.29","6,098,238.66","9,456,751.41","11,014,978.70"
在建工程,"24,663,519.16","34,470,794.61","58,691,878.10","102,201,083.89","120,429,644.55","133,672,051.78","153,364,522.57","150,988,307.15","29,811,160.86","29,238,166.31","13,973,555.16","14,617,369.11","16,734,425.74","16,491,900.64","22,563,954.78","25,629,403.89","26,148,449.03","99,667,374.96"
其他非流动负债,,,,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,
非流动负债合计,,,"1,566,302.23","1,713,582.93","1,701,274.32","1,807,552.53","1,484,215.02","1,597,283.73","3,321,908.86","3,275,375.14","3,334,207.64","3,203,699.85","3,046,310.34","2,874,684.40","4,790,211.68","7,055,043.23","10,624,574.50","12,273,924.30"
固定资产清理,,,,,,,,,,,,,,,,,,
负债合计,"304,182,037.81","416,402,572.09","489,703,270.11","685,000,025.06","574,984,387.56","762,010,130.73","659,409,851.13","574,328,218.78","564,214,549.01","584,582,048.76","763,768,916.99","702,431,612.04","767,507,627.49","647,967,461.07","964,774,338.55","1,310,079,689.26","1,185,592,607.84","1,497,314,370.25"
生产性生物资产,,,,,,,,,,,,,,,,,,
